FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,SOM_X,SOM_Y,HDBSCAN_Cluster
6630.0,-0.3043266535208351,1057.0,-0.1242015347273873,3348,0.4718923823164313,4047,0.3448279383117266,11361.0,-0.2118491281299836,667.0,3420.0,1,0-0,0,0,2
1380.0,-0.3657635477688968,492.0,-0.1260479604239736,650,-0.084454403665019,964,-0.031556738534934,2090.0,-0.241327365598308,1246.0,2206.0,1,0-0,0,0,2
2537.0,-0.3327302424126542,726.0,-0.1220276084485319,967,-0.2595366220277115,1267,-0.2782001982279882,3657.0,-0.2492408038854688,282.0,1120.0,1,1-0,1,0,3
4044.0,-0.3539472779027133,1213.0,-0.1261307766631681,2314,0.0097674743749035,3446,0.0782502811914256,7363.0,-0.2389265286510986,2994.0,2560.0,1,0-0,0,0,2
6899.0,-0.3539387122848328,731.0,-0.1245440928076918,4477,0.8545391779748946,6228,0.8377769899448307,14123.0,-0.2025993016391981,3654.0,5168.0,1,0-1,0,1,6
6054.0,-0.3521442153388629,2258.0,-0.1220276084485319,3511,0.4011683809515016,4814,0.4421338511769315,11849.0,-0.2116004977665185,2592.0,2371.0,1,0-0,0,0,2
54815.0,0.0707060769511071,13100.0,-0.079215377159489,412,-0.6018684331947655,87,-0.6464760490025485,66227.0,0.0348077318250574,70298.0,70812.0,1,1-0,1,0,3
5078.0,-0.328888562793239,1187.0,-0.1227315464816851,5290,1.069245266809144,6782,0.9680250087279436,16709.0,-0.1813142116169327,354.0,6174.0,1,0-1,0,1,6
13984.0,27494.0,3409.0,7214.0,121,108.0,0,0.0,14757.0,18827.0,9899.0,15247.0,0,0-3,0,3,-1
40485.0,-0.0633801053506226,4035.0,-0.1151237455993185,222,-0.6239840818300529,140,-0.6520508669271176,43359.0,-0.0684865296463812,36071.0,34348.0,1,1-0,1,0,3
913.0,-0.3853531158616562,494.0,-0.1255171836182271,450,-0.2196823802162039,733,-0.1508240553454109,1612.0,-0.2523409137299237,1020.0,1630.0,1,0-0,0,0,2
33615.0,-0.1010731068338704,11962.0,-0.0865370855791837,348,-0.6175336843114274,143,-0.645462445743536,36249.0,-0.0964380212890531,27109.0,37247.0,1,1-0,1,0,3
26991.0,-0.1982243448347788,1599.0,-0.1201661252539103,373,-0.6244448245099548,193,-0.6476585861380632,31220.0,-0.1219809062856573,23278.0,35735.0,1,1-0,1,0,3
73348.0,0.2971167715780697,12839.0,-0.0832206716368953,656,-0.6189159123511329,430,-0.6317788017468665,93144.0,0.1893509269657285,37740.0,49515.0,1,2-0,2,0,5
16793.0,-0.2040789446561172,2887.0,-0.1170040506664843,529,-0.5949572929962381,373,-0.6277243887108164,24084.0,-0.1579934604937974,17559.0,24804.0,1,1-0,1,0,3
1973.0,-0.3818069500591191,375.0,-0.1234938323197253,2023,0.0171393572533327,2490,-0.0122982766136956,6219.0,-0.2392450863042882,0.0,2277.0,1,0-0,0,0,2
6169.0,-0.3568381739373903,2042.0,-0.1216417600613758,2172,0.0118408164344617,3219,0.0949747349651327,8378.0,-0.2297310900523211,2497.0,2126.0,1,0-0,0,0,2
19630.0,-0.3332099170139636,2078.0,-0.1220821918789101,3732,0.4921650602321115,5372,0.520181302120898,12516.0,-0.206666738991509,960.0,3344.0,1,0-0,0,0,2
9194.0,-0.3094788726759706,1445.0,-0.1218751512809239,3361,0.4327292545247764,4578,0.4088538775060195,13129.0,-0.2096464185036604,2231.0,3590.0,1,0-0,0,0,2
16538.0,-0.2018476011982406,6167.0,-0.1021686507271439,230,-0.6279003946092184,229,-0.6437731069785151,30949.0,-0.1240709552785353,22201.0,29919.0,1,1-0,1,0,3
8249.0,-0.3530778676878401,1417.0,-0.1219353812730653,3071,0.2325365601074346,4537,0.3292860216735341,10454.0,-0.2215962153476992,2836.0,2782.0,1,0-0,0,0,2
113371.0,0.664080690006558,17196.0,-0.072076240903473,595,-0.5910409802170726,220,-0.6407322972014774,148757.0,0.4587574651778211,60275.0,81770.0,1,2-0,2,0,5
9705.0,-0.2772635838273182,1630.0,-0.1219015019024858,110,-0.6695976071403333,261,-0.6458003134965402,15892.0,-0.1987299916077733,8413.0,13072.0,1,1-0,1,0,3
12183.0,-0.3288928456021793,1527.0,-0.1239323819500052,2030,-0.0238667412579294,3310,0.0643977033182541,10778.0,-0.2208037060641543,3267.0,3092.0,1,0-0,0,0,2
34187.0,-0.0760358057690974,2763.0,-0.1180354892819066,285,-0.6375759908871567,171,-0.6478275200145652,36401.0,-0.0925454021610535,30742.0,43250.0,1,1-0,1,0,3
3918.0,-0.3680248708893552,2432.0,-0.119076338833601,1055,-0.3724185786036579,1403,-0.3596263267019965,3578.0,-0.2582109212173561,904.0,1241.0,1,1-0,1,0,3
28199.0,-0.110311125718016,3113.0,-0.1191158647659438,364,-0.6175336843114274,23,-0.6586392881106992,42766.0,-0.0795933141642963,25906.0,38188.0,1,1-0,1,0,3
33152.0,-0.1201487378537984,6658.0,-0.1041449473442851,9815,2.1904625783502283,19063,3.596298259347489,31795.0,-0.1214642213115815,9010.0,8003.0,1,0-1,0,1,6
1098.0,-0.3748345371043722,166.0,-0.1267876600149607,687,-0.0915959152034973,591,-0.1976187391364904,1560.0,-0.2482540521304669,247.0,407.0,1,1-0,1,0,3
6830.0,-0.3454459021562928,1210.0,-0.1235992348059728,1351,-0.2703640750054043,2489,-0.1368025435957373,6725.0,-0.2418673596689586,256.0,3478.0,1,0-0,0,0,2
34079.0,-0.0704338916752344,12810.0,-0.081799620259808,98,-0.6636079523016096,292,-0.632623471129377,35241.0,-0.1126883464511512,31809.0,36007.0,1,1-0,1,0,3
17492.0,38024.0,3455.0,6285.0,240,274.0,0,0.0,30632.0,37115.0,22425.0,28092.0,0,4-5,4,5,1
1419.0,-0.3715924507365937,1683.0,-0.1183592254896669,94,-0.6774302326986643,125,-0.6523887346801217,10954.0,-0.1834198000075274,8280.0,11858.0,1,1-0,1,0,3
2215.0,-0.3688942811042285,626.0,-0.1264526306836739,227,-0.6350419061476966,54,-0.6604975607522222,6083.0,-0.2367548978202086,10480.0,11688.0,1,1-0,1,0,3
1170560.0,6.063113841560388,1726900.0,4.608375744348647,5679,0.4873272620931423,1360,-0.4679129415398374,2609620.0,9.323661419975709,2220860.0,1894310.0,1,3-0,3,0,4
2742.0,-0.359330768740623,1321.0,-0.1231098661198236,233,-0.6249055671898566,270,-0.6199534303917201,2732.0,-0.2594579578841106,65.0,241.0,1,1-0,1,0,3
821.0,-0.3857771139467422,0.0,-0.1298048061837964,213,-0.6126958861724583,143,-0.6550916767041552,889.0,-0.2522787561390573,2719.0,6522.0,1,1-0,1,0,3
399314.0,2.389949905517669,138827.0,0.3209338687557468,1523,-0.4152676478345274,670,-0.6241767773042725,291724.0,0.9737331055047952,132145.0,142428.0,1,1-1,1,1,7
4112.0,-0.3495830955925861,1199.0,-0.1234260735785662,526,-0.3392451056507268,807,-0.3295560966846241,1895.0,-0.2535840655472489,0.0,68.0,1,1-0,1,0,3
1643.0,-0.3646628658712494,640.0,-0.1256527011005453,732,-0.221986093615713,1236,-0.1096041894789005,3402.0,-0.2404726987238969,106.0,405.0,1,0-0,0,0,2
2890.0,-0.3655536901308239,1881.0,-0.1201341280705852,1286,-0.2627618207870242,1602,-0.2766797933394694,5635.0,-0.2430522387448467,1349.0,1695.0,1,1-0,1,0,3
3666.0,-0.3666800688821129,2056.0,-0.12166058193392,2115,-0.0563491001910079,2830,-0.0714251333894277,6974.0,-0.2385302740093262,1055.0,1885.0,1,0-0,0,0,2
7624.0,-0.36075266130879,219.0,-0.1265316825483596,1834,0.0680514233824841,2604,0.0909203219290825,7132.0,-0.2270116954519222,1853.0,1751.0,1,0-0,0,0,2
223435.0,1.419473965272129,18818.0,-0.0667176537901385,584,-0.5887372668175636,693,-0.6365089502889251,157301.0,0.411859562869227,178725.0,160094.0,1,2-0,2,0,5
6309.0,-0.3242888259913974,1632.0,-0.1240603706833058,2274,0.2535003520429675,3236,0.3835137960307057,8480.0,-0.216507062595524,2263.0,2819.0,1,0-0,0,0,2
1795.0,-0.3651082780010367,865.0,-0.1242184744126771,744,-0.019720057138813,940,0.0002028302474591,2476.0,-0.236766552368496,0.0,199.0,1,0-0,0,0,2
9043.0,-0.3498571953647629,604.0,-0.1240678994323235,2603,0.0477787454668039,3130,-0.0492947955676537,8027.0,-0.2367354735730629,1111.0,1977.0,1,0-0,0,0,2
259114.0,1.730084683664647,60252.0,0.0695056487485269,1039,-0.4325454983308457,487,-0.6228253062922556,190139.0,0.5616748962546332,86846.0,104343.0,1,1-1,1,1,7
8288.0,-0.3326874143232516,1677.0,-0.1211693310605163,2166,-0.0517416733919896,3488,0.1024078255312247,10056.0,-0.2269106893667645,1581.0,2902.0,1,0-0,0,0,2
106221.0,0.428941630759341,154067.0,0.3565975528525017,2607,0.0438624326876384,6493,0.7181718053813497,20436.0,-0.1793368232574998,7002.0,9071.0,1,0-1,0,1,6
43365.0,-0.1131463452364696,5352.0,-0.1105142690132433,221,-0.6308952220285803,124,-0.6461381812495444,21744.0,-0.1800399810041744,25281.0,21384.0,1,1-0,1,0,3
22274.0,-0.1737866370216425,2976.0,-0.1183084064337975,333,-0.6140781142121637,159,-0.6613422301347326,32874.0,-0.1229676580406592,20800.0,34606.0,1,1-0,1,0,3
25212.0,-0.2314418109754526,2246.0,-0.122757897103247,285,-0.6488641865447513,90,-0.6479964538910674,23889.0,-0.1639062013249505,14177.0,28025.0,1,1-0,1,0,3
2336.0,-0.3517973078147017,1373.0,-0.1204860970871617,1015,0.0383335205288165,1325,0.0491936544330658,4114.0,-0.2316463208208878,1281.0,1788.0,1,0-0,0,0,2
36877.0,-0.1399952744829735,15359.0,-0.0733561282364787,0,-0.6474819585050459,453,-0.6263729176987997,51190.0,-0.0564357267171848,40767.0,43143.0,1,1-0,1,0,3
5346.0,-0.3478956688701228,1762.0,-0.1226619055532715,1918,-0.1436598380324032,2875,-0.0364558209534947,9345.0,-0.2270505439462136,2955.0,2853.0,1,0-0,0,0,2
17482.0,-0.260569194578176,3098.0,-0.116751837574392,225,-0.6481730725248986,319,-0.6241767773042725,28983.0,-0.1435418206173916,14085.0,28122.0,1,1-0,1,0,3
3147.0,-0.3518701155666861,650.0,-0.1245930296763067,3461,0.4788035225149586,4273,0.391453688226304,10918.0,-0.2128708435298477,805.0,1920.0,1,0-0,0,0,2
28953.0,-0.1773413684420602,4056.0,-0.113943614190797,0,-0.6530108706638678,491,-0.6338060082648916,36895.0,-0.1007540890048291,23372.0,42233.0,1,1-0,1,0,3
5849.0,-0.352439729155741,1804.0,-0.1201171883852954,5676,0.8745814845506239,6032,0.5978908853118603,14744.0,-0.204658271836643,667.0,2599.0,1,0-0,0,0,2
6819.0,-0.3221517043302065,971.0,-0.1245723256165081,2195,-0.0680980385285043,3320,0.0576403482581704,8518.0,-0.2328855877887839,580.0,2209.0,1,0-0,0,0,2
5853.0,-0.34246078432493,921.0,-0.1245591503057272,1722,-0.2565417946083497,2309,-0.185962301657846,6892.0,-0.2442176935735891,827.0,1380.0,1,0-0,0,0,2
2632.0,-0.3379509865108339,877.0,-0.122887768023802,2850,0.5882299089916414,3280,0.4144286954305884,7378.0,-0.2221634033643538,421.0,1616.0,1,0-0,0,0,2
4506.0,-0.3567439521407046,25.0,-0.1266803753414588,663,-0.1491887501912251,679,-0.1542027328754528,1387.0,-0.2529352956925823,428.0,494.0,1,0-0,0,0,2
53780.0,0.0426194159208674,21698.0,-0.0570752084857436,574,-0.6103921727729492,289,-0.6398876278189669,54471.0,-0.0479861792088025,52920.0,52235.0,1,1-0,1,0,3
9811.0,-0.3527052633100372,2173.0,-0.1233658435864247,3258,0.1979808591147979,3532,0.0650734388242624,11338.0,-0.2233172036448088,3128.0,2465.0,1,0-0,0,0,2
