FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
38362.0,69650.0,4761.0,8510.0,0,169,48.0,85.0,29785.0,35298.0,24207.0,26963.0,6651.7,22,1
3997.0,10231.0,1419.0,3668.0,2356,3357,2838.0,3967.0,6645.0,8574.0,1044.0,2060.0,6651.7,4,2
265765.0,467547.0,39683.0,77392.0,387,982,166.0,103.0,143797.0,161223.0,75950.0,90372.0,6651.8,3,2
2894.0,17323.0,1017.0,4103.0,2618,4690,2537.0,4437.0,6191.0,12063.0,1888.0,4251.0,6651.9,4,2
311010.0,504548.0,165357.0,275064.0,1712,2015,974.0,2148.0,86767.0,100101.0,60330.0,59922.0,6651.9,5,4
3947.0,12878.0,839.0,2845.0,1885,2332,2934.0,3991.0,7092.0,9373.0,1240.0,2041.0,6651.9,4,2
23107.0,50387.0,4360.0,8245.0,243,135,297.0,166.0,23199.0,28260.0,11072.0,17716.0,6651.9,6,4
17815.0,44623.0,7597.0,13314.0,3852,4768,4909.0,5977.0,14615.0,18354.0,2710.0,4208.0,6652.0,13,7
381165.0,682926.0,223409.0,446558.0,1169,1345,0.0,32.0,172661.0,195873.0,78200.0,91630.0,6652.0,17,0
37088.0,78266.0,8167.0,16207.0,80,140,182.0,106.0,39070.0,46102.0,23015.0,35821.0,6652.1,15,3
8701.0,33483.0,1532.0,4538.0,2948,3761,3577.0,4691.0,10553.0,13573.0,1796.0,3305.0,6652.2,4,2
391889.0,711410.0,150021.0,264919.0,632,758,320.0,256.0,105191.0,116736.0,74792.0,82477.0,6652.3,3,2
62934.0,118592.0,5441.0,9573.0,523,325,55.0,84.0,45313.0,50761.0,31565.0,39599.0,6652.3,15,3
22356.0,48559.0,835.0,2565.0,29,109,136.0,75.0,21050.0,24240.0,11845.0,19857.0,6652.4,6,4
5319.0,18634.0,2283.0,6268.0,2470,3138,2970.0,3769.0,7654.0,10351.0,1315.0,3542.0,6652.4,4,2
222575.0,419064.0,10050.0,15484.0,542,354,339.0,179.0,119479.0,130369.0,62108.0,64401.0,6652.5,3,2
41759.0,73901.0,4045.0,8340.0,0,76,89.0,79.0,37919.0,43765.0,28273.0,30893.0,6652.5,22,1
91481.0,170971.0,12645.0,24403.0,0,60,45.0,88.0,75957.0,84411.0,59033.0,72290.0,6652.7,0,2
6015.0,13694.0,1000.0,2729.0,889,1110,1199.0,1703.0,2976.0,3884.0,551.0,645.0,6652.7,19,0
6262.0,12262.0,1407.0,2784.0,1694,1957,2399.0,2961.0,5629.0,5939.0,1234.0,1699.0,6652.7,11,6
42960.0,72320.0,8987.0,14224.0,0,38,418.0,195.0,36694.0,40616.0,20523.0,31458.0,6652.8,22,1
48423.0,103560.0,3990.0,7535.0,74,199,0.0,102.0,24855.0,25864.0,29234.0,24897.0,6652.9,6,4
3873.0,12222.0,863.0,2120.0,1658,2236,2619.0,3651.0,6506.0,9146.0,532.0,2053.0,6652.9,4,2
195281.0,354469.0,32614.0,61852.0,0,137,452.0,234.0,167753.0,167244.0,58721.0,69094.0,6653.0,17,0
18582.0,34018.0,4547.0,7870.0,3917,4989,5686.0,6786.0,16475.0,19822.0,2178.0,4097.0,6653.0,7,5
9420.0,23020.0,391.0,1669.0,2542,3169,3851.0,4728.0,12523.0,15545.0,2937.0,4199.0,6653.1,4,2
33223.0,72308.0,7027.0,14288.0,309,159,89.0,44.0,33035.0,35785.0,15479.0,24553.0,6653.1,22,1
7654.0,17854.0,2846.0,5351.0,2521,2819,2906.0,3511.0,8140.0,9460.0,592.0,3221.0,6653.1,4,2
7843.0,25319.0,2018.0,4023.0,2328,2759,2524.0,2957.0,5611.0,6113.0,804.0,831.0,6653.2,11,6
13235.0,33560.0,2506.0,5261.0,4049,4699,5677.0,6952.0,16327.0,20106.0,4737.0,7364.0,6653.2,7,5
7405.0,13808.0,647.0,2594.0,80,91,105.0,14.0,3482.0,3989.0,2221.0,3439.0,6653.2,6,4
2059.0,7640.0,688.0,2517.0,2373,2802,3176.0,4120.0,7968.0,10497.0,602.0,1981.0,6653.2,4,2
57186.0,105682.0,3949.0,6644.0,397,390,263.0,160.0,48691.0,50990.0,36092.0,40337.0,6653.3,15,3
3321.0,8577.0,611.0,1244.0,70,0,73.0,0.0,12361.0,14645.0,1897.0,2809.0,6653.3,6,4
1306.0,8086.0,0.0,0.0,142,15,67.0,0.0,4311.0,10851.0,23649.0,69838.0,6653.3,6,4
557431.0,801835.0,58532.0,98722.0,2409,2575,83.0,171.0,768855.0,751347.0,352053.0,358807.0,6653.3,10,6
50590.0,103395.0,12111.0,22320.0,260,122,150.0,59.0,40844.0,45882.0,27875.0,41741.0,6653.3,15,3
