FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
2052.0,8576.0,1177.0,3428.0,1934,3075,2451,3934,6099.0,9558.0,1336.0,1897.0,17.2,3
31107.0,51327.0,12355.0,25420.0,258,400,153,112,43679.0,51593.0,27656.0,40034.0,17.2,2
9140.0,19531.0,2034.0,4032.0,2527,2930,4232,5200,10270.0,13105.0,4057.0,4518.0,17.2,3
50604.0,95309.0,15747.0,28348.0,421,209,367,134,39777.0,45294.0,27428.0,40910.0,17.3,2
7665.0,15718.0,1833.0,5129.0,1710,1763,2462,2808,6086.0,7441.0,916.0,2055.0,17.4,3
21903.0,55870.0,10651.0,19648.0,1362,1753,3051,3632,9206.0,10120.0,2613.0,2418.0,17.4,3
10326.0,11243.0,118.0,2176.0,1278,1565,2433,2555,6296.0,6562.0,1080.0,2097.0,17.4,0
63846.0,115094.0,6481.0,15983.0,361,225,216,129,35176.0,39956.0,31259.0,43200.0,17.4,2
97240.0,160588.0,7341.0,10798.0,239,100,0,29,43368.0,44554.0,53914.0,46277.0,17.5,2
5200.0,12224.0,1448.0,5640.0,1863,2474,2473,3261,6027.0,8071.0,635.0,745.0,17.6,3
301087.0,509528.0,28460.0,49063.0,433,412,223,195,160371.0,169247.0,90645.0,88455.0,17.6,2
17373.0,37701.0,3143.0,4735.0,2506,2562,3525,4168,9529.0,11954.0,1836.0,2437.0,17.6,3
10785.0,24341.0,1337.0,3225.0,1004,1112,2101,2499,5000.0,6131.0,1769.0,2591.0,17.7,0
12050.0,18762.0,1117.0,2622.0,3529,3931,4360,5585,11704.0,13759.0,2512.0,4945.0,17.8,3
57980.0,96388.0,77225.0,136563.0,2889,2942,6800,7760,17237.0,19325.0,7040.0,7872.0,17.8,3
2483.0,9656.0,2089.0,6033.0,1048,1809,1418,2402,4070.0,6692.0,983.0,1265.0,17.8,3
34626.0,73239.0,15596.0,27351.0,59,128,143,126,38595.0,42231.0,32571.0,41223.0,17.8,2
11113.0,18224.0,3750.0,6321.0,2265,2644,3414,4066,6921.0,7753.0,1392.0,2227.0,17.8,0
76947.0,137476.0,62573.0,109959.0,116,247,686,213,60813.0,60788.0,58467.0,52164.0,17.8,2
4101.0,12121.0,1083.0,3357.0,2917,3991,3611,4951,9446.0,12788.0,1096.0,2600.0,17.9,3
5401.0,11721.0,0.0,763.0,6054,7287,7185,8437,15476.0,18446.0,1064.0,2660.0,17.9,3
39130.0,74618.0,19134.0,37238.0,197,125,185,136,55618.0,58996.0,37021.0,52454.0,18.0,2
6542.0,11217.0,1193.0,3305.0,2317,2552,3759,4412,10636.0,12332.0,2774.0,3809.0,18.0,3
43100.0,87141.0,10460.0,19363.0,261,224,86,60,37846.0,41726.0,26546.0,39199.0,18.0,2
5186.0,10336.0,1079.0,3054.0,1727,1915,2301,2736,5861.0,6542.0,1775.0,1384.0,18.0,0
43746.0,64317.0,12319.0,19773.0,0,185,0,91,38687.0,38551.0,36138.0,32946.0,18.1,2
3802.0,8795.0,1268.0,2896.0,1722,2106,2499,2692,6509.0,7177.0,2398.0,3370.0,18.2,3
40110.0,79509.0,22414.0,39727.0,5673,6791,7311,8364,20297.0,22773.0,3207.0,3911.0,18.2,3
7538.0,14949.0,2341.0,5068.0,2334,2603,3607,4143,9522.0,11271.0,2135.0,2609.0,18.2,3
6332.0,16698.0,7465.0,17255.0,1981,2430,2692,3278,6814.0,8808.0,296.0,1511.0,18.2,3
92689.0,146521.0,12228.0,21211.0,426,186,124,94,54210.0,55188.0,44089.0,39169.0,18.2,2
24053.0,53800.0,3462.0,7976.0,189,198,59,24,32613.0,34041.0,28489.0,34244.0,18.2,1
75879.0,129801.0,5851.0,11273.0,665,370,0,62,52791.0,52313.0,44390.0,43153.0,18.2,2
3429.0,10659.0,942.0,3242.0,566,1568,633,2054,1464.0,4961.0,142.0,265.0,18.3,0
9326.0,20721.0,2277.0,3799.0,2050,2471,2435,2957,7043.0,8243.0,1281.0,2133.0,18.3,3
43793.0,77099.0,10388.0,17159.0,366,259,171,65,35608.0,38903.0,20768.0,27945.0,18.3,2
9553.0,21939.0,341.0,1254.0,1556,1842,3176,3591,8544.0,9802.0,3867.0,2782.0,18.3,3
2427.0,15087.0,377.0,1748.0,663,1784,845,2626,2204.0,7268.0,256.0,491.0,18.3,3
28892.0,51066.0,4323.0,6125.0,6087,6751,7344,8214,20579.0,22523.0,5285.0,3883.0,18.4,3
51763.0,90042.0,2550.0,4086.0,127,119,131,64,34356.0,34693.0,29538.0,34205.0,18.4,2
30096.0,51542.0,2164.0,3486.0,167,216,5,0,31399.0,32214.0,26984.0,29531.0,18.5,-1
3349.0,8179.0,0.0,1389.0,2069,2348,2774,3250,6481.0,7898.0,1105.0,1460.0,18.5,3
21774.0,31984.0,3041.0,4054.0,4086,4016,4918,5652,14928.0,16522.0,4173.0,3916.0,18.5,3
94481.0,159214.0,24052.0,43624.0,222,357,395,180,69098.0,68579.0,57870.0,54889.0,18.5,2
179649.0,306327.0,28685.0,48660.0,693,368,393,148,157585.0,145571.0,67756.0,70417.0,18.5,2
8906.0,8552.0,3120.0,4667.0,1417,1504,1830,1960,5815.0,6403.0,2791.0,2542.0,18.6,0
3587.0,14396.0,482.0,3281.0,3856,5381,5281,7631,11578.0,15971.0,836.0,2273.0,18.6,3
40162.0,65905.0,13059.0,22805.0,496,419,607,221,45908.0,45862.0,46834.0,40889.0,18.7,2
39269.0,65164.0,2123.0,4919.0,424,229,155,96,28453.0,29617.0,23526.0,21239.0,18.8,2
