FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
5723.0,15374.0,2466.0,4832.0,2435,2717,2737,3004,6457.0,7006.0,1159.0,1630.0,16.3,0
45094.0,58286.0,8641.0,13867.0,592,312,409,183,41061.0,40535.0,36004.0,40012.0,16.4,3
2856.0,12502.0,1050.0,4698.0,2364,3047,3087,4345,8023.0,11713.0,1264.0,2071.0,16.5,0
22782.0,47744.0,8201.0,12803.0,287,149,29,34,29381.0,28825.0,14489.0,19806.0,16.5,3
18700.0,39695.0,3266.0,5734.0,9848,9699,12715,13084,30255.0,28708.0,4349.0,5441.0,16.5,0
43810.0,62731.0,10591.0,17462.0,281,186,0,96,44358.0,39433.0,43327.0,35148.0,16.5,3
7374.0,20591.0,1888.0,5525.0,2672,2920,3560,4172,9263.0,10540.0,2360.0,3103.0,16.5,0
3546.0,10774.0,1891.0,4023.0,1872,2148,2877,3403,6638.0,7797.0,240.0,1784.0,16.5,0
24645.0,36843.0,6823.0,12627.0,53,48,27,67,20761.0,20807.0,11151.0,15978.0,16.5,3
9535.0,12169.0,2051.0,4427.0,5235,5589,6709,6867,16736.0,16641.0,976.0,2095.0,16.5,0
130103.0,191942.0,10908.0,16157.0,82,257,270,126,112837.0,94798.0,46174.0,35376.0,16.5,3
6625.0,16454.0,2882.0,5444.0,613,1261,727,1987,2057.0,5299.0,1727.0,1416.0,16.6,0
92043.0,137303.0,26017.0,39467.0,450,331,361,165,70262.0,66819.0,40212.0,48341.0,16.6,3
43930.0,69648.0,2832.0,5372.0,620,355,386,219,43764.0,44180.0,20318.0,31420.0,16.6,3
9740.0,22746.0,2707.0,4600.0,3147,3602,4393,4692,13615.0,14403.0,898.0,3262.0,16.6,0
5892.0,16092.0,1992.0,4617.0,1981,2410,2560,2919,7088.0,8102.0,1945.0,2012.0,16.7,0
18631.0,35811.0,3486.0,6419.0,2640,2793,3621,3694,11309.0,10731.0,3216.0,3679.0,16.7,0
3445510.0,2128670.0,13906800.0,8151280.0,23095,5812,6639,1927,1252470.0,808338.0,785763.0,451304.0,16.8,4
4466.0,15801.0,1513.0,4121.0,1966,3111,3191,4588,10539.0,14531.0,1467.0,3013.0,16.8,0
2889.0,7980.0,576.0,1661.0,420,1331,706,2103,1837.0,5457.0,904.0,1648.0,16.8,0
805.0,5301.0,877.0,4613.0,502,1088,578,1428,1424.0,4211.0,653.0,1820.0,16.8,0
2297.0,14191.0,884.0,3210.0,1088,1817,1486,2609,3570.0,6670.0,287.0,388.0,16.8,0
67624.0,101245.0,5858.0,8508.0,82,152,0,22,47158.0,46694.0,28071.0,38639.0,16.8,3
3763.0,10696.0,2308.0,4630.0,2090,2707,2875,3441,8616.0,10096.0,0.0,620.0,16.8,0
19178.0,28551.0,3381.0,5729.0,7020,7183,9746,10500,23544.0,23251.0,1910.0,3918.0,16.9,0
45737.0,68958.0,6193.0,11022.0,346,218,329,104,70009.0,70683.0,44116.0,57081.0,16.9,3
22389.0,42745.0,2799.0,4903.0,4252,4596,7239,7419,23043.0,23564.0,3379.0,5069.0,17.0,0
36726.0,64328.0,7645.0,10713.0,0,28,13,3,35166.0,32931.0,25811.0,24499.0,17.0,3
