FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
6027.0,26186.0,1186.0,3117.0,6071.0,8967.0,7751,11600,19674.0,28951.0,2322.0,5932.0,16.6,2
157545.0,287934.0,11421.0,25019.0,315.0,396.0,49,99,210645.0,247126.0,81662.0,99862.0,16.9,4
5161.0,15240.0,2164.0,4231.0,5124.0,6923.0,6722,9141,24963.0,31390.0,4370.0,9247.0,17.3,2
2994.0,10393.0,281.0,908.0,210.0,111.0,112,107,1370.0,4344.0,1494.0,3032.0,17.4,1
157697.0,308780.0,9152.0,15688.0,759.0,1093.0,137,160,247007.0,287398.0,83821.0,100713.0,17.4,4
3443.0,13022.0,715.0,3121.0,1299.0,1546.0,2129,2752,8224.0,10977.0,0.0,1746.0,19.8,3
3812.0,16045.0,794.0,2511.0,1887.0,2560.0,2802,3961,9279.0,13036.0,500.0,3041.0,19.9,3
13181.0,32686.0,1895.0,2797.0,4684.0,5021.0,6176,7090,18647.0,21932.0,5447.0,6884.0,20.1,0
111722.0,183899.0,5827.0,9848.0,586.0,393.0,207,178,135957.0,132061.0,46060.0,48110.0,20.3,1
9127.0,19398.0,3553.0,6727.0,12066.0,14916.0,16022,18969,69871.0,75563.0,9399.0,22685.0,21.0,2
1759.0,9356.0,1165.0,4486.0,2886.0,4990.0,4091,7157,12001.0,21139.0,746.0,2865.0,21.1,0
162356.0,263739.0,7511.0,12891.0,299.0,324.0,253,143,256145.0,247826.0,107906.0,108421.0,21.5,4
93956.0,147749.0,13900.0,23770.0,255.0,174.0,383,190,73961.0,74870.0,56111.0,60106.0,21.6,1
3246.0,9401.0,1608.0,6330.0,1517.0,1859.0,1660,2146,4537.0,7124.0,0.0,1199.0,22.0,3
2165.0,8526.0,0.0,306.0,58.0,88.0,241,135,5497.0,7799.0,901.0,1054.0,22.4,1
360944.0,551095.0,22778.0,33082.0,1603.0,1352.0,494,277,577692.0,522544.0,184905.0,186009.0,22.4,4
3043.0,10032.0,1903.0,4388.0,4101.0,4723.0,5338,5982,9680.0,11018.0,1958.0,3665.0,22.7,0
17657.0,35375.0,3383.0,5644.0,2990.0,3184.0,7148,7333,20374.0,19935.0,6137.0,7019.0,23.3,0
8676.0,21964.0,829.0,2239.0,3222.0,3638.0,4773,5335,13876.0,14687.0,1381.0,2571.0,23.3,0
1036.0,4212.0,2518.0,17631.0,218.0,175.0,143,18,2561.0,5706.0,14658.0,31057.0,23.5,1
25129.0,52177.0,41652.0,76492.0,201.0,178.0,377,177,38931.0,41833.0,14661.0,29256.0,23.5,1
2401.0,11108.0,581.0,1818.0,481.0,1304.0,883,2584,3524.0,9402.0,2339.0,3156.0,23.8,3
5666.0,17088.0,1249.0,2888.0,2929.0,4341.0,4090,5570,12617.0,17377.0,836.0,1029.0,23.8,3
57305.0,89373.0,4552.0,4574.0,637.0,501.0,74,160,56593.0,53642.0,46827.0,48741.0,24.2,1
7444.0,17630.0,1663.0,3300.0,5964.0,6057.0,6861,7457,21171.0,21122.0,3048.0,3424.0,24.4,0
35405.0,33524.0,13744.0,15264.0,189.0,162.0,61,63,32946.0,30581.0,23155.0,18774.0,24.5,1
2023.0,4438.0,765.0,1453.0,1619.0,1820.0,1985,2436,7860.0,8715.0,1424.0,2534.0,24.9,3
5506.0,14553.0,2238.0,5357.0,4701.0,5795.0,7938,10226,9427.0,11776.0,3140.0,4249.0,25.1,2
9240.0,17178.0,1872.0,3907.0,4100.0,4351.0,6021,6620,17034.0,17780.0,2164.0,2890.0,25.1,0
4700.0,10433.0,2181.0,5425.0,4094.0,4629.0,6636,7410,17594.0,19485.0,761.0,1103.0,25.6,0
11223.0,20523.0,1840.0,4194.0,3457.0,4010.0,5225,5724,16608.0,18310.0,1692.0,3219.0,25.7,0
12416.0,20368.0,2657.0,5121.0,12463.0,13296.0,17131,17840,32560.0,33226.0,1608.0,12789.0,26.0,2
128530.0,205000.0,12326.0,18645.0,231.0,330.0,715,278,74603.0,66751.0,90331.0,84331.0,26.1,4
6741.0,13827.0,3970.0,5969.0,1803.0,1817.0,2686,2665,7373.0,7045.0,1664.0,1953.0,26.3,3
6022.0,13090.0,2600.0,4912.0,3046.0,3452.0,4155,4804,12467.0,13945.0,1124.0,2592.0,26.7,0
5807.0,18711.0,817.0,2051.0,3913.0,5262.0,5729,7842,17494.0,24236.0,1184.0,1944.0,27.4,0
199907.0,283337.0,299600.0,403275.0,8566.0,6982.0,8001,8055,26851.0,25014.0,8603.0,5183.0,27.6,2
5544.0,15548.0,1780.0,4324.0,3386.0,3902.0,4198,4727,12973.0,14029.0,1831.0,1720.0,28.0,0
1872.0,10203.0,346.0,1385.0,9434.0,19194.0,15156,30546,19717.0,34735.0,2952.0,8413.0,28.2,2
5235.0,20812.0,1538.0,5279.0,6207.0,8435.0,6223,8207,13069.0,16903.0,618.0,1014.0,28.2,2
8121.0,18360.0,1572.0,3658.0,4378.0,4955.0,6195,6686,18770.0,19620.0,2107.0,3920.0,28.3,0
1722.0,11024.0,592.0,2332.0,1688.0,4977.0,2757,8212,7641.0,19686.0,2665.0,8598.0,28.4,2
