FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
4710.0,15387.0,736.0,1878.0,58,44,213.0,188.0,7530.0,10661.0,4683.0,7915.0,16.6,1
1725.0,7460.0,152.0,1140.0,95,0,103.0,359.0,1063.0,5630.0,3276.0,5728.0,16.6,1
416109.0,714636.0,189182.0,362547.0,6343,8537,47270.0,59869.0,524148.0,638127.0,471801.0,516310.0,16.6,2
1615.0,10050.0,487.0,3086.0,195,223,586.0,1351.0,4309.0,13093.0,484.0,8201.0,16.6,1
139025.0,286680.0,154324.0,313916.0,3460,4463,4965.0,6794.0,16483.0,21300.0,7133.0,5972.0,16.8,2
9471.0,26338.0,872.0,1772.0,1586,2124,2440.0,3086.0,7421.0,9679.0,2137.0,2510.0,16.8,4
97187.0,194469.0,7460.0,15601.0,605,443,380.0,143.0,182362.0,222567.0,69372.0,88759.0,16.9,3
41957.0,81784.0,5014.0,11915.0,278,197,430.0,259.0,37157.0,47045.0,19457.0,37684.0,16.9,3
2926.0,9393.0,94.0,3404.0,930,1690,1473.0,2600.0,3720.0,7046.0,875.0,1855.0,16.9,4
51782.0,112927.0,4533.0,10915.0,29325,39506,2764.0,3675.0,53735.0,69063.0,24386.0,59738.0,17.0,1
57416.0,123765.0,35439.0,70330.0,385,233,93.0,77.0,56418.0,73978.0,54563.0,60819.0,17.0,3
41181.0,87847.0,9231.0,20100.0,73,106,0.0,31.0,24667.0,30704.0,14585.0,27235.0,17.1,3
7746.0,16575.0,1747.0,5724.0,1196,1612,1826.0,2215.0,3496.0,4500.0,129.0,1162.0,17.1,4
16450.0,23662.0,2696.0,3390.0,4302,5647,5936.0,7630.0,14112.0,18815.0,2924.0,4295.0,17.1,2
39258.0,74101.0,2895.0,5776.0,288,125,11.0,115.0,37407.0,48824.0,34523.0,49129.0,17.2,3
35919.0,85087.0,19070.0,41911.0,0,59,458.0,219.0,26860.0,34977.0,17846.0,32582.0,17.2,3
6021.0,9142.0,861.0,2233.0,225,204,139.0,74.0,3285.0,8817.0,14494.0,29793.0,17.2,1
281146.0,529041.0,51443.0,106813.0,1646,1748,387.0,333.0,366774.0,451662.0,172910.0,235791.0,17.2,2
68545.0,146251.0,3361.0,7086.0,297,232,0.0,0.0,61472.0,78620.0,27195.0,41572.0,17.2,-1
6747.0,12702.0,1716.0,4898.0,1939,2009,2698.0,3390.0,7246.0,9527.0,1128.0,3682.0,17.2,4
11706.0,31237.0,2164.0,6386.0,3376,3988,4559.0,5987.0,12140.0,16549.0,1906.0,4323.0,17.4,0
2836.0,15792.0,1280.0,4582.0,1383,2247,1785.0,2990.0,4817.0,8261.0,3.0,870.0,17.4,4
3296.0,12369.0,933.0,3339.0,2576,3741,2948.0,4325.0,8983.0,13132.0,337.0,543.0,17.4,0
1101.0,4638.0,0.0,1320.0,107,5,193.0,185.0,2859.0,4848.0,497.0,668.0,17.4,1
2330.0,8806.0,41.0,1579.0,131,73,279.0,182.0,2334.0,5231.0,703.0,796.0,17.4,1
2121.0,11343.0,0.0,615.0,116,37,229.0,127.0,713.0,4061.0,833.0,2329.0,17.4,1
2943.0,9328.0,0.0,1390.0,71,22,175.0,89.0,1204.0,9410.0,5229.0,8690.0,17.4,1
407027.0,764877.0,27993.0,53108.0,587,1013,2.0,144.0,544389.0,649050.0,235645.0,267482.0,17.4,2
29814.0,71881.0,2056.0,5040.0,243,239,177.0,119.0,21174.0,28259.0,13302.0,25634.0,17.5,1
16451.0,23058.0,3167.0,5943.0,2407,3335,3248.0,4487.0,10896.0,13778.0,4153.0,3847.0,17.6,0
10588.0,25291.0,1864.0,2403.0,1172,1104,2383.0,2963.0,5164.0,6756.0,2987.0,3185.0,17.6,4
11881.0,17292.0,569.0,1787.0,0,120,5.0,0.0,2454.0,9581.0,18604.0,37097.0,17.6,-1
141830.0,270511.0,7005.0,13334.0,484,233,2.0,109.0,142679.0,175395.0,54366.0,73532.0,17.6,2
6514.0,10637.0,1162.0,2259.0,1896,3161,3001.0,4917.0,7364.0,11918.0,798.0,1407.0,17.6,0
49584.0,95384.0,9969.0,19885.0,424,295,0.0,51.0,58380.0,69966.0,42477.0,57492.0,17.7,3
5868.0,16219.0,1984.0,5041.0,2844,3595,3166.0,4266.0,9934.0,13350.0,760.0,1868.0,17.7,0
2585.0,9111.0,0.0,151.0,95,60,266.0,176.0,1494.0,4886.0,3268.0,6501.0,17.7,1
442611.0,757909.0,60783.0,114733.0,1413,1676,627.0,316.0,790500.0,898524.0,410638.0,508493.0,17.7,2
900.0,5358.0,0.0,1.0,103,0,206.0,103.0,1097.0,9648.0,2908.0,6990.0,17.7,1
4438.0,12802.0,537.0,2649.0,1396,2732,1526.0,3193.0,3820.0,7375.0,1480.0,1487.0,17.8,4
15622.0,20856.0,2482.0,5611.0,1022,1294,1690.0,2001.0,5296.0,6225.0,1967.0,2287.0,17.8,4
218664.0,438330.0,73526.0,134832.0,1289,1412,361.0,306.0,94202.0,114645.0,68411.0,74330.0,17.8,2
1026.0,4950.0,1170.0,3826.0,840,2058,1058.0,2344.0,2402.0,5650.0,235.0,585.0,17.8,4
56141.0,111407.0,84878.0,173887.0,5106,6651,7540.0,10035.0,21261.0,26843.0,4691.0,11359.0,17.9,2
5552.0,20652.0,2859.0,5891.0,2114,2894,2635.0,3615.0,7759.0,10692.0,77.0,1368.0,17.9,0
1126.0,4722.0,9828.0,30950.0,53,0,150.0,129.0,2988.0,5036.0,237.0,415.0,18.0,1
1437980.0,1366600.0,3636120.0,3386270.0,8091,5008,4810.0,4757.0,423852.0,439299.0,140212.0,185040.0,18.0,2
165151.0,31460.0,3781.0,3868.0,1164,3087,4431.0,4595.0,11134.0,11318.0,2696.0,2880.0,18.0,0
39876.0,84091.0,13910.0,25701.0,201,207,0.0,0.0,41720.0,53044.0,31317.0,42558.0,18.1,-1
4437.0,13123.0,820.0,2562.0,560,1750,636.0,2221.0,2140.0,6153.0,0.0,256.0,18.1,4
25353.0,63326.0,8728.0,18912.0,245,238,297.0,100.0,36031.0,45571.0,30727.0,38628.0,18.2,1
11798.0,19168.0,1481.0,3297.0,3668,4545,4172.0,5608.0,10027.0,12746.0,468.0,2338.0,18.2,0
22706.0,48218.0,6026.0,15144.0,400,363,267.0,162.0,25743.0,32360.0,11138.0,27955.0,18.2,1
10167.0,32238.0,4979.0,13268.0,2775,3572,3858.0,5062.0,12103.0,15991.0,1185.0,4461.0,18.2,0
3446.0,11206.0,679.0,2673.0,939,1162,1104.0,1336.0,3126.0,3972.0,1085.0,1191.0,18.2,4
218095.0,351625.0,69465.0,121623.0,1303,994,513.0,198.0,158061.0,169288.0,93248.0,93896.0,18.2,2
36471.0,83114.0,4737.0,8560.0,0,42,283.0,154.0,12003.0,14984.0,8913.0,14369.0,18.3,1
3794.0,8213.0,945.0,2231.0,2175,2796,2597.0,3618.0,6048.0,7871.0,871.0,1148.0,18.3,4
3796.0,12588.0,1040.0,2810.0,2017,2597,2635.0,3476.0,7683.0,9925.0,667.0,1285.0,18.3,4
23409.0,44510.0,8934.0,20805.0,207,172,0.0,30.0,17329.0,21372.0,5743.0,14693.0,18.3,1
10431.0,14453.0,1144.0,2727.0,1546,2205,1944.0,2594.0,4913.0,7038.0,1033.0,820.0,18.4,4
4123.0,10454.0,823.0,2289.0,985,1470,2178.0,3547.0,4903.0,7979.0,1518.0,2340.0,18.4,4
2713.0,16930.0,700.0,3523.0,1357,2397,1811.0,3443.0,4857.0,10030.0,63.0,418.0,18.4,4
