FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
2993.0,18772.0,693.0,4189.0,1064,1922,1690,3160,5104.0,9782.0,27.0,1191.0,16.6,0
2779.0,10059.0,1230.0,4395.0,2181,3171,2938,4512,9553.0,14964.0,2062.0,4514.0,16.7,0
5260.0,15827.0,2415.0,5780.0,1414,1936,2110,2922,6147.0,7851.0,1591.0,2324.0,16.8,0
4039.0,6767.0,1308.0,2727.0,1341,1706,1409,1971,4454.0,6328.0,761.0,1275.0,16.9,0
5289.0,9735.0,0.0,1388.0,59,51,259,266,5172.0,4684.0,6050.0,3786.0,17.0,0
2412.0,13842.0,629.0,2679.0,188,180,210,1206,767.0,10018.0,6675.0,32858.0,17.0,-1
500200.0,964655.0,18403.0,36178.0,2711,3278,28127,40289,224924.0,308888.0,197612.0,236350.0,17.0,-1
7372.0,22374.0,1453.0,4000.0,2809,3867,4274,5823,12260.0,16818.0,3292.0,4680.0,17.1,0
7524.0,26242.0,1350.0,3714.0,2865,4064,3847,5462,11374.0,16141.0,857.0,4272.0,17.3,0
10538.0,21988.0,1608.0,4460.0,2624,3484,2863,4216,8291.0,11447.0,2084.0,2141.0,17.4,0
94464.0,195546.0,3862.0,7043.0,1,135,127,96,119244.0,148270.0,56429.0,60959.0,17.4,-1
2959.0,4668.0,1392.0,4135.0,210,180,229,113,2192.0,4558.0,2348.0,2561.0,17.4,0
6215.0,11643.0,2083.0,5747.0,0,22,0,0,8212.0,7827.0,1942.0,2498.0,17.4,-1
589023.0,1000870.0,626447.0,1022340.0,2027,1876,684,485,506702.0,604728.0,279500.0,329944.0,17.4,-1
1581.0,10024.0,573.0,2644.0,1013,2180,986,1947,3041.0,6229.0,238.0,988.0,17.5,0
20896.0,52079.0,8265.0,18364.0,396,329,0,0,30456.0,40499.0,26803.0,31149.0,17.6,-1
