FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
11389.0,28593.0,1357.0,4034.0,2090,2301,5429.0,6829.0,14049.0,17314.0,2392.0,4249.0,17.7,7,-102419.74105657436,-21899.14620580208
11479.0,27814.0,1562.0,3653.0,3087,3597,5006.0,5919.0,12766.0,14337.0,2924.0,3581.0,17.7,7,-102808.71866117643,-22783.80061531345
9747.0,15876.0,2682.0,3483.0,3378,4015,4505.0,5320.0,11235.0,13187.0,3069.0,3717.0,17.8,7,-103444.78620256232,-24356.087670684195
8277.0,14492.0,1601.0,3526.0,6162,7604,7087.0,8618.0,18111.0,21074.0,2177.0,4097.0,17.8,7,-101676.98618488328,-19357.557673448835
72495.0,143817.0,6627.0,10228.0,5039,6439,12947.0,15449.0,23059.0,26159.0,12186.0,11592.0,17.9,-1,-64473.364428129775,-16215.369091573531
28924.0,42630.0,10177.0,15215.0,0,85,354.0,124.0,40376.0,44574.0,32757.0,32050.0,18.0,-1,-63785.81419182705,5809.399083693486
6686.0,21306.0,1702.0,4958.0,1541,1790,2183.0,2359.0,7798.0,9188.0,723.0,2699.0,18.0,7,-107893.9862843959,-27006.123487404824
4067.0,13847.0,971.0,3363.0,1519,2460,1855.0,3653.0,4459.0,8944.0,276.0,659.0,18.2,7,-111561.6486267656,-29187.79247152133
2075.0,8900.0,973.0,2853.0,756,942,1609.0,2488.0,5034.0,7991.0,884.0,1874.0,18.2,7,-111796.62689731304,-28307.141935686675
439187.0,719142.0,53003.0,69689.0,725,310,0.0,170.0,28407.0,30344.0,27515.0,32389.0,18.3,-1,134724.91135988478,-44313.99832937684
16103.0,33227.0,4385.0,7891.0,225,189,147.0,80.0,26152.0,29340.0,17510.0,26044.0,18.3,3,-85168.77050085523,-6488.534919785299
4119.0,13899.0,2545.0,7422.0,1001,1155,2225.0,3021.0,6515.0,8726.0,440.0,1771.0,18.3,7,-109238.50028072478,-28554.563037225456
6210.0,14389.0,1931.0,4920.0,4305,5028,5695.0,6848.0,15778.0,17888.0,1678.0,4935.0,18.4,7,-103477.93324908549,-21097.66998711928
25020.0,44345.0,9820.0,17206.0,275,144,147.0,47.0,41989.0,44140.0,30139.0,36493.0,18.4,-1,-64968.10864038443,6947.756243964239
1655.0,6216.0,2305.0,5612.0,1160,1471,2183.0,2768.0,5222.0,6962.0,317.0,1600.0,18.4,7,-111142.63707942914,-29255.986356470898
25418.0,35702.0,2334.0,4581.0,8969,10372,11688.0,13854.0,34241.0,38979.0,5105.0,9975.0,18.5,3,-84361.65008659525,-7584.851992250286
28772.0,50161.0,5039.0,9601.0,317,204,136.0,103.0,36112.0,37403.0,27515.0,32792.0,18.5,4,-70797.07739857055,4263.866965120909
3993.0,12395.0,1100.0,3088.0,1964,3393,2795.0,4656.0,6531.0,10227.0,605.0,1011.0,18.5,7,-110358.87537789054,-27704.709514072954
4926.0,8636.0,1424.0,2566.0,3219,3928,4805.0,5528.0,13285.0,15191.0,4285.0,3882.0,18.6,7,-105050.82183499628,-21559.83127402536
4748.0,12214.0,1896.0,3968.0,4521,6304,5575.0,7428.0,13942.0,18050.0,2237.0,3266.0,18.6,7,-105111.60615130364,-22302.20002253885
5275.0,14723.0,880.0,2177.0,2065,2371,2503.0,2960.0,6616.0,8275.0,766.0,1553.0,18.6,7,-109799.19602585305,-27404.20028886387
42187.0,71506.0,16125.0,29155.0,113,264,256.0,156.0,51913.0,51784.0,37152.0,46490.0,18.6,-1,-45050.838893304695,13405.46573592661
26067.0,51764.0,2986.0,5565.0,339,205,393.0,188.0,35100.0,37317.0,20522.0,26584.0,18.6,5,-76678.44091376162,1227.1074514041063
32980.0,74175.0,9475.0,16835.0,0,116,52.0,79.0,46528.0,45579.0,28713.0,36540.0,18.6,-1,-59989.59643845343,9357.745322447376
12173.0,26068.0,1665.0,3417.0,1543,1716,4068.0,4466.0,12381.0,14012.0,3714.0,4252.0,18.7,7,-102323.8930052744,-22712.67246178632
1094.0,3774.0,995.0,2792.0,74,21,232.0,138.0,1692.0,4246.0,16876.0,36530.0,18.7,7,-104372.20368134102,-18609.90767004237
30418.0,53486.0,7151.0,13234.0,0,0,181.0,123.0,39589.0,43939.0,15383.0,37067.0,18.7,-1,-69553.07266290211,1214.5912542394765
14217.0,27942.0,1165.0,2729.0,2847,3567,4747.0,5775.0,15286.0,16779.0,4434.0,4365.0,18.8,7,-100179.60093052332,-20247.560660680458
4498.0,12135.0,2765.0,6213.0,4106,4673,4078.0,4675.0,10504.0,11704.0,1520.0,1624.0,18.9,7,-106710.2315821081,-25661.15821580762
2864.0,8559.0,1067.0,2768.0,998,2521,1213.0,3248.0,3646.0,7753.0,1495.0,1561.0,19.0,7,-111944.71923728888,-29127.21944392318
47364.0,75172.0,7571.0,16601.0,394,302,367.0,211.0,51868.0,52533.0,53003.0,44088.0,19.0,-1,-44952.829918752,24235.89148522448
16520.0,44968.0,19359.0,38654.0,6889,7618,7938.0,8832.0,20582.0,22413.0,1488.0,1923.0,19.0,-1,-85026.8349995652,-29611.02248375179
6780.0,10974.0,1354.0,4222.0,3502,4150,4858.0,5497.0,12667.0,14067.0,1021.0,3679.0,19.0,7,-105507.31628187528,-23283.97932782429
2053.0,9083.0,72.0,937.0,139,38,203.0,118.0,4818.0,7958.0,310.0,991.0,19.2,7,-112832.58531646096,-28263.15458487656
520357.0,695195.0,351501.0,557407.0,822,889,734.0,274.0,487250.0,456375.0,187159.0,198767.0,19.2,-1,667282.8024369569,161328.86472709957
2527.0,11776.0,703.0,3260.0,1649,3704,2091.0,4326.0,6036.0,11550.0,785.0,1505.0,19.2,7,-111384.53140777451,-27588.80166726996
12890.0,28735.0,2564.0,5134.0,330,207,98.0,61.0,26673.0,27213.0,14573.0,19531.0,19.3,-1,-89324.63641034106,-7117.98498064906
37455.0,52827.0,7135.0,12319.0,0,98,415.0,204.0,36509.0,37550.0,22714.0,29801.0,19.4,-1,-67153.89033873496,589.4711972979785
2458.0,7019.0,228.0,1444.0,1353,2218,2287.0,3748.0,4685.0,8105.0,367.0,433.0,19.5,7,-112671.01052032772,-28525.34348945028
11874.0,23055.0,2887.0,5076.0,1920,2219,2865.0,3374.0,10375.0,12159.0,1865.0,3272.0,19.5,7,-103205.6129039716,-25667.770733192738
10111.0,14444.0,2876.0,4632.0,1730,1767,2928.0,3104.0,7717.0,7342.0,2859.0,2530.0,19.5,7,-105094.96410160504,-27100.33687626463
27531.0,46689.0,2921.0,6862.0,215,116,248.0,147.0,33084.0,35588.0,13338.0,25420.0,19.5,5,-79168.81298614507,-3088.9419704428547
6895.0,10040.0,2035.0,4538.0,3985,4941,6137.0,7914.0,15235.0,19230.0,3294.0,4074.0,19.5,7,-103069.73662710836,-21060.17684061043
6964.0,10679.0,1426.0,3316.0,5327,5913,7132.0,7834.0,20456.0,21276.0,2774.0,6197.0,19.6,7,-100762.5517183757,-17075.28305190534
5713.0,8744.0,2205.0,3956.0,2723,2975,2942.0,3436.0,7438.0,8019.0,951.0,1656.0,19.7,7,-108218.23690295823,-27604.56611234048
7557.0,12405.0,1783.0,4329.0,4025,4639,5500.0,6239.0,14673.0,16052.0,1933.0,2144.0,19.7,7,-103887.00038458168,-22144.70965536081
253151.0,361662.0,106568.0,153149.0,737,575,499.0,238.0,224998.0,200909.0,120406.0,111147.0,19.7,-1,224001.0436659881,107891.26607178307
25627.0,33010.0,3579.0,7247.0,523,276,0.0,0.0,23407.0,24221.0,21122.0,20274.0,19.8,-1,-82862.71071904915,-7623.900736630312
5551.0,11819.0,1404.0,3524.0,3841,4627,5070.0,6171.0,14675.0,15821.0,1844.0,3076.0,19.8,7,-104897.15226528216,-21723.848662582423
80887.0,125678.0,9037.0,16677.0,139,227,506.0,187.0,54955.0,57252.0,34488.0,44298.0,19.9,-1,-33016.60027103721,17123.77890699534
1762.0,3388.0,3084.0,5198.0,168,85,174.0,125.0,6798.0,5597.0,1587.0,1631.0,19.9,7,-109456.07957037885,-28206.842753348425
1010410.0,1476550.0,507732.0,670049.0,832,1147,283.0,200.0,359785.0,320570.0,184059.0,156068.0,19.9,-1,917811.9027205072,-44432.02433626197
5881.0,9824.0,0.0,831.0,1818,3968,2082.0,4191.0,6120.0,11302.0,291.0,367.0,20.0,7,-110701.1527059315,-27588.59702519471
11383.0,13808.0,1423.0,3216.0,3065,3543,4245.0,4686.0,12478.0,12066.0,2870.0,2416.0,20.1,7,-103275.68342535423,-23100.066413266715
20409.0,37303.0,2150.0,3784.0,2622,2568,7395.0,7754.0,19483.0,20642.0,6401.0,7384.0,20.1,7,-93834.0643751734,-17018.92792696643
1399.0,8817.0,334.0,2126.0,789,2462,1208.0,3898.0,2506.0,8259.0,1222.0,2543.0,20.3,7,-113562.90944886013,-29323.69499550097
1697.0,9774.0,363.0,2091.0,1869,3420,2800.0,5391.0,6162.0,11706.0,0.0,0.0,20.3,7,-112349.0166077521,-27816.83217744637
87743.0,129059.0,8393.0,14030.0,293,172,159.0,196.0,128630.0,125090.0,43906.0,55703.0,20.3,-1,9218.947002546134,71620.65817371475
20978.0,34242.0,4567.0,8031.0,6480,6976,9432.0,10078.0,28475.0,29208.0,7291.0,7343.0,20.4,-1,-87304.37947018017,-12232.933073810174
14906.0,31236.0,4552.0,9237.0,189,110,55.0,21.0,16432.0,18186.0,8031.0,14504.0,20.4,7,-94510.96520715264,-18559.53603856408
1989.0,8358.0,1936.0,5211.0,2781,4285,3436.0,5274.0,7662.0,11040.0,155.0,1383.0,20.5,7,-110145.58869607151,-27516.87432718934
3798.0,7093.0,2315.0,5881.0,3733,4834,4476.0,5797.0,11550.0,14611.0,1717.0,1957.0,20.6,7,-106719.39787189844,-24534.351435338394
6533.0,18877.0,1747.0,4336.0,2673,3059,3310.0,3988.0,9069.0,10155.0,1052.0,3481.0,20.6,7,-107101.91176096414,-25927.42261042062
98983.0,158904.0,16827.0,25768.0,657,521,86.0,39.0,65236.0,68354.0,40996.0,58427.0,20.6,-1,-11007.057346224536,23351.76117466483
85964.0,116206.0,17299.0,27049.0,674,316,0.0,0.0,69885.0,65525.0,56605.0,53740.0,20.7,-1,-10503.892011317832,32017.218067540907
26976.0,45523.0,9921.0,19646.0,186,83,106.0,83.0,44636.0,46723.0,26128.0,37537.0,20.7,-1,-63703.41433117068,7193.170441065977
29592.0,49702.0,22340.0,35059.0,308,200,70.0,139.0,34099.0,33183.0,35124.0,27884.0,20.7,-1,-57996.76271208477,-5671.216594019337
3751.0,9629.0,262.0,715.0,70,9,352.0,244.0,2634.0,3769.0,1742.0,2525.0,20.7,7,-112413.62818834012,-29077.200326593476
1090.0,5576.0,0.0,740.0,112,0,251.0,180.0,3293.0,4796.0,761.0,2035.0,20.7,7,-113754.39461082732,-28850.060567439312
488233.0,585072.0,29140.0,41969.0,3929,3560,72380.0,67692.0,469613.0,403678.0,295405.0,266468.0,20.7,0,458599.547696128,403489.4843492411
22214.0,21844.0,3012.0,4915.0,2700,2834,4479.0,4241.0,13004.0,13346.0,1561.0,3171.0,20.7,-1,-97512.22052067245,-24478.9321395532
8171.0,23057.0,1435.0,2612.0,6473,6779,7581.0,8148.0,21190.0,21475.0,2523.0,3574.0,20.8,7,-100336.2488226226,-17162.448989702745
86787.0,137405.0,10709.0,13725.0,0,122,0.0,32.0,142441.0,122715.0,77867.0,62276.0,20.8,-1,27168.952529591115,93590.67114733082
448650.0,626118.0,66078.0,107344.0,2580,1962,22645.0,21510.0,247702.0,221284.0,178745.0,160744.0,20.8,-1,313381.18061303534,172262.020019465
34872.0,61551.0,4051.0,8092.0,273,152,206.0,106.0,46550.0,43623.0,27206.0,28548.0,20.8,-1,-64558.55568948151,10767.801068040786
34193.0,61417.0,4548.0,9680.0,278,133,459.0,231.0,44778.0,44834.0,23104.0,36096.0,20.9,-1,-65330.32018585479,8965.609781997457
