FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
2127.0,12448.0,501.0,1706.0,2225,3873,3147.0,5523.0,8032.0,14261.0,959.0,2646.0,16.1,1,-0.4799705553759008,0.2304014471675527,0.0974296378542413,0.2032790390537435,0.1336232806165199
195984.0,425850.0,200810.0,404440.0,648,853,216.0,229.0,66739.0,85693.0,48952.0,56740.0,16.3,-1,0.3305640787433959,-0.6730025586970448,0.1168935457197538,-0.6935304395923373,-0.4348666878771248
35713.0,71594.0,10065.0,18957.0,284,169,149.0,122.0,45836.0,59974.0,26730.0,46596.0,16.4,0,-0.479988412230407,-0.6419094924429611,-0.366995757531634,-0.3751188665687222,-0.1281570711202718
3641.0,21779.0,118.0,908.0,1139,2749,1318.0,3616.0,2961.0,8727.0,402.0,907.0,16.6,1,-0.5867053503819617,-0.0841674613717658,-0.0251392046177838,-0.0084868073827639,0.0861316551365273
7391.0,15512.0,343.0,1765.0,2537,3240,3244.0,4441.0,10315.0,13995.0,1974.0,3641.0,16.9,1,-0.4726284406201123,0.1426110852251773,0.0702999462267581,0.147689810929098,0.0896862001334299
3106.0,11251.0,2157.0,8467.0,1441,1830,1600.0,2103.0,4654.0,6732.0,1064.0,3307.0,16.9,1,-0.6041326563085294,-0.213460593866945,-0.0805041552486302,-0.0988203885217591,0.0489827263852544
136333.0,297701.0,13042.0,24954.0,207,432,2023.0,2678.0,78716.0,105322.0,58361.0,82727.0,17.0,-1,-0.0120681079695698,-0.5760574164216364,-0.3805003912358362,-0.5083707965190912,-0.4620543503104539
22000.0,46041.0,3249.0,8608.0,23,0,247.0,131.0,24951.0,33413.0,11256.0,27429.0,17.0,0,-0.619311758715617,-0.6534165988891044,-0.3579696713092846,-0.4310390910790181,-0.0895100053177725
3020.0,9925.0,878.0,1999.0,2471,3651,2872.0,4323.0,8706.0,13298.0,1147.0,1436.0,17.1,1,-0.4797241841292758,0.1778265107103769,0.1114145286639386,0.2131188798368904,0.1233611798448888
64423.0,146035.0,106058.0,177428.0,2350,2562,1211.0,904.0,20600.0,23466.0,15441.0,19428.0,17.2,-1,-0.1870570706948926,-0.1745418368129232,0.2106575269423479,-0.0661697761191833,-0.0439277624325164
35443.0,101746.0,11674.0,23404.0,791,989,352.0,306.0,7493.0,9387.0,5644.0,6937.0,17.2,-1,-0.5327982544146439,-0.4719878844755934,-0.1182043418745715,-0.2969103857541096,-0.0994408721025326
88869.0,188845.0,693071.0,1302160.0,2305,2831,4049.0,5579.0,12266.0,15376.0,5965.0,5568.0,17.3,-1,0.4800027782284654,-0.0650438363506842,0.9338282084754096,-0.8923557018426086,0.4388204296756158
5434.0,19787.0,1757.0,4660.0,1502,1927,3340.0,4301.0,10579.0,14456.0,2759.0,4454.0,17.4,1,-0.5655650186204405,-0.0917222069558676,-0.1211699175942621,-0.1379339899589707,0.0370566643736855
1748.0,10929.0,813.0,3482.0,1235,2110,1318.0,2337.0,4249.0,7913.0,153.0,1739.0,17.7,1,-0.6138599712641807,-0.1923315867185108,-0.0689875960655809,-0.0708900582236094,0.0668428660943226
971.0,5366.0,990.0,4209.0,164,62,172.0,119.0,1818.0,5071.0,9103.0,31806.0,17.8,0,-0.703758616131136,-0.620809829929645,-0.3396601052305684,-0.3912036204775433,-0.0352761727723267
27082.0,59246.0,12129.0,25191.0,306,154,90.0,60.0,42100.0,58688.0,29401.0,58248.0,17.8,0,-0.4789284106582896,-0.6465765440469133,-0.3840556942503632,-0.3606693434935131,-0.1183350222222409
