FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4
4784.0,13305.0,1579.0,3012.0,982,1222,1971,2574,5099.0,6540.0,1734.0,3016.0,16.6,1,-0.8152700470349437,-0.2738891126448742,-0.1239589794351573,0.1152273986297162
1012.0,4511.0,1043.0,3201.0,2380,3693,2781,4393,7959.0,12528.0,1018.0,2787.0,16.7,1,-0.6035456825476919,0.2756671750388673,0.2834899670389435,-0.2576285994620011
19472.0,53812.0,6596.0,13011.0,275,196,8,2,28949.0,38433.0,23805.0,31176.0,17.0,0,-0.8058641066488105,-0.7236296440033719,-0.2752962486438178,0.2099222128877121
6422.0,12572.0,1740.0,3873.0,2205,3010,2903,3770,9832.0,12707.0,1459.0,4586.0,17.1,1,-0.6349077358498445,0.1385439911858834,0.1789144423238783,-0.1592939728513754
3496.0,9750.0,1158.0,3908.0,1770,2790,2462,3669,6955.0,10358.0,1388.0,1683.0,17.1,1,-0.6855849206649145,0.0647637728235774,0.1297162942091135,-0.1135455171957032
3540.0,11982.0,585.0,2079.0,2036,2646,2901,3939,7390.0,9752.0,1245.0,1493.0,17.1,1,-0.6711115270818018,0.0953296040359051,0.1109043176665604,-0.0964926486218191
4078.0,20678.0,377.0,2454.0,4568,6075,5279,7164,13762.0,18592.0,266.0,2377.0,17.1,1,-0.301217186102683,0.981273479686678,0.6682930389329251,-0.5942177596260184
30852.0,77838.0,36202.0,77428.0,1338,1611,3667,4829,8965.0,12566.0,2310.0,3585.0,17.4,-1,-0.6174758276379915,-0.0143662843028537,-0.1148588716446371,0.2333895340007178
6355.0,19513.0,2739.0,6191.0,293,149,171,113,13248.0,17119.0,6137.0,11410.0,17.6,0,-0.9063077996429852,-0.6911680486444858,-0.2449321060210423,0.2124598318926559
10002.0,15693.0,2202.0,3682.0,1937,2434,3008,3614,8008.0,10143.0,2836.0,3602.0,17.7,1,-0.6757056497562842,0.0427285239503837,0.0758494225008877,-0.0623367945872027
2286.0,6676.0,1474.0,3558.0,1942,2383,2435,3156,5607.0,7505.0,576.0,1007.0,17.8,1,-0.7072283071428661,-0.011666782625227,0.1015530946397639,-0.0817362696224172
72646.0,149363.0,6001.0,15355.0,408,283,57,43,44245.0,50535.0,32637.0,45184.0,17.9,0,-0.6248727214096532,-0.7285467141143785,-0.3010574960816957,0.276173440971821
45080.0,81557.0,5683.0,8421.0,71,105,67,72,34334.0,41142.0,22904.0,31241.0,18.0,0,-0.7737658607192871,-0.7465041201166495,-0.3194523375843893,0.2654048171500812
1715.0,10085.0,147.0,963.0,194,101,143,25,4571.0,7224.0,1763.0,3212.0,18.0,0,-0.9533439390570236,-0.6997628867066403,-0.2413355686438478,0.2226896433125609
417323.0,697210.0,43033.0,75874.0,1206,1306,239,201,466782.0,511563.0,208382.0,243826.0,18.0,-1,1.1240173676898628,-0.918791376503722,-0.7766409172177875,0.2413220845078056
828075.0,1053840.0,761131.0,1125580.0,2549,1897,959,590,1611630.0,1412280.0,1032680.0,916139.0,18.2,-1,4.83747222528998,-1.7495990036867035,-1.5785768458117628,-0.0200894536715131
828.0,4896.0,154.0,1347.0,121,0,169,89,847.0,4331.0,4430.0,8063.0,18.2,0,-0.9637961914331792,-0.7122981561703017,-0.2657672021934117,0.2351732296647404
5947.0,12243.0,1838.0,3955.0,3044,3713,3269,4157,9541.0,11525.0,1422.0,1385.0,18.3,1,-0.5530689759628722,0.317657159419121,0.3352328291807542,-0.2860575303051771
3943.0,13343.0,1440.0,3025.0,2717,3497,3223,4019,8507.0,9659.0,851.0,2498.0,18.4,1,-0.5851203464389275,0.2613407288959363,0.2813156678782259,-0.2410114607346543
127863.0,235965.0,32810.0,59331.0,197,172,298,214,121763.0,127058.0,43560.0,50777.0,18.5,0,-0.3895650114828332,-0.7907057150243644,-0.4061612706365524,0.3802776616124587
31154.0,51088.0,3654.0,6500.0,400,226,95,86,35578.0,39766.0,32041.0,41386.0,18.6,0,-0.7742313677995639,-0.7105386048668468,-0.2817767291254175,0.1858041526118863
5885.0,15886.0,1886.0,4505.0,4357,5166,5350,6554,14701.0,17655.0,2443.0,3153.0,19.3,1,-0.361665780540358,0.8133632468645473,0.5336288504901177,-0.4757093915150807
3960.0,10734.0,1532.0,3825.0,2415,3461,3014,4184,9419.0,12601.0,439.0,1635.0,19.3,1,-0.6051281847253819,0.2421485139159334,0.2520603705895128,-0.2213340942912887
7787.0,17572.0,1261.0,2864.0,2380,3080,3408,4039,8581.0,10820.0,646.0,2757.0,19.6,1,-0.6150080028979477,0.1956203128676619,0.1855527837182248,-0.1578413178740978
4826.0,11033.0,1568.0,2594.0,2782,3583,3476,4128,11855.0,13852.0,3712.0,3951.0,19.9,1,-0.5689352364852902,0.2909072151403803,0.285501970011941,-0.25649135467523
1942.0,5927.0,530.0,2420.0,170,84,244,165,3939.0,7841.0,1424.0,1627.0,20.0,0,-0.958827719808026,-0.6894928927154542,-0.2488361621615412,0.2290488920471491
1270.0,7474.0,595.0,2890.0,197,114,119,0,6650.0,12007.0,1235.0,2146.0,20.0,-1,-0.9520870849688472,-0.7014084312540037,-0.2384630853546102,0.2165507827090227
626.0,3405.0,214.0,2025.0,164,76,125,0,2689.0,5023.0,1454.0,2772.0,20.0,-1,-0.9666304746730244,-0.7052646520265108,-0.241990204707256,0.2228851540287207
5243.0,11586.0,1361.0,2257.0,133,118,247,109,2754.0,4500.0,14462.0,13628.0,20.0,0,-0.9340422704585684,-0.697075897433987,-0.2584812576957574,0.2217919988191064
909087.0,1169280.0,274439.0,375858.0,2814,2271,563,398,973073.0,875707.0,603544.0,500452.0,20.0,-1,3.235746285197843,-1.159841220062022,-1.0641097810209863,0.2755715992710265
22184.0,41154.0,4856.0,8135.0,0,0,187,119,34226.0,37524.0,12051.0,29308.0,20.0,0,-0.848339477953985,-0.746069800996704,-0.3295274074355269,0.2475437550959156
788598.0,994703.0,392189.0,489905.0,1979,1258,526,232,190768.0,185043.0,142544.0,122406.0,20.1,-1,1.469049561181539,-0.8489858868110884,-0.0909496382442804,1.3118083359800692
4697.0,15056.0,1167.0,3236.0,1973,3087,2328,3263,4327.0,6000.0,822.0,1906.0,20.1,1,-0.6625728014391042,0.084276289998719,0.205926166111128,-0.1673524715418556
4158.0,12795.0,556.0,2538.0,6329,7553,7463,9340,16762.0,20448.0,1669.0,3172.0,20.2,1,-0.1005186098879893,1.4974231590375855,0.9167296566512648,-0.8245416262311172
48280.0,80113.0,10225.0,14892.0,418,141,361,161,55781.0,57711.0,36212.0,45904.0,20.3,0,-0.6999088566214442,-0.7215917947554774,-0.3222502562668795,0.2236139089558277
35154.0,70211.0,5286.0,8169.0,10485,11018,12672,13686,40873.0,37785.0,6836.0,7259.0,20.5,-1,0.4861214444918506,2.6447795832590426,1.4920837360267376,-1.3066703301837987
9064.0,19562.0,1707.0,3157.0,4243,4799,6005,6633,15391.0,16436.0,1342.0,3895.0,20.5,1,-0.3755696574466773,0.7895921081256682,0.451133199537727,-0.4035982507254353
24089.0,38148.0,2658.0,5398.0,6129,6873,8661,9076,22958.0,25699.0,4825.0,6315.0,20.5,1,-0.0860296924871601,1.4185739203102807,0.7671302852620878,-0.682084206541321
10455.0,15535.0,3067.0,6115.0,988,1099,3133,3345,7651.0,8562.0,2538.0,3097.0,20.6,1,-0.7957316404325203,-0.1963011234412636,-0.1908109926632615,0.1706083177187844
1324.0,8584.0,221.0,1756.0,240,250,156,41,844.0,4085.0,9381.0,29504.0,20.8,0,-0.9135742626006212,-0.6860402125027336,-0.2395898221875611,0.18089474880271
47553.0,78708.0,13315.0,23586.0,753,451,68,39,66776.0,69835.0,39917.0,55249.0,20.8,0,-0.640203163812428,-0.6918798233197502,-0.2532738281688071,0.1427144889100966
3535.0,7657.0,717.0,1944.0,372,266,313,251,9283.0,7877.0,14206.0,10597.0,20.8,0,-0.9157519929404642,-0.6526669270313057,-0.22278489550871,0.1860645477104329
404865.0,475622.0,288336.0,477500.0,6081,5683,92792,88099,703492.0,627186.0,484971.0,449712.0,20.8,-1,3.5284260226857262,9.03133307721594,-4.399625404197334,2.466560374298948
1019.0,6849.0,267.0,2598.0,780,2053,800,2270,2044.0,6564.0,255.0,1287.0,20.9,1,-0.8114706392400616,-0.2392280992597039,0.0223428017443845,-0.0138781956340015
4110.0,17376.0,794.0,2138.0,5109,6090,6639,7872,14180.0,17129.0,2593.0,3933.0,20.9,1,-0.2555619089835902,1.1120115646649198,0.66208249848055,-0.5955778128483383
270591.0,420028.0,178742.0,262927.0,925,804,244,214,110862.0,102889.0,67425.0,55886.0,21.0,-1,0.0856597005351258,-0.74098408721383,-0.1435616550362158,0.6444467743052703
7376.0,14098.0,678.0,1568.0,98,79,222,65,1219.0,4929.0,10711.0,10662.0,21.1,0,-0.940566590596088,-0.7065225832455834,-0.2626114199160586,0.23351346293955
91313.0,154197.0,12609.0,21839.0,325,219,317,108,99981.0,94987.0,33543.0,37388.0,21.1,0,-0.5616482611539614,-0.7469808040737127,-0.3521068793135618,0.2821655752566291
4859.0,14344.0,916.0,2356.0,4767,5499,5467,6307,10770.0,12285.0,0.0,2248.0,21.1,1,-0.3347777466301223,0.8714334507526205,0.6245505811098642,-0.545422689974954
22688.0,46988.0,7146.0,14341.0,119,178,81,185,32758.0,35869.0,13347.0,27772.0,21.1,0,-0.827032710703886,-0.7166744445903429,-0.2883176706352585,0.2279809925092826
5486.0,15495.0,417.0,1571.0,877,765,1511,1492,4200.0,4758.0,1711.0,1421.0,21.2,1,-0.8570066462820498,-0.426320850790959,-0.1582571832004501,0.1557728653676328
4246570.0,2915360.0,12020000.0,9056060.0,26505,13663,9345,5745,1624910.0,1196850.0,1301390.0,756711.0,21.2,-1,17.84694610173882,-0.8870383560809195,9.300687120670744,9.81466819531286
1069.0,5134.0,0.0,0.0,888,1401,2247,3309,6956.0,10768.0,1474.0,3154.0,21.2,1,-0.8126021705328507,-0.1968662974804487,-0.1347659905849887,0.1029735446587643
30816.0,58360.0,15673.0,28642.0,439,270,261,115,33932.0,35899.0,27969.0,30380.0,21.2,0,-0.76787773505139,-0.6923188319421342,-0.2504995185488843,0.2160662590383451
53349.0,83607.0,7969.0,12493.0,448,379,158,190,59000.0,58032.0,35948.0,40222.0,21.3,0,-0.6881391434558285,-0.6936072114418738,-0.278592845141129,0.1932355077466792
10685.0,23924.0,1754.0,4067.0,5001,7054,6491,8495,18705.0,24277.0,4112.0,4848.0,21.4,1,-0.190776523975382,1.2621962873981354,0.7758532578273246,-0.7023664948329631
2721.0,16674.0,779.0,3450.0,773,3352,1019,4067,3080.0,11049.0,80.0,169.0,21.4,1,-0.7199867087293712,0.0531077495852068,0.1559094571232675,-0.1365886109142764
1904.0,10370.0,5920.0,21145.0,151,24,193,96,89532.0,154783.0,69175.0,110267.0,21.4,0,-0.644369267662404,-0.8094255585782908,-0.4729036423619315,0.060393078238531
7778390.0,2093320.0,4520550.0,2313160.0,48772,10077,11584,2476,15946100.0,8562750.0,1875800.0,5563720.0,21.4,-1,32.55968611448741,-4.763628067755652,-7.075393826326728,-8.69864708050265
3056.0,8808.0,1386.0,3674.0,2720,3267,3239,3875,7977.0,9085.0,193.0,1766.0,21.5,1,-0.603680563546438,0.223766495542264,0.2537474135723501,-0.2165858022666888
29844.0,50779.0,5075.0,10339.0,448,223,92,84,44446.0,43586.0,20786.0,35590.0,22.0,0,-0.7769392872115577,-0.707177631120446,-0.2721804574485472,0.1885529325096749
3559.0,11994.0,1889.0,6050.0,2123,2550,2922,3583,7558.0,9107.0,180.0,823.0,22.0,1,-0.6733022571971672,0.0654308702745949,0.1164292278362595,-0.0920557245708279
6054.0,14386.0,478.0,2404.0,222,179,304,177,7054.0,6386.0,2113.0,2157.0,22.1,0,-0.9385227398761454,-0.6726784475243426,-0.2347946915897467,0.2231743071203488
831787.0,872796.0,215178.0,279177.0,5905,4298,87713,69981,630501.0,469774.0,416576.0,310838.0,22.1,-1,3.5144235718951142,7.52375840651263,-3.938037056952151,2.8037533120947957
14971.0,28523.0,1404.0,4207.0,4574,5235,6713,7635,20477.0,22053.0,4285.0,5172.0,22.1,1,-0.3003228462203612,0.9527283699353812,0.4900052883867517,-0.4443278845536055
22088.0,41308.0,8706.0,13597.0,408,308,96,49,34799.0,35421.0,34625.0,31947.0,22.1,0,-0.7954621307682187,-0.6962981525330227,-0.249778310675006,0.1762588585374276
185674.0,296642.0,12558.0,21212.0,445,327,96,95,130676.0,123112.0,67045.0,70990.0,22.2,0,-0.2550502176067915,-0.7909638649349926,-0.4164354562987411,0.3629008577756256
2638.0,16652.0,540.0,3020.0,2160,3987,2626,4856,5740.0,10628.0,532.0,984.0,22.3,1,-0.5911670373583726,0.3261292795248814,0.3004463324323182,-0.2622038677553464
31597.0,34148.0,8260.0,13138.0,58,151,684,182,26682.0,26374.0,25584.0,23804.0,22.3,0,-0.8428515112016038,-0.6964278367666734,-0.29987454430647,0.2418193948442542
32548.0,55008.0,21767.0,37319.0,406,328,108,81,40696.0,40224.0,34351.0,33387.0,22.3,0,-0.7525860735799113,-0.7002802369980119,-0.2414640845206968,0.203912558121869
10386.0,16957.0,4818.0,8053.0,5081,4774,6437,6790,17725.0,18354.0,3469.0,3637.0,22.5,1,-0.3200371503719295,0.8573835397351744,0.5024336390128601,-0.4405852997242367
2991.0,9528.0,1362.0,2968.0,2515,2813,3503,3996,7998.0,8359.0,1213.0,1470.0,22.7,1,-0.634217912983869,0.1713996882048854,0.1604121001855802,-0.1369113533836159
31865.0,54142.0,13631.0,23832.0,227,181,226,135,38383.0,39650.0,8739.0,22788.0,22.7,0,-0.803980319189597,-0.7104864731271904,-0.273825268807062,0.2417517508515557
9849.0,19966.0,3251.0,7372.0,1665,1791,4729,5196,13177.0,14465.0,4800.0,5645.0,22.8,1,-0.6825991500037281,0.1098481537641114,-0.1306816104971985,0.100502607678614
1715.0,8307.0,336.0,1426.0,158,71,193,112,5255.0,8453.0,972.0,1359.0,22.8,0,-0.958706887022722,-0.697545228289482,-0.2504785521495527,0.2308521189536265
578935.0,754581.0,55456.0,77961.0,1707,1349,819,344,824992.0,660286.0,314198.0,269908.0,22.8,-1,1.6673524326682807,-0.9904460974809408,-0.9674835038231644,0.116835454478348
6506.0,9415.0,1550.0,3652.0,2848,3344,4556,5449,11494.0,13078.0,95.0,709.0,22.9,1,-0.564564174067676,0.3928489053400481,0.1989307788262901,-0.1810398504607859
11873.0,23942.0,2497.0,6354.0,2347,2066,4530,4995,13399.0,13333.0,3514.0,5145.0,23.0,1,-0.6305865857728855,0.1623990608753547,-0.0250784981199572,0.0202542753768071
9138.0,17299.0,3249.0,5331.0,2210,2410,3248,3608,10664.0,10621.0,1810.0,2901.0,23.3,1,-0.6575505918547845,0.0631999120325192,0.0894551345539223,-0.0691626072573124
4672.0,17116.0,2039.0,4897.0,3558,4702,5279,7035,13467.0,17491.0,807.0,3187.0,23.3,1,-0.4268362034572331,0.7374087947241237,0.3896137815634896,-0.3562257717631973
21024.0,31964.0,4102.0,6034.0,7530,7424,8376,8663,20795.0,21078.0,1944.0,3809.0,23.3,1,-0.0008538587157275,1.5328837531411843,0.9881243936799048,-0.8528135028153949
66047.0,101715.0,1737.0,2229.0,648,374,439,177,56478.0,51068.0,40812.0,39402.0,23.4,0,-0.6591485264926532,-0.6729031548605215,-0.2759465539809123,0.2023042400299519
3224.0,13075.0,333.0,1936.0,1632,2420,2587,3975,5512.0,8329.0,1749.0,1855.0,23.5,1,-0.7072641440344832,0.0338421851936864,0.0517002453727938,-0.0456173218416336
4613.0,11718.0,1235.0,2488.0,3116,3655,3719,4398,8234.0,10051.0,751.0,1776.0,23.5,1,-0.5503226907182843,0.3482811480852705,0.3153492163416711,-0.2711559439162481
