FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
26809.0,66839.0,11511.0,21279.0,109,112,155,169,22093.0,31143.0,17362.0,21171.0,16.5,0,-0.4807109366644123,-1.2744818134483789,0.0386571658676632
227289.0,443136.0,210112.0,419383.0,640,422,0,60,52727.0,73159.0,34567.0,46644.0,16.5,-1,0.7166151536508024,-1.3044663252054645,0.6757118513786032
3151.0,14140.0,1687.0,5411.0,1722,2349,2297,3377,6745.0,10163.0,1780.0,3215.0,16.6,1,-0.594133704148547,-0.430105123404762,0.027932275589085
4977.0,15918.0,1299.0,2866.0,4520,7081,5332,8489,12569.0,19651.0,1277.0,2040.0,16.6,1,-0.4099040514105658,1.005575892443436,-0.0275598134022817
1988.0,8510.0,387.0,1886.0,1069,2238,1142,2458,4265.0,9413.0,1070.0,1958.0,17.0,1,-0.6429582894932917,-0.6582138001428821,0.0389661962631723
1956.0,6865.0,822.0,2397.0,112,88,206,83,2467.0,4169.0,501.0,696.0,17.1,0,-0.7195306791099342,-1.248817016212045,0.0701857136442626
10154.0,15776.0,180.0,1821.0,1970,2497,2492,3070,5747.0,8075.0,337.0,823.0,17.2,1,-0.587033798357243,-0.3938302335873684,0.0439442408335885
2267.0,11610.0,0.0,504.0,65,0,86,0,1066.0,7392.0,5532.0,16824.0,17.4,-1,-0.671397436607084,-1.2874082867111338,0.0346222795659793
124945.0,249551.0,5559.0,9416.0,273,334,0,44,179952.0,229342.0,90948.0,113508.0,17.4,-1,0.5503394636691795,-1.4000443412762105,-0.3981180469163438
3257.0,14413.0,267.0,916.0,1617,2397,1600,2497,4431.0,6944.0,747.0,1607.0,17.8,1,-0.6150444738074259,-0.5458926453373066,0.0506946785945921
5760.0,21747.0,108.0,2142.0,1102,1782,1312,2734,5102.0,10682.0,0.0,213.0,18.0,1,-0.6253650050756651,-0.6776928833507142,0.0442138254811078
