FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
8933.0,14800.0,1817.0,2319.0,6367,8952,7952,11509,4432.0,5917.0,1476.0,1821.0,16.4,4,10.021575,-1.8539195
98549.0,215807.0,10223.0,21641.0,224,193,0,44,107948.0,133133.0,76674.0,80611.0,16.5,1,-0.79103106,0.2625494
46614.0,89948.0,6634.0,13848.0,237,208,0,0,59623.0,75212.0,56001.0,63186.0,16.6,-1,-2.556495,2.9973624
29609.0,68816.0,9022.0,16764.0,475,314,207,83,40325.0,52706.0,33210.0,39291.0,16.7,1,-3.8502452,4.4630227
11250.0,36329.0,2693.0,6762.0,231,120,166,100,20159.0,29178.0,13352.0,23940.0,16.9,1,-5.674666,7.1963453
4096.0,7448.0,671.0,1718.0,675,1325,968,2090,2942.0,5751.0,0.0,305.0,16.9,4,8.934709,15.164915
21030.0,51841.0,6085.0,11580.0,294,191,185,158,26716.0,36962.0,12180.0,28328.0,16.9,1,-5.1211524,5.926318
2260.0,11958.0,767.0,2725.0,901,1480,1246,1943,3651.0,5799.0,237.0,297.0,16.9,4,9.425676,15.418983
54609.0,100787.0,3393.0,6189.0,400,249,0,13,8609.0,11990.0,3852.0,5343.0,17.0,1,-4.880406,4.0258512
3698.0,9541.0,0.0,998.0,2410,3509,3105,4435,8026.0,12267.0,1809.0,2218.0,17.1,4,14.178107,8.734415
19477.0,38475.0,7434.0,15486.0,26,144,316,135,32757.0,44814.0,31963.0,35535.0,17.1,1,-5.406844,6.13389
33041.0,47124.0,6579.0,14162.0,124,98,0,101,38062.0,48547.0,34175.0,37450.0,17.2,1,-4.7931337,5.293616
3189.0,7320.0,729.0,3208.0,1372,1783,1641,2354,5345.0,6609.0,1374.0,1834.0,17.2,4,10.600995,14.748233
44863.0,83614.0,8193.0,16137.0,61,232,109,73,41166.0,49770.0,38594.0,41649.0,17.3,1,-3.6382215,3.739306
2257.0,6590.0,1299.0,3510.0,2356,3180,2793,3765,8234.0,11205.0,1538.0,3016.0,17.3,4,14.017831,10.053876
23459.0,42800.0,7163.0,13510.0,0,58,0,0,19045.0,24454.0,13931.0,22580.0,17.3,-1,-5.975073,6.863728
43183.0,101560.0,17385.0,38765.0,17,85,0,29,37901.0,52732.0,23000.0,48409.0,17.4,1,-3.0620666,3.156674
7078.0,17292.0,1064.0,2497.0,1704,2854,2395,3613,5983.0,10038.0,44.0,426.0,17.4,4,12.862373,10.750985
16315.0,45322.0,5604.0,13140.0,2423,3168,5366,7509,14555.0,19919.0,3102.0,7361.0,17.5,6,10.942377,2.4725873
5227.0,20041.0,2013.0,5341.0,1475,2113,2054,3307,5700.0,8810.0,1593.0,2000.0,17.5,4,11.923875,12.755939
2218.0,5453.0,1301.0,3594.0,1332,1337,1573,2174,5691.0,7812.0,1812.0,3487.0,17.6,4,10.198172,15.429973
11691.0,22299.0,600.0,3677.0,2732,3957,3863,5241,11630.0,15871.0,4636.0,3865.0,17.6,4,14.615972,6.8405957
2598.0,9341.0,533.0,2600.0,1777,3124,2116,3672,6500.0,11259.0,1239.0,2433.0,17.7,4,12.893451,10.482168
1705.0,7585.0,1100.0,4760.0,1161,1640,1466,2271,4975.0,7833.0,276.0,660.0,17.7,4,9.987603,14.845247
12628.0,14531.0,1345.0,2168.0,2927,3574,4040,5328,10804.0,13469.0,1901.0,2398.0,17.7,4,14.932517,6.670232
9942.0,12029.0,1543.0,1766.0,1410,2711,2196,4292,5605.0,11439.0,1806.0,2181.0,17.8,4,12.67529,10.311356
2995.0,17845.0,899.0,3383.0,934,2492,1280,3269,3842.0,8499.0,775.0,1731.0,17.8,4,10.946217,12.586085
1928.0,11199.0,841.0,3405.0,924,1536,1248,2194,3559.0,6282.0,0.0,0.0,17.9,4,9.547817,14.986148
18435.0,23284.0,2799.0,5188.0,2690,3255,3816,4584,9912.0,12507.0,2271.0,2781.0,17.9,4,16.207598,8.449965
44227.0,98424.0,23878.0,44767.0,0,160,286,187,55006.0,74394.0,45422.0,63188.0,18.0,1,-2.4995186,2.8139772
4335.0,14031.0,832.0,3256.0,1182,1780,1886,3017,5826.0,9350.0,1413.0,3671.0,18.0,4,11.473588,13.562606
