FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Max_Confidence,Label
613.0,3175.0,420.0,3310.0,94.0,0.0,266.0,247,4926.0,7891.0,2234.0,4196.0,16.4,Syn,0.6893806998937618,Syn
1249.0,7199.0,0.0,172.0,103.0,0.0,283.0,457,2006.0,5375.0,1651.0,6909.0,16.4,Syn,0.6900490078012426,Syn
551.0,2823.0,6.0,268.0,89.0,114.0,140.0,810,0.0,8196.0,17274.0,48371.0,16.4,Syn,0.7047225626391566,Syn
478873.0,870053.0,44664.0,84846.0,3484.0,4603.0,29286.0,37024,353595.0,426011.0,256007.0,301935.0,16.4,Crypto,0.9999999578076959,Crypto
36686.0,59913.0,10997.0,20319.0,216.0,203.0,336.0,183,35763.0,44660.0,19240.0,33994.0,16.5,Syn,0.5966920530304001,Syn
2117.0,7070.0,41.0,1044.0,1591.0,2440.0,2253.0,3487,6055.0,10078.0,82.0,792.0,16.5,Syn,0.7691982955221319,Syn
19529.0,34455.0,1714.0,5206.0,5327.0,7582.0,7015.0,9658,18231.0,23954.0,4518.0,5347.0,16.5,Syn,0.86399985096015,Syn
5343.0,16838.0,847.0,3086.0,134.0,62.0,172.0,92,10755.0,14487.0,3153.0,11412.0,16.5,Syn,0.6639989298551731,Syn
12931.0,14510.0,2859.0,6613.0,2468.0,3151.0,3090.0,4239,10090.0,13358.0,1313.0,2331.0,16.5,Syn,0.778951032562987,Syn
5817.0,9830.0,1683.0,2858.0,1425.0,2330.0,1789.0,3194,4771.0,7934.0,372.0,711.0,16.6,Syn,0.760044481246704,Syn
18812.0,42739.0,1795.0,3374.0,206.0,270.0,222.0,99,28447.0,37327.0,17949.0,26794.0,16.6,Syn,0.6188519999437356,Syn
12527.0,28124.0,9906.0,19825.0,337.0,188.0,254.0,133,20951.0,26538.0,15461.0,23237.0,16.7,Syn,0.6486875143260253,Syn
2023.0,12624.0,674.0,3405.0,408.0,1310.0,419.0,1475,1173.0,4674.0,995.0,1932.0,16.7,Syn,0.7132697238615248,Syn
229383.0,246435.0,375979.0,413754.0,32388.0,37441.0,30748.0,39370,37151.0,40837.0,15754.0,13066.0,16.7,Syn,0.9564622288947061,Syn
21466.0,42419.0,11176.0,22873.0,390.0,457.0,0.0,22,29560.0,35211.0,22673.0,22859.0,16.8,Syn,0.622450517010818,Syn
26751.0,53486.0,3232.0,6505.0,387.0,307.0,301.0,200,23266.0,27707.0,18525.0,19093.0,16.9,Syn,0.6103984110177643,Syn
5053.0,20320.0,1877.0,4628.0,3720.0,5697.0,4556.0,6710,11874.0,16823.0,1892.0,3289.0,17.1,Syn,0.8253732326331988,Syn
2804.0,15407.0,884.0,2861.0,487.0,2617.0,627.0,3484,1491.0,8776.0,0.0,0.0,17.1,Syn,0.760640622236908,Syn
23646.0,30766.0,3165.0,5610.0,6739.0,8727.0,8370.0,10699,19258.0,24169.0,5948.0,6029.0,17.2,Syn,0.8823298995357037,Syn
15100.0,27637.0,7865.0,17032.0,611.0,357.0,292.0,132,24197.0,32268.0,20186.0,26965.0,17.3,Syn,0.6468978195787277,Syn
7568.0,23817.0,597.0,3626.0,2588.0,3611.0,3239.0,4655,9192.0,13748.0,348.0,3081.0,17.3,Syn,0.7781359885956144,Syn
165901.0,329424.0,9588.0,17537.0,197.0,192.0,355.0,158,232329.0,275723.0,96646.0,114387.0,17.3,PEuk2,0.8024743446279157,PEuk2
1784.0,7972.0,722.0,2796.0,1724.0,2937.0,2334.0,3915,6250.0,10874.0,652.0,2372.0,17.4,Syn,0.7785699517973552,Syn
4233.0,13813.0,1773.0,4213.0,1338.0,1621.0,2293.0,2842,6110.0,7734.0,296.0,2206.0,17.4,Syn,0.7463596652985709,Syn
34676.0,54769.0,4488.0,7072.0,438.0,233.0,0.0,21,36123.0,42672.0,28279.0,26468.0,17.5,Syn,0.5971705189025175,Syn
22709.0,25584.0,4023.0,8867.0,146.0,167.0,103.0,114,24948.0,29852.0,23295.0,22016.0,17.5,Syn,0.6481216987818608,Syn
11817.0,22834.0,1119.0,2693.0,1878.0,2209.0,2834.0,3483,5420.0,6964.0,1690.0,2384.0,17.5,Syn,0.7520662747499958,Syn
25898.0,63643.0,143117.0,275028.0,7699.0,9851.0,10439.0,13390,27515.0,31714.0,8673.0,6394.0,17.5,Syn,0.9176574376936691,Syn
3336.0,13117.0,1117.0,4152.0,1760.0,2747.0,2338.0,3496,5228.0,8404.0,1114.0,2821.0,17.7,Syn,0.7640045885646789,Syn
24368.0,21976.0,3644.0,4324.0,5218.0,6280.0,5631.0,7133,17228.0,21004.0,2719.0,4285.0,17.7,Syn,0.8312545611417937,Syn
2592.0,15427.0,180.0,1034.0,179.0,111.0,122.0,98,685.0,4592.0,1886.0,5916.0,17.7,Syn,0.6692978819331288,Syn
2752.0,14034.0,671.0,4475.0,136.0,79.0,95.0,0,6162.0,22734.0,45896.0,114690.0,17.7,Syn,0.6626188735950104,Syn
268055.0,483187.0,34725.0,65190.0,577.0,530.0,175.0,104,330360.0,383044.0,141720.0,193339.0,17.7,PEuk2,0.9528697140537205,PEuk2
3532.0,15349.0,889.0,3728.0,85.0,96.0,182.0,157,1954.0,4840.0,1010.0,2567.0,17.7,Syn,0.6715582922899257,Syn
14129.0,29765.0,2454.0,5013.0,387.0,315.0,222.0,80,16524.0,19557.0,10988.0,17149.0,17.8,Syn,0.6442750304609667,Syn
650856.0,962708.0,1119880.0,1904110.0,3189.0,2912.0,804.0,752,205010.0,223773.0,112516.0,116885.0,17.8,PEuk2,0.6635652135183993,PEuk2
5732.0,16517.0,1407.0,3459.0,1846.0,2070.0,1971.0,2396,5385.0,6839.0,992.0,654.0,17.8,Syn,0.7326428030940078,Syn
18305.0,47790.0,9895.0,16869.0,73.0,136.0,90.0,83,32636.0,39241.0,18413.0,37181.0,18.0,Syn,0.6129824462176956,Syn
3357.0,13369.0,1515.0,5114.0,2272.0,3355.0,3345.0,4922,9798.0,14535.0,1219.0,3342.0,18.0,Syn,0.7946864405081686,Syn
1811.0,10950.0,389.0,1888.0,354.0,2165.0,431.0,2077,1839.0,5763.0,659.0,1160.0,18.0,Syn,0.7315175083680389,Syn
5745.0,30496.0,2624.0,9034.0,2859.0,4655.0,3541.0,6050,9976.0,16550.0,671.0,3423.0,18.1,Syn,0.8024446774733924,Syn
4323.0,17325.0,1302.0,4308.0,4465.0,6139.0,4810.0,6551,11337.0,14937.0,972.0,2403.0,18.1,Syn,0.8259037873058555,Syn
8459.0,25044.0,1294.0,3964.0,5069.0,6280.0,6921.0,8719,19359.0,24369.0,2576.0,4555.0,18.1,Syn,0.8551491065294227,Syn
1272.0,5707.0,1350.0,4407.0,1422.0,2576.0,1788.0,2877,3979.0,6455.0,807.0,1665.0,18.1,Syn,0.7582313840333136,Syn
12836.0,14689.0,2547.0,4505.0,1659.0,2213.0,3067.0,3782,6817.0,9114.0,88.0,835.0,18.2,Syn,0.7681321528217708,Syn
5445.0,25409.0,461.0,2020.0,2440.0,3416.0,2980.0,3821,8536.0,10829.0,1182.0,2468.0,18.3,Syn,0.7573919895038679,Syn
12254.0,17729.0,8622.0,15593.0,5217.0,6081.0,6956.0,8468,21393.0,25083.0,3268.0,6022.0,18.3,Syn,0.8578348948678151,Syn
27795.0,60213.0,5607.0,10036.0,287.0,195.0,166.0,140,36163.0,44226.0,19406.0,39026.0,18.3,Syn,0.5926681059237597,Syn
10465.0,18411.0,575.0,3071.0,3007.0,3732.0,4375.0,5463,11380.0,13798.0,3799.0,3489.0,18.3,Syn,0.8011965279315088,Syn
52303.0,78888.0,3669.0,4941.0,43.0,88.0,263.0,142,47280.0,55143.0,43853.0,41023.0,18.4,Syn,0.5583122942091301,Syn
4331.0,12857.0,1179.0,3558.0,3002.0,4299.0,4196.0,5564,9638.0,12480.0,2088.0,1817.0,18.5,Syn,0.8096792570815522,Syn
90343.0,166856.0,6033.0,9527.0,0.0,131.0,0.0,0,58577.0,64925.0,45379.0,51777.0,18.6,PEuk1,0.5740272302138602,PEuk1
3598.0,10771.0,1733.0,3935.0,864.0,1882.0,1309.0,2597,4164.0,7178.0,0.0,0.0,18.6,Syn,0.7443752894974752,Syn
2692.0,8149.0,810.0,1902.0,2226.0,3620.0,2670.0,4410,6447.0,10186.0,2286.0,2567.0,18.7,Syn,0.7900476457809451,Syn
14564.0,37982.0,6854.0,14310.0,485.0,451.0,90.0,10,27762.0,32468.0,11633.0,23101.0,18.7,Syn,0.6277110469395333,Syn
12123.0,21158.0,1802.0,3554.0,3400.0,3976.0,4131.0,5042,10998.0,12308.0,2339.0,2322.0,18.9,Syn,0.7902371563815136,Syn
4209.0,17029.0,1623.0,7758.0,312.0,249.0,29.0,0,542.0,4385.0,22820.0,41711.0,18.9,Syn,0.66594591428404,Syn
290094.0,514006.0,149171.0,244542.0,3132.0,3125.0,425.0,419,91607.0,101236.0,81416.0,94152.0,18.9,PEuk2,0.9954042702745872,PEuk2
43271.0,80509.0,2950.0,5802.0,245.0,181.0,20.0,33,35618.0,36957.0,27726.0,32380.0,18.9,Syn,0.5598607147928126,Syn
2991.0,10326.0,607.0,2317.0,2253.0,3100.0,2793.0,4290,7943.0,11757.0,1754.0,1982.0,19.0,Syn,0.784232711484592,Syn
42348.0,84233.0,9514.0,20110.0,61.0,51.0,263.0,151,32597.0,36841.0,26007.0,33259.0,19.0,Syn,0.5610694250915123,Syn
8439.0,19266.0,1488.0,6172.0,3460.0,4792.0,4286.0,5719,9193.0,12257.0,1321.0,2410.0,19.0,Syn,0.8075242320757222,Syn
9152.0,17449.0,1136.0,2794.0,3970.0,4453.0,5736.0,6807,12862.0,15007.0,2332.0,3729.0,19.0,Syn,0.828755165774294,Syn
7670.0,22208.0,1150.0,3618.0,2017.0,4446.0,1870.0,5309,4657.0,10280.0,0.0,391.0,19.0,Syn,0.7958936406097087,Syn
48053.0,79559.0,9631.0,17940.0,421.0,284.0,210.0,60,39284.0,43032.0,32656.0,35829.0,19.0,Syn,0.5628403745042196,Syn
4017.0,8433.0,302.0,2486.0,2160.0,3074.0,2568.0,3561,6373.0,8350.0,913.0,1142.0,19.1,Syn,0.7708534663707203,Syn
143603.0,267121.0,11404.0,21104.0,991.0,1098.0,387.0,145,109350.0,124985.0,39247.0,61771.0,19.1,PEuk1,0.5175283870802996,PEuk1
7552.0,22169.0,5111.0,11397.0,255.0,146.0,272.0,195,15329.0,19345.0,2464.0,7699.0,19.2,Syn,0.6596755918330517,Syn
9310.0,15838.0,1927.0,4874.0,7739.0,9234.0,9151.0,10989,26658.0,31447.0,2391.0,3845.0,19.3,Syn,0.8944166861422232,Syn
6256.0,10538.0,552.0,2694.0,915.0,960.0,1653.0,1805,3938.0,4132.0,945.0,1563.0,19.3,Syn,0.7241515315298409,Syn
22893.0,43374.0,5335.0,9732.0,483.0,314.0,21.0,94,26525.0,28368.0,21108.0,22003.0,19.3,Syn,0.6226469329794796,Syn
5419.0,12963.0,1477.0,3039.0,819.0,1299.0,961.0,1968,2790.0,6139.0,1824.0,1739.0,19.4,Syn,0.7252092930210472,Syn
449112.0,525462.0,880064.0,1284560.0,6727.0,5153.0,580.0,675,238184.0,239439.0,68455.0,82569.0,19.4,PEuk2,0.9190599901060816,PEuk2
