PC1,PC2,PC3
-113209.29453122945,-28687.84892836852,-20819.04748455624
-81365.27017610622,-33238.682497315,-22164.1164398769
-89272.94023516409,-25671.83594114586,-9776.415941030811
-79253.17008072097,58475.02049006663,-16424.330578922025
-115095.63752329026,-27234.87342081288,-20948.926133519122
-79120.14220423679,-32245.726064092334,-20434.869149430073
-114921.07844630243,-30017.498519478875,-23116.65505294608
-115991.35410623738,-29510.80411240168,-22562.176230560064
-112494.89251038698,-29100.48937786771,-22890.90275010249
-115222.37921052283,-32702.206862937368,-27760.655277940565
632575.3200186669,46798.745425859786,213260.1756820962
-116953.80891997501,-25069.071556904113,-18175.348839521357
-121316.30049702563,-29362.3639318365,-24826.1982170006
-121958.74136312546,-27999.972141114908,-24118.858961629667
-119452.89823091765,-28556.766568567375,-22776.900004197985
-42049.74307783159,28372.641680008295,40598.12841872441
-116433.9031536628,-28354.98296879533,-22512.926518138385
-119520.65486963607,-28513.90242503882,-25679.144432524026
-118274.7039172656,-29535.517964061513,-25796.58215837514
576262.8260382804,877480.5597841084,-101231.00820127886
-115478.31526605919,-26865.876619792278,-20319.124194484917
-120244.5424829352,-27902.31611768043,-22677.953432468308
-120269.3174830006,-28731.714455466754,-25218.90204549888
-114139.7550470776,-27502.980229142428,-20452.678924079104
2605399.9566134303,7774979.41707603,-3441606.052068648
-119192.70765238043,-29803.818106892355,-25323.472652277174
-42425.76446516553,-30604.68005607394,-9195.622410358628
-116427.77847389028,-28491.375564111157,-22080.194082137183
-29917.254540531838,-27738.781950467484,-18041.16725790924
-117687.42490552257,-28468.16082815715,-24171.939631536858
-116716.8897312333,-28821.913168113304,-23628.58996887744
-118819.56738284674,-28523.6572055588,-24830.620933483104
-112504.42157750728,-27111.154553192995,-20680.09227781603
126597.4656284185,29134.367291240625,73670.71755611908
-103073.89349389829,-25514.125935598233,-18419.57076345064
-77638.5240659993,-28341.138572363667,-12369.326598666039
-116818.35096626806,-27793.754663393127,-22107.597474097023
-117661.93129838191,-31010.317302309188,-27093.250161952976
1647359.04157663,1109067.965525138,-585302.103049975
-100729.38312099875,-24795.677161390082,-14133.928357347255
-120145.18757001268,-27929.59690384482,-23974.251692446367
-117451.59412284692,-29419.01880546451,-25541.412447318224
-120064.40088896065,-29561.587658225508,-24482.209667321273
-26076.102723627322,-32568.64798496703,-2070.912679848185
-118503.74328060859,-28701.484652949475,-23456.043622727626
-45025.79025753836,-37217.29876017824,-15340.717182760978
-65111.90467196716,-9542.80054820791,680.3627890229509
-107412.24858584542,-28294.969609080046,-21859.074702374983
1148299.840245089,781876.6840437255,-331825.2974696799
-117470.87216777519,-26442.385910620273,-24033.956884344247
-103098.95766664935,-35088.810330799985,-25424.391527541484
-118202.14385512647,-31356.338043252785,-26549.132971221225
-52942.47972412358,-60869.200860125275,-57319.0392279192
1748785.2467094366,-301624.5566965582,-2990.4036176342743
-109051.70182611587,-27313.576874928636,-19163.395376523535
47090.52486151423,-41873.392906568646,-4478.312282943407
-121353.1295755737,-29640.772282721984,-24776.362249526297
-122541.74684011361,-29321.665081405627,-25141.308970705908
-117498.81861620798,-24201.771028181418,-24222.560619293756
-32132.487301707835,-24929.21104022847,-10807.03753485781
-112884.71779336593,-27367.829744916846,-20642.708687367478
-117633.71556405,-29770.397274566283,-24669.996528004536
-101229.63010883963,-26237.018987889925,-14728.884032419039
-77376.36720898811,-29425.42075412394,-25268.861934418837
1296.4229104568803,-8934.388569064005,19333.751601329066
-117343.56880591635,-29342.99809028612,-24730.022220654526
-121026.87693682674,-28310.30675129355,-23707.023878681466
-113209.448711335,-26951.04217096829,-20713.624977287018
42251.22458320558,-34739.19993089838,5383.247257981609
-123110.91095606712,-28616.544538406924,-25497.468242018527
-121886.66508728861,-29532.450882729292,-24961.524256084365
-98169.54857887968,-22446.870944966533,-13951.686351147779
-117847.08709861654,-28180.33696062821,-22026.606121557314
-119347.98364077981,-28283.724566622295,-23078.393608338123
-123034.30447471097,-28502.460168619113,-23491.109954672156
-53148.16519977884,19067.133805720478,43174.56323676451
53018.358936950375,-19017.582429060807,33706.957848333885
-113066.0436739731,-28617.22407591913,-22162.568315222656
-114366.57080337899,-26154.91036667609,-20676.460571066025
111575.87954715108,-25391.324698927852,30503.315567419784
-117651.1445445933,-28959.496157810587,-24723.721118917034
-81273.0237117974,19846.571069617967,10569.944022020536
-112420.77548738298,-27828.615333454105,-21056.35058433128
-114218.08232405124,-27882.02768220634,-22581.883735747528
-119246.95086568042,-29501.8551686243,-25946.434349558618
-67236.81526955822,-26651.47369197863,-13453.757941327276
-116793.94020609453,-28660.882750168003,-23233.61486134087
-118312.50515510583,-29866.692319079488,-24985.089476382218
-116579.1688184315,-28735.442207061187,-24641.73648562077
-97247.60069431012,-24217.31941230648,-10155.692828103598
-112728.3744646294,-24364.681857368836,-20205.716048331113
-108928.1532138594,-28709.480290522137,-21340.414005704548
-112237.72715071199,-32272.643664188177,-28101.161796400684
-9337.024920923664,3163.3764578837836,-24577.45917551562
761540.9884619918,147784.66742296278,412085.5391386477
-112027.67600346952,-26056.096948310573,-20425.28674786345
-109744.22039835641,-31404.941876620334,-22430.161948084617
-114661.54859948387,-28405.141115405782,-23074.65784176314
-113929.26161178168,-29920.78305484466,-22503.732459737803
-48558.2327347072,-8674.791136368625,7423.356669306864
-103708.48763396096,-29019.753650887236,-20046.966067672336
-111594.6320018858,-26321.36879075041,-20426.31548888462
-113877.14028850707,-27798.469752501736,-20670.46799284096
-108360.10506039564,-27666.290882492027,-22790.063327280248
-121606.98170315076,-29096.85827672304,-25664.96332107114
-122205.76567108918,-28899.46401277088,-24932.78553629974
137036.25317372725,89424.65696045582,195828.2832082079
-119295.6009029185,-30444.16361629444,-24121.124237580516
-47514.05924531256,-60395.32437639132,-57663.1064356304
1094685.8340043344,-107973.49046311843,248023.1794253475
-70302.94757480676,-24554.26880998044,-21148.005010098816
91735.2972726593,57571.81702886129,130185.0278530184
-97303.24118898374,-26881.939352018097,-18353.413845315492
-124266.06867829894,-29225.911383434865,-25518.524426891672
-108945.93140990847,-24784.374413437225,-18009.460406717903
-117293.09016606644,-26023.548168794285,-22980.145100407564
-119280.98236542325,-25429.943660316614,-20860.622719608684
224808.9277871693,2574.7880068404265,123416.68233293915
5368.130893848473,-34818.021135758754,-2040.6660493467098
-114972.86866030862,-29886.260197098116,-22135.85415615952
-109278.14951696477,-28416.770814279753,-20823.93257054066
208180.25989122584,17410.327409218196,70680.33582868753
-71592.77009885693,-8140.189193582348,-9777.00840722643
-109975.79516109561,-26027.11141766071,-18173.82482806369
-63837.50848688482,-12479.992016301308,-1387.5885741712227
-84961.32592597269,-30993.437000795027,-23890.110085120054
-75025.48293516482,-30116.21113673258,-12085.741887506325
-90177.85464078604,-26230.59123512075,-14259.618898178061
-108890.07158930316,-23852.992117990932,-15313.495844030347
-109813.4565186318,-24638.786115797047,-16278.25317411286
-7495.819418481609,-35872.4789811495,-4565.33645532465
-122707.44933535441,-29506.77585847921,-24651.20997124303
-70878.18714310374,-26234.731525011786,-8385.687649939708
-105243.43693340426,-28594.87115755087,-18704.03554740288
-66265.68803688828,-27096.16117526755,-14149.555362936944
-101720.03606944295,-26385.57735496831,-15110.525914897731
15302.183477219005,-15010.547463415318,46185.612470981585
-19488.197107223066,-28107.57867850152,4985.102709340808
-106717.94517937633,-30311.251983356553,-23064.046579357353
-120533.07646909285,-30323.060969642123,-25915.79251924648
-110034.5638513404,-35670.275112568284,-31664.071644825723
876550.674501483,147424.66865052847,331598.19403159356
-113020.6884050042,-28354.180082832754,-21764.680375429987
-58125.90304224068,10183.688477900832,16901.508919019878
-95001.89379795312,16010.49945762669,-3127.9100694019508
