FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
21783.0,40312.0,2514.0,5293.0,290.0,367.0,242,133,34790.0,37646.0,19988.0,26637.0,17.0,PEuk1,4
6867.0,16277.0,4639.0,10582.0,1544.0,1814.0,3086,3901,9578.0,12589.0,3323.0,4628.0,17.1,Syn,6
38131.0,63053.0,10572.0,18735.0,445.0,240.0,0,41,34442.0,33896.0,22746.0,21502.0,17.1,PEuk1,4
48620.0,76945.0,34020.0,59706.0,7720.0,9156.0,9396,10889,24528.0,27447.0,7218.0,6303.0,17.1,Syn,6
6568.0,13191.0,3882.0,6449.0,1937.0,2108.0,3118,3646,7971.0,9351.0,1742.0,2459.0,17.1,Syn,6
2734.0,10321.0,1079.0,3096.0,2860.0,4115.0,2904,4114,6838.0,9635.0,1096.0,1776.0,17.2,Syn,6
607016.0,787157.0,731816.0,1019370.0,5514.0,5031.0,1012,886,354492.0,338139.0,154831.0,145826.0,17.2,Nano1,2
18713.0,28100.0,1917.0,5093.0,4228.0,5227.0,6286,7165,17354.0,20631.0,4974.0,6237.0,17.2,Syn,6
3805.0,10162.0,1488.0,5441.0,1498.0,2015.0,2322,2875,5744.0,7298.0,1591.0,1495.0,17.2,Syn,6
42704.0,77119.0,20634.0,34516.0,625.0,297.0,0,57,57519.0,58533.0,54744.0,49577.0,17.3,PEuk1,4
18753.0,41975.0,16770.0,34424.0,1550.0,1714.0,3163,3829,7688.0,8901.0,3406.0,3683.0,17.3,Syn,6
7398.0,14682.0,1653.0,2967.0,2474.0,2574.0,3188,3639,7980.0,9207.0,1845.0,1701.0,17.3,Syn,6
4140.0,7380.0,556.0,1706.0,1866.0,1872.0,2607,2917,7543.0,8045.0,1682.0,2064.0,17.3,Syn,6
19346.0,28562.0,3996.0,4541.0,1205.0,1516.0,1508,1706,5654.0,6082.0,2421.0,1896.0,17.4,Syn,6
6342.0,14919.0,2521.0,3411.0,1253.0,1539.0,2613,2654,6227.0,6626.0,2243.0,2003.0,17.5,Syn,6
12216.0,26641.0,4306.0,8828.0,406.0,262.0,184,138,14275.0,16460.0,12054.0,14826.0,17.5,PEuk1,4
24632.0,45775.0,5197.0,8814.0,1513.0,1712.0,352,233,36644.0,37450.0,17974.0,23477.0,17.6,PEuk1,4
2516.0,8724.0,1122.0,2990.0,2459.0,3837.0,3226,4979,9674.0,14832.0,595.0,1591.0,17.7,Syn,6
7319.0,24135.0,2816.0,6581.0,3624.0,5049.0,4314,5979,11448.0,15278.0,3336.0,3595.0,17.7,Syn,6
3307.0,14835.0,1292.0,3676.0,1160.0,1939.0,1359,2358,3527.0,5835.0,387.0,1064.0,17.7,Syn,6
9575.0,25702.0,2672.0,5470.0,288.0,209.0,23,0,17984.0,20018.0,14425.0,14281.0,17.7,PEuk1,4
39212.0,66241.0,4066.0,8918.0,376.0,295.0,59,75,37275.0,37111.0,36772.0,36314.0,17.8,PEuk1,4
