FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
10412.0,9457.0,2367.0,7194.0,3914,4220,4600,5393,11312.0,13085.0,0.0,1226.0,17.4,Syn,6
24353.0,31763.0,3620.0,5121.0,5069,6187,7172,8468,22136.0,24405.0,3561.0,6814.0,17.4,Syn,6
2742.0,11772.0,1872.0,4934.0,1203,1721,1442,1897,4223.0,5697.0,0.0,897.0,17.4,Syn,6
1743.0,11247.0,2054.0,10154.0,179,133,150,28,3605.0,8306.0,3931.0,8021.0,17.5,PEuk1,4
2528920.0,2099250.0,6218020.0,6100150.0,14096,8082,8117,6818,2262990.0,1413470.0,2014500.0,1019520.0,17.5,Nano2,3
2882.0,11233.0,1773.0,3404.0,3835,4955,5240,6616,12168.0,15281.0,1190.0,2791.0,17.5,Syn,6
4743.0,15027.0,2202.0,5145.0,4347,5137,4998,5864,14428.0,17102.0,1480.0,2227.0,17.5,Syn,6
8778.0,17810.0,1618.0,4158.0,1173,2668,1937,3312,6326.0,9808.0,1141.0,1459.0,17.5,Syn,6
72927.0,135007.0,6691.0,9650.0,0,47,234,136,94369.0,96624.0,23684.0,39602.0,17.6,PEuk1,4
2914.0,13292.0,2221.0,8035.0,2938,4395,3727,5763,9266.0,14286.0,1204.0,1970.0,17.6,Syn,6
16579.0,33156.0,2507.0,5292.0,7461,8465,9541,10906,21837.0,25380.0,2166.0,4881.0,17.7,Syn,6
631.0,3936.0,295.0,1981.0,782,2049,927,2996,2774.0,8176.0,103.0,135.0,17.7,Syn,6
44608.0,76716.0,21158.0,35977.0,276,235,0,0,43792.0,47342.0,16548.0,41520.0,17.8,PEuk1,4
7409.0,16955.0,363.0,1910.0,2761,3821,3923,5489,11041.0,15920.0,3019.0,3277.0,17.8,Syn,6
45292.0,75336.0,7364.0,14320.0,352,244,77,27,36132.0,39954.0,26203.0,34009.0,17.8,PEuk1,4
4642.0,14164.0,746.0,2446.0,6202,8240,6937,9201,13840.0,18757.0,0.0,1254.0,17.9,Syn,6
457879.0,203414.0,68461.0,25374.0,891,409,207,221,29106.0,28445.0,31493.0,23932.0,17.9,PEuk1,4
3952.0,12612.0,1982.0,4652.0,2971,3662,3719,4228,9891.0,11050.0,744.0,2120.0,17.9,Syn,6
11806.0,19368.0,1754.0,3577.0,2524,2820,3936,4260,10720.0,12287.0,2765.0,2486.0,17.9,Syn,6
28222.0,47227.0,5235.0,11553.0,20,93,61,39,25749.0,26566.0,24553.0,22970.0,18.0,PEuk1,4
1568.0,10412.0,576.0,2627.0,1604,3785,1921,4857,4413.0,11811.0,392.0,959.0,18.0,Syn,6
2488.0,14848.0,461.0,2356.0,1257,3405,1390,4203,3425.0,10776.0,19.0,255.0,18.0,Syn,6
6129.0,14732.0,1970.0,5159.0,4629,5595,5598,6977,13083.0,16173.0,2070.0,2730.0,18.1,Syn,6
8850.0,15379.0,123.0,2055.0,154,105,348,170,3802.0,4611.0,3420.0,4400.0,18.1,PEuk1,4
1478.0,6864.0,0.0,199.0,168,80,160,39,3581.0,4944.0,1380.0,1805.0,18.1,PEuk1,4
456176.0,615624.0,49120.0,70226.0,1384,1255,234,146,506905.0,420133.0,238713.0,207988.0,18.1,Nano1,2
2819.0,10565.0,362.0,2766.0,619,1174,662,1952,1875.0,5649.0,3219.0,4751.0,18.2,Syn,6
12212.0,24959.0,2308.0,5508.0,5501,7013,6554,7705,16301.0,18380.0,486.0,1197.0,18.2,Syn,6
14420.0,23059.0,2202.0,3579.0,5640,6179,6703,7555,17416.0,19293.0,4527.0,3123.0,18.2,Syn,6
1468.0,6872.0,732.0,2803.0,2639,4129,3471,5701,8749.0,14212.0,1080.0,2227.0,18.3,Syn,6
28611.0,36581.0,3354.0,6408.0,243,156,542,213,26796.0,27299.0,26215.0,24638.0,18.3,PEuk1,4
1529.0,5003.0,1555.0,5034.0,1981,2670,2495,2918,6031.0,6792.0,1047.0,944.0,18.3,Syn,6
16621.0,31209.0,2741.0,4898.0,5336,5964,7268,8080,19792.0,21313.0,3949.0,5577.0,18.3,Syn,6
36828.0,67888.0,7055.0,14288.0,302,216,4,0,43647.0,45930.0,22010.0,36637.0,18.4,PEuk1,4
3444.0,15976.0,878.0,3617.0,1259,2686,1360,3025,3132.0,7362.0,515.0,1345.0,18.5,Syn,6
5439.0,11653.0,2751.0,6318.0,4261,5043,4827,5734,12247.0,14094.0,1083.0,2995.0,18.5,Syn,6
1417.0,6941.0,863.0,4447.0,1256,1937,1712,2858,5417.0,9109.0,577.0,868.0,18.6,Syn,6
3277.0,18238.0,1079.0,3947.0,3143,5338,4223,7200,12458.0,21308.0,1070.0,2285.0,18.6,Syn,6
2729.0,16214.0,796.0,3215.0,880,3482,1109,4590,3149.0,12843.0,65.0,205.0,18.6,Syn,6
15614.0,26409.0,2095.0,3857.0,10392,11421,12972,13984,30052.0,31360.0,4881.0,7056.0,18.6,Syn,6
748.0,4050.0,418.0,1970.0,1457,3965,1862,4555,4152.0,9808.0,611.0,1214.0,18.7,Syn,6
2707.0,14504.0,975.0,2924.0,4969,7668,5549,8525,12476.0,18941.0,670.0,1300.0,18.7,Syn,6
2441.0,6847.0,3920.0,6413.0,2589,3426,3122,4825,9060.0,13072.0,586.0,1651.0,18.7,Syn,6
