UMAP1,UMAP2
14.310509,4.0871124
-4.205257,3.1087134
-2.5588446,-1.3627285
14.267703,7.1476207
13.432993,3.173951
14.567531,6.339248
-1.6143122,8.061554
-3.7952988,9.303692
-1.2695208,-4.179482
-0.80530745,16.09379
10.034802,-0.90912956
-2.1466005,12.521341
13.793404,4.710913
-3.3023674,2.6825275
14.59797,11.023288
-2.478783,15.115618
-1.6958402,15.416399
-1.3747663,12.357633
-2.1606128,11.268491
-2.183368,14.454163
14.65692,5.081732
10.170761,14.05768
12.964671,2.2411585
-0.42356256,13.135664
14.167092,4.8053656
-1.0568486,9.987555
-2.38206,14.913148
-0.92062914,15.081621
-0.4104708,18.407299
-1.3982917,13.276181
-2.8518434,4.8921323
-1.6331407,15.722564
9.981957,-1.0043255
-2.1155117,-2.4991064
14.120823,8.768361
-1.4577371,11.194095
-2.5855808,10.796987
-1.3167838,-3.38501
-1.3758951,-3.3090749
-0.8254072,16.201897
12.904885,2.312635
13.783644,7.30491
-2.4761822,15.1337385
-1.4140149,10.04173
-2.948153,0.82454014
14.721924,8.460084
-2.6870303,2.1685324
-3.792707,8.676316
-2.486853,1.752041
-1.0118686,13.185605
12.363129,17.052422
-3.3585532,10.147066
-0.59186065,13.996208
14.520351,9.91158
-0.93489355,12.882717
14.99602,8.435061
-1.9730303,15.106967
-3.0548146,4.0584702
-2.36913,10.312586
-2.997386,8.314417
-0.8133244,-3.2570438
-3.1972587,4.9540606
-3.6383624,10.45133
-2.1528332,0.7575513
-3.2531118,12.197544
-0.47620878,16.905048
-0.66899973,5.025716
-1.3483634,15.204313
-2.555313,-1.2853093
14.700557,8.071303
12.820583,16.800259
11.799039,15.604839
11.1557455,14.966436
9.051069,12.803221
7.327357,-5.1853304
-2.3233037,4.247975
13.723321,5.702391
-2.513832,0.8633477
15.049849,10.21249
-1.3685894,-0.37908748
14.902571,10.542946
11.099673,14.917138
14.675215,8.517939
-0.33283448,17.239708
-0.7715218,15.253354
14.615587,10.949257
-2.2220626,7.7280507
-2.1888826,3.3103025
-2.0744307,7.6705194
13.546018,7.722602
-1.9107821,5.6005406
14.876923,6.754687
-3.4125025,11.43079
-3.6781042,10.464878
0.54507643,-5.5374856
13.283749,7.1189237
-1.2953421,-2.7618008
-0.1176319,19.23119
-3.3331392,3.6862893
12.798506,15.2045
12.267509,15.621241
6.7878156,-5.6576824
-0.21151152,14.884949
10.007252,-0.76060516
-2.951498,13.105619
-2.5383155,0.13482447
-2.671861,13.9194355
-0.3349749,18.834236
-1.832138,0.95264155
-2.678288,11.486351
