FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
1818920.0,1173300.0,6979190.0,16777200.0,38197,13954,19044,8138,192283.0,89996.0,127855.0,60632.0,19.6,1,Crypto
454961.0,601282.0,27054.0,39334.0,2966,2497,34825,33307,217014.0,187537.0,177001.0,151474.0,26.5,1,Crypto
874270.0,1041560.0,231623.0,327752.0,5374,5153,30808,29270,371206.0,345050.0,263536.0,225958.0,53.9,1,Crypto
354345.0,450392.0,24987.0,34716.0,1139,842,7839,7151,256076.0,208407.0,239655.0,183719.0,56.5,1,Crypto
329831.0,450487.0,35573.0,51085.0,689,610,5562,5035,166840.0,145135.0,164223.0,136149.0,72.3,1,Crypto
118989.0,176974.0,19266.0,28882.0,19818,17895,26937,25826,73976.0,68481.0,19179.0,16748.0,76.7,1,Crypto
525764.0,642468.0,37712.0,53586.0,2700,2505,33902,28392,291165.0,214196.0,209937.0,135522.0,82.6,1,Crypto
450701.0,631685.0,35048.0,55792.0,690,654,8408,8477,205890.0,185869.0,213213.0,170958.0,83.4,1,Crypto
319507.0,436338.0,14707.0,19341.0,309,810,6421,5875,120475.0,112800.0,108320.0,93681.0,103.1,1,Crypto
400400.0,528762.0,19582.0,29950.0,1344,891,8278,7929,216406.0,187160.0,216540.0,178556.0,104.1,1,Crypto
640466.0,827928.0,87312.0,136472.0,3890,3325,44688,40467,296204.0,239373.0,207052.0,173018.0,121.1,1,Crypto
536731.0,635913.0,530098.0,617491.0,11315,9430,24858,22852,72319.0,65550.0,37390.0,30183.0,126.7,1,Crypto
389059.0,570757.0,22239.0,33699.0,895,721,3235,3405,154550.0,137024.0,144266.0,128022.0,127.1,1,Crypto
353580.0,449947.0,19237.0,27028.0,871,708,8698,7896,223049.0,182811.0,175195.0,152723.0,127.3,1,Crypto
282633.0,361089.0,15344.0,17086.0,515,614,5533,5274,178983.0,158016.0,150192.0,112093.0,130.2,1,Crypto
368823.0,500214.0,38430.0,56146.0,1280,942,7493,6941,201239.0,175072.0,165882.0,143646.0,130.8,1,Crypto
433913.0,620879.0,63428.0,93360.0,668,618,6831,6433,181758.0,151155.0,166859.0,132134.0,132.3,1,Crypto
337352.0,474428.0,48125.0,71426.0,1007,577,5816,5840,147361.0,132544.0,127936.0,97840.0,140.4,1,Crypto
1868410.0,1447920.0,5319050.0,5498070.0,36003,17965,5737,2697,122972.0,87592.0,82188.0,55977.0,140.8,1,Crypto
553049.0,729015.0,43269.0,62359.0,2708,2459,42039,38316,315991.0,268803.0,226277.0,195858.0,141.2,1,Crypto
350784.0,509156.0,36481.0,61257.0,1097,914,6121,5341,138316.0,120281.0,144929.0,104096.0,142.8,1,Crypto
402189.0,522613.0,23096.0,31664.0,2350,2162,9869,10346,230171.0,207336.0,220617.0,168981.0,144.4,1,Crypto
640819.0,759958.0,156721.0,231184.0,5870,5219,68774,62439,528658.0,416279.0,474950.0,333630.0,144.7,1,Crypto
96328.0,143504.0,15665.0,26172.0,64527,60572,5666,5064,91296.0,77581.0,75307.0,65831.0,147.7,1,Crypto
423374.0,590170.0,22045.0,29339.0,2135,1928,28917,27539,173034.0,143383.0,146746.0,104429.0,155.5,1,Crypto
362408.0,444775.0,40304.0,57245.0,157,291,3977,3674,205662.0,174970.0,216006.0,174764.0,166.7,1,Crypto
764628.0,856292.0,748866.0,992403.0,4447,3469,4292,3949,261204.0,190404.0,164752.0,122861.0,168.8,1,Crypto
450520.0,524949.0,556278.0,626957.0,7324,6160,8323,7666,206605.0,157961.0,109465.0,88183.0,172.2,1,Crypto
408641.0,479592.0,72941.0,107195.0,4375,3509,60001,49134,329263.0,246035.0,208622.0,160619.0,177.2,1,Crypto
304040.0,399421.0,12709.0,15642.0,957,867,6583,6033,187990.0,156624.0,161228.0,128057.0,187.6,1,Crypto
538401.0,688107.0,40316.0,59359.0,3644,3491,41653,38177,228131.0,186508.0,165976.0,147928.0,189.5,1,Crypto
301174.0,404745.0,44484.0,64434.0,1102,711,3560,2974,189965.0,163579.0,236416.0,180513.0,198.9,1,Crypto
348146.0,466438.0,26321.0,34957.0,1665,881,7432,6841,188423.0,155417.0,175664.0,125004.0,204.6,1,Crypto
304356.0,418739.0,42642.0,59383.0,699,469,3636,3236,140991.0,122159.0,134497.0,115337.0,208.1,1,Crypto
