FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
422224.0,703310.0,13538.0,20038.0,1629.0,1760.0,16877,19055,180897.0,191005.0,147489.0,148551.0,17.5,1,Crypto
412216.0,640835.0,86900.0,150926.0,889.0,1280.0,11982,13548,171658.0,176547.0,113764.0,129799.0,17.7,1,Crypto
703611.0,717695.0,203184.0,273893.0,8040.0,6937.0,115826,94183,965750.0,729263.0,945187.0,549676.0,25.6,1,Crypto
716546.0,755282.0,136313.0,172922.0,6447.0,5133.0,81218,66339,742110.0,546961.0,543590.0,402742.0,27.5,1,Crypto
482390.0,605852.0,63855.0,98007.0,924.0,935.0,8200,7656,150393.0,129692.0,163026.0,120614.0,35.1,1,Crypto
740271.0,858194.0,50018.0,64441.0,5290.0,4114.0,42607,35408,449127.0,346594.0,345893.0,267058.0,38.4,1,Crypto
554090.0,655120.0,53587.0,73378.0,2012.0,1627.0,23831,20545,256157.0,204324.0,204289.0,136759.0,42.2,1,Crypto
425396.0,535867.0,370456.0,497763.0,20390.0,18490.0,52091,48299,138703.0,126141.0,60468.0,46945.0,42.9,1,Crypto
537557.0,689240.0,44393.0,64495.0,1341.0,934.0,7394,6782,200855.0,166725.0,179494.0,140497.0,49.5,1,Crypto
565993.0,767031.0,316669.0,395681.0,19291.0,18011.0,21698,19762,289070.0,241112.0,161459.0,140819.0,50.5,1,Crypto
321095.0,445255.0,20691.0,28713.0,411.0,428.0,4273,4048,138825.0,127509.0,116376.0,118406.0,53.1,1,Crypto
549913.0,773246.0,42846.0,68562.0,2072.0,2152.0,26810,25935,224103.0,206443.0,176697.0,168741.0,56.7,1,Crypto
1146620.0,1497960.0,69408.0,96569.0,3482.0,2886.0,50136,43669,391457.0,312986.0,254726.0,213792.0,58.9,1,Crypto
979075.0,1019700.0,84323.0,98138.0,6302.0,4340.0,71592,53001,585673.0,411128.0,383919.0,256005.0,60.4,1,Crypto
1087320.0,936924.0,278038.0,328801.0,6068.0,3551.0,89639,57387,831505.0,501649.0,731511.0,395766.0,62.1,1,Crypto
599654.0,777463.0,534714.0,770110.0,9320.0,8826.0,16023,14790,148672.0,118009.0,110939.0,86050.0,68.6,1,Crypto
745020.0,1037630.0,48061.0,73687.0,2352.0,2659.0,28499,27906,215763.0,191880.0,164807.0,140580.0,68.9,1,Crypto
494745.0,690263.0,21202.0,29550.0,934.0,798.0,6661,6248,206769.0,191074.0,219640.0,180373.0,70.0,1,Crypto
401836.0,557477.0,18099.0,26185.0,692.0,598.0,6288,5936,142157.0,120528.0,108194.0,97463.0,82.3,1,Crypto
942827.0,1110250.0,160813.0,228526.0,6235.0,5069.0,48320,41677,625110.0,494467.0,479977.0,393707.0,83.9,1,Crypto
1245640.0,1498660.0,195920.0,267573.0,6436.0,5349.0,76777,63907,703825.0,536652.0,490709.0,394393.0,84.6,1,Crypto
431287.0,606104.0,21745.0,33106.0,620.0,650.0,4477,4334,125765.0,115787.0,127086.0,105627.0,87.5,1,Crypto
1146010.0,1446540.0,58534.0,76282.0,3173.0,2738.0,73555,66445,448812.0,360786.0,275810.0,223859.0,89.5,1,Crypto
464499.0,614016.0,96351.0,148563.0,553.0,482.0,5530,5194,165750.0,142943.0,169974.0,134404.0,93.1,1,Crypto
595098.0,793506.0,46942.0,68935.0,2220.0,2003.0,23888,21492,224893.0,187204.0,161687.0,138311.0,95.5,1,Crypto
1711180.0,2178390.0,241383.0,364029.0,6790.0,6104.0,82680,71627,715014.0,559700.0,544254.0,419304.0,96.1,1,Crypto
692984.0,680089.0,2241550.0,2867040.0,30279.0,25232.0,40144,35082,105869.0,95015.0,33961.0,26074.0,96.3,1,Crypto
1858290.0,1397610.0,326814.0,325328.0,11509.0,5418.0,133388,64273,1517300.0,716557.0,1129020.0,497582.0,99.1,1,Crypto
383881.0,542671.0,46170.0,73773.0,1650.0,1173.0,18094,17230,163295.0,135786.0,104657.0,96373.0,99.7,1,Crypto
711501.0,587925.0,1268170.0,1574980.0,15390.0,13426.0,18178,17388,191708.0,126247.0,108872.0,75897.0,100.9,1,Crypto
901155.0,1003900.0,245817.0,324008.0,8339.0,6064.0,92811,70934,967889.0,706034.0,824425.0,555386.0,109.6,1,Crypto
973298.0,910169.0,325688.0,383466.0,8433.0,5770.0,88376,59845,726649.0,472332.0,525942.0,330035.0,110.8,1,Crypto
291605.0,405780.0,23226.0,34615.0,560.0,429.0,4581,4549,140711.0,129640.0,130123.0,113102.0,113.2,1,Crypto
468247.0,568572.0,526871.0,750431.0,2178.0,1947.0,3923,3661,166046.0,133640.0,88341.0,74818.0,118.0,1,Crypto
697632.0,887014.0,45238.0,60458.0,2805.0,2426.0,26217,24213,281534.0,236934.0,209886.0,194097.0,118.5,1,Crypto
3445960.0,2123260.0,6289030.0,5449680.0,17414.0,12842.0,15822,12613,216473.0,128615.0,94309.0,48895.0,119.2,1,Crypto
648470.0,820049.0,120927.0,175177.0,3274.0,3293.0,36408,32323,271653.0,219409.0,231378.0,163253.0,121.3,1,Crypto
631748.0,600514.0,237461.0,348015.0,6512.0,4206.0,51557,37504,576385.0,394042.0,454000.0,305460.0,123.2,1,Crypto
460110.0,621002.0,27815.0,40651.0,1728.0,1463.0,15852,15018,176038.0,153676.0,119550.0,109605.0,149.5,1,Crypto
841006.0,1009140.0,96212.0,143625.0,3366.0,2901.0,35308,30368,327797.0,262563.0,253204.0,204436.0,152.5,1,Crypto
847578.0,880337.0,86284.0,108099.0,5541.0,4216.0,81971,62660,456785.0,327218.0,329640.0,233491.0,154.4,1,Crypto
585315.0,716361.0,15941.0,20795.0,2903.0,2697.0,41593,36155,305200.0,240668.0,229112.0,198512.0,154.6,1,Crypto
651341.0,781771.0,111251.0,153303.0,8012.0,6254.0,54904,47221,572822.0,450572.0,383252.0,290225.0,158.7,1,Crypto
441235.0,570850.0,22727.0,32479.0,695.0,876.0,7125,6512,203996.0,173374.0,176341.0,151319.0,164.5,1,Crypto
1233140.0,1116150.0,544124.0,649556.0,13047.0,7205.0,166791,100139,1416910.0,789908.0,1053080.0,517008.0,171.2,1,Crypto
3173600.0,2688120.0,1788650.0,1651860.0,3590320.0,1844540.0,807191,423596,1141800.0,591962.0,445498.0,193154.0,177.6,1,Crypto
2469840.0,2054700.0,643866.0,692184.0,17802.0,9810.0,267100,153208,2217900.0,1207160.0,1744420.0,865583.0,179.0,1,Crypto
522075.0,607515.0,32815.0,43637.0,3992.0,3181.0,43617,37529,304623.0,240114.0,207704.0,175170.0,181.9,1,Crypto
621946.0,882115.0,26031.0,37381.0,1324.0,1171.0,8191,7756,198158.0,177800.0,196734.0,150818.0,184.0,1,Crypto
878617.0,986126.0,103835.0,140338.0,7979.0,7229.0,79335,68578,795244.0,611366.0,592323.0,446266.0,191.1,1,Crypto
