FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
30654.0,66484.0,3922.0,8314.0,127,241,172,73,19600.0,24937.0,15274.0,22697.0,16.6,0
2321.0,15687.0,496.0,2627.0,122,0,77,0,3151.0,7179.0,22017.0,68411.0,16.7,-1
51872.0,99987.0,5056.0,10013.0,170,124,0,0,71759.0,97086.0,40971.0,80337.0,16.7,-1
3964.0,6911.0,2885.0,4448.0,1658,2110,2571,3379,7607.0,10186.0,1190.0,1922.0,16.7,0
15473.0,33774.0,6819.0,15765.0,119,126,59,15,24309.0,31463.0,15964.0,30201.0,16.8,0
32326.0,67860.0,6637.0,12909.0,330,205,263,123,20294.0,27489.0,13502.0,27903.0,16.8,0
3952.0,9672.0,739.0,1472.0,3834,6431,4814,7749,9788.0,14896.0,1787.0,2529.0,16.9,0
9561.0,27502.0,1067.0,2607.0,4169,5480,5465,7552,17228.0,24297.0,3083.0,5125.0,16.9,0
1617.0,9881.0,647.0,3070.0,864,1697,1119,2521,3266.0,6393.0,708.0,1553.0,16.9,0
24530.0,65004.0,4581.0,13146.0,363,249,158,97,34241.0,44001.0,12184.0,33688.0,17.1,0
1270.0,4551.0,4698.0,12055.0,278,220,51,0,2615.0,5452.0,674.0,1376.0,17.1,-1
2577.0,9549.0,470.0,1961.0,139,126,114,121,1368.0,4758.0,4440.0,17921.0,17.1,0
523149.0,738543.0,1664680.0,2996470.0,2020,2256,272,250,250864.0,295233.0,109031.0,140218.0,17.1,3
70018.0,141172.0,9463.0,18534.0,710,527,0,12,71348.0,79584.0,29315.0,31762.0,17.2,0
5333.0,12771.0,1081.0,3583.0,3092,3998,3984,5229,11395.0,15609.0,1991.0,3841.0,17.2,0
8612.0,16329.0,0.0,1084.0,355,1412,446,1661,1306.0,5368.0,1457.0,1664.0,17.2,0
15388.0,44581.0,2753.0,7028.0,4967,6694,6589,8844,19882.0,26284.0,4420.0,6538.0,17.2,0
30882.0,49623.0,6703.0,11811.0,218,156,490,190,24704.0,31349.0,25174.0,26417.0,17.3,0
5013.0,18745.0,1967.0,5158.0,3022,4152,3806,5497,11075.0,15729.0,586.0,2232.0,17.3,0
21775.0,53981.0,1481.0,4530.0,125,41,153,108,25059.0,30824.0,21478.0,30008.0,17.3,0
6348.0,25295.0,1167.0,3102.0,3470,5362,4485,7258,12225.0,19428.0,1517.0,4692.0,17.3,0
2955.0,9799.0,2614.0,6768.0,2607,4682,3677,6569,10097.0,18128.0,1616.0,2489.0,17.5,0
10751.0,14609.0,3833.0,6173.0,2781,3642,3456,4633,9936.0,13331.0,3987.0,3946.0,17.5,0
608.0,3371.0,405.0,2181.0,3928,7140,4037,7338,8740.0,16150.0,288.0,322.0,17.6,0
7340.0,28283.0,3891.0,11806.0,146,143,83,0,13697.0,18933.0,9994.0,16561.0,17.6,-1
470972.0,890172.0,36562.0,64714.0,1570,2282,24539,31108,233796.0,270890.0,168083.0,188222.0,17.6,3
23484.0,43866.0,5364.0,10335.0,409,253,253,106,26781.0,33593.0,15103.0,26706.0,17.7,0
8527.0,14472.0,899.0,1591.0,2896,3439,3548,4454,8239.0,11148.0,2984.0,2239.0,17.7,0
8482.0,21106.0,1895.0,6008.0,1519,2155,3534,5119,10566.0,14375.0,5171.0,5960.0,17.8,0
3486.0,14432.0,684.0,3734.0,2627,4062,3576,5605,8606.0,13572.0,369.0,1918.0,17.8,0
14111.0,19186.0,4260.0,7419.0,1863,2482,2872,3320,6542.0,7808.0,1883.0,2162.0,17.9,0
85837.0,130069.0,6073.0,11941.0,678,271,539,196,52924.0,59231.0,45648.0,48216.0,18.0,0
249720.0,435490.0,217806.0,392569.0,1588,1704,0,214,265666.0,293276.0,130166.0,121349.0,18.0,0
2319.0,9666.0,413.0,2952.0,360,872,440,1599,1088.0,5289.0,1464.0,2152.0,18.0,0
1830.0,8437.0,125.0,2327.0,589,1925,730,2364,1770.0,7266.0,495.0,952.0,18.0,0
6919.0,15822.0,2111.0,4474.0,3668,4673,5074,6520,12964.0,16739.0,2555.0,2732.0,18.0,0
1606.0,5574.0,101.0,1087.0,234,161,215,188,2840.0,5857.0,2050.0,5241.0,18.1,0
216667.0,371462.0,22883.0,41772.0,1425,1381,459,163,378013.0,433261.0,120363.0,187334.0,18.1,0
5368.0,21585.0,219.0,867.0,2132,2746,3560,5012,9353.0,12954.0,2243.0,3157.0,18.1,0
27901.0,45749.0,2253.0,5783.0,9020,10289,12037,14571,29103.0,34895.0,4930.0,7513.0,18.2,0
17935.0,47180.0,10910.0,24055.0,5,0,57,0,18647.0,22978.0,7878.0,16938.0,18.2,-1
4079.0,11934.0,1852.0,4309.0,3370,4400,4637,5957,12032.0,15285.0,576.0,2355.0,18.2,0
34187.0,60809.0,3158.0,4239.0,388,193,177,131,35339.0,40491.0,30905.0,34385.0,18.2,0
2199.0,6229.0,2027.0,6303.0,4019,5086,5912,7951,13720.0,17499.0,1743.0,4057.0,18.3,0
29016.0,58746.0,6292.0,14231.0,209,128,273,159,32613.0,40147.0,30634.0,34366.0,18.4,0
9332.0,25472.0,839.0,3460.0,2983,3998,3576,4911,10079.0,13716.0,1001.0,1668.0,18.6,0
10355.0,25550.0,1963.0,3987.0,2821,3335,4015,4821,10149.0,12882.0,2169.0,2905.0,18.7,0
4275.0,17432.0,1333.0,4130.0,3330,4465,4755,6561,12556.0,17410.0,2047.0,2583.0,18.7,0
15686.0,33381.0,1366.0,2939.0,6240,8054,7672,9671,19314.0,24167.0,4737.0,5955.0,18.7,0
10337.0,23356.0,2605.0,7011.0,3041,3577,3538,4288,9319.0,11511.0,243.0,1913.0,18.7,0
2548.0,8245.0,0.0,989.0,127,43,168,68,10344.0,11005.0,858.0,4124.0,18.7,0
447011.0,733558.0,85535.0,145968.0,1652,2040,7,75,694038.0,726334.0,263340.0,293451.0,18.7,3
1132.0,7611.0,142.0,863.0,151,59,112,0,0.0,4305.0,1366.0,3150.0,18.7,-1
34872.0,44430.0,3730.0,6121.0,212,339,43,117,33045.0,40214.0,16234.0,27528.0,18.7,0
77420.0,151694.0,16406.0,31890.0,532,370,179,187,100561.0,113789.0,39891.0,46303.0,18.8,0
9748.0,15887.0,1237.0,3201.0,2083,2870,2869,4011,7644.0,11132.0,2563.0,3604.0,18.8,0
1589.0,10691.0,693.0,2844.0,1721,3415,2638,5529,6681.0,14468.0,866.0,2620.0,18.8,0
2584.0,12966.0,317.0,2226.0,874,2884,1609,4980,4172.0,13064.0,477.0,661.0,18.8,0
5339.0,13430.0,1397.0,3451.0,2714,3502,3337,4389,9004.0,11761.0,2560.0,2401.0,18.9,0
348297.0,617873.0,170390.0,302302.0,183,774,0,128,181304.0,195711.0,87669.0,107350.0,18.9,0
3630.0,14688.0,980.0,4032.0,2323,3342,2778,3887,8385.0,11967.0,1128.0,1416.0,19.0,0
3905.0,19914.0,1232.0,3674.0,2773,4200,3296,5104,9542.0,14754.0,971.0,2494.0,19.0,0
4493.0,14927.0,480.0,1977.0,318,1159,368,1237,1183.0,4309.0,337.0,416.0,19.0,0
6766.0,17828.0,1124.0,3186.0,2111,3676,2745,4533,8422.0,13096.0,2858.0,3133.0,19.0,0
4054.0,22410.0,935.0,3985.0,2385,3968,2986,4965,8221.0,14060.0,0.0,1425.0,19.0,0
6133.0,13736.0,1646.0,3199.0,3576,4419,4764,5901,9908.0,11813.0,1727.0,3026.0,19.0,0
571374.0,748456.0,624016.0,884353.0,4427,3253,775,581,167821.0,178220.0,123027.0,117211.0,19.1,3
31180.0,64326.0,5359.0,9703.0,276,110,52,60,39400.0,41653.0,29388.0,31384.0,19.1,0
75657.0,150365.0,19546.0,37680.0,4966,5575,4941,5834,13688.0,15478.0,2923.0,3486.0,19.2,0
2573.0,16543.0,808.0,3425.0,1269,2650,1950,4306,4738.0,10820.0,411.0,822.0,19.2,0
7160.0,14355.0,2116.0,4753.0,2604,2800,3289,4151,9297.0,11112.0,1191.0,2056.0,19.3,0
28422.0,55837.0,3012.0,4708.0,103,165,254,163,30362.0,33952.0,13302.0,28531.0,19.4,0
846.0,3274.0,420.0,1534.0,2320,3838,3468,5831,9848.0,16249.0,1012.0,2010.0,19.4,0
1675.0,5667.0,377.0,1122.0,2272,2967,2844,3669,7428.0,9435.0,132.0,1027.0,19.5,0
277220.0,471544.0,29778.0,52377.0,248,358,529,274,160510.0,165071.0,65851.0,82501.0,19.8,0
4334.0,18506.0,1007.0,3920.0,2539,4498,3219,5473,8671.0,14317.0,0.0,864.0,19.8,0
22841.0,40839.0,4965.0,8030.0,58,54,43,19,24164.0,27839.0,11135.0,18438.0,19.8,0
6093.0,9610.0,3076.0,4379.0,4206,8752,6684,14368,2882.0,5408.0,107.0,716.0,19.8,0
2487.0,9357.0,466.0,2566.0,2237,4803,2702,5939,6317.0,13281.0,1523.0,1981.0,19.8,0
3694.0,17410.0,1402.0,3781.0,2850,4086,3100,4396,9149.0,13001.0,556.0,765.0,19.8,0
189412.0,320756.0,33247.0,54944.0,761,712,330,152,125110.0,131268.0,130911.0,127051.0,19.8,0
6573.0,22024.0,1922.0,4367.0,6627,8138,8568,10313,22899.0,26716.0,2405.0,5200.0,19.9,0
23075.0,36148.0,2949.0,4721.0,8797,10324,11121,12642,26189.0,28850.0,4559.0,5338.0,20.1,0
14891.0,35115.0,7775.0,16046.0,140,56,193,55,25549.0,30630.0,8250.0,20470.0,20.1,0
357751.0,561012.0,173730.0,242876.0,1580,1425,409,272,336048.0,323464.0,134935.0,147803.0,20.3,3
5671.0,16944.0,2439.0,6252.0,6276,7827,7545,9380,16750.0,19599.0,2338.0,3395.0,20.3,0
9321.0,22838.0,2228.0,4111.0,3938,4400,4840,5491,15074.0,17323.0,2499.0,2425.0,20.4,0
6112.0,20515.0,499.0,3494.0,1443,1708,2389,2806,6614.0,7923.0,810.0,2032.0,20.4,0
109616.0,197706.0,32425.0,52306.0,59,229,51,85,95177.0,87350.0,47521.0,44144.0,20.4,0
131106.0,196840.0,17663.0,30505.0,32,132,522,203,164013.0,153374.0,68607.0,66439.0,20.5,0
13847.0,33904.0,3639.0,9317.0,4406,4444,5841,6521,16400.0,18034.0,2601.0,4417.0,20.5,0
4406.0,9372.0,1088.0,2460.0,3234,3648,4201,4790,10650.0,12046.0,1277.0,1641.0,20.6,0
4807.0,7206.0,1898.0,4917.0,2512,2537,3624,4189,10350.0,11285.0,4141.0,3857.0,20.6,0
38910.0,48670.0,2559.0,3902.0,0,41,0,0,35451.0,35596.0,35426.0,31876.0,20.6,-1
7424.0,16558.0,1072.0,2491.0,4234,4955,6081,7420,15346.0,18326.0,1565.0,2110.0,20.6,0
25644.0,44286.0,7703.0,13931.0,119,83,174,149,34503.0,35566.0,32725.0,30964.0,20.7,0
4737.0,22121.0,605.0,4532.0,1256,2897,1444,3492,3388.0,8832.0,542.0,717.0,20.7,0
302519.0,478535.0,29940.0,52018.0,1214,1214,573,264,207233.0,208093.0,126263.0,129524.0,20.8,0
14923.0,15434.0,2341.0,3820.0,2939,3379,3491,4102,9277.0,10552.0,1415.0,2178.0,20.8,0
2267.0,5554.0,786.0,3380.0,2965,3392,3494,4058,8128.0,9064.0,1074.0,1716.0,20.9,0
26947.0,45671.0,2555.0,6168.0,245,199,105,84,37255.0,41629.0,9232.0,25121.0,21.0,0
11856.0,23568.0,2056.0,5714.0,4818,5728,7169,8196,17536.0,20105.0,1708.0,2977.0,21.1,0
468.0,2728.0,0.0,0.0,154,57,194,157,2303.0,4695.0,796.0,1613.0,21.1,0
634405.0,815927.0,203845.0,321581.0,5636,5479,60548,56336,447433.0,382456.0,371187.0,330188.0,21.1,3
33489.0,51405.0,12458.0,22573.0,221,123,417,210,35598.0,38393.0,33830.0,29996.0,21.1,0
8441.0,10598.0,1913.0,2605.0,6877,8026,7754,8699,18628.0,19722.0,3289.0,3397.0,21.2,0
157475.0,268795.0,20452.0,30109.0,302,351,139,69,202897.0,187628.0,80514.0,85631.0,21.2,0
6149.0,16415.0,1572.0,3736.0,2727,3067,3242,3624,7089.0,7947.0,1368.0,2239.0,21.2,0
9815.0,13576.0,2181.0,4525.0,4704,5099,6235,6729,18200.0,19139.0,2405.0,3199.0,21.2,0
3557.0,17415.0,710.0,2293.0,1287,2262,2130,3664,7385.0,12325.0,1520.0,3353.0,21.2,0
1450.0,9521.0,535.0,2152.0,2060,3885,2372,4533,4894.0,9812.0,369.0,447.0,21.2,0
55735.0,91654.0,10759.0,16953.0,423,245,301,155,62291.0,60460.0,43531.0,43013.0,21.4,0
18381.0,43940.0,2732.0,5084.0,9903,10880,12175,13049,28351.0,31100.0,0.0,3916.0,21.4,0
