FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
6630.0,22816.0,1057.0,2977.0,3348,4989,4047,5983,11361.0,16422.0,667.0,3420.0,16.7,0,-133389.78855626562,26282.481174331304
1380.0,8471.0,492.0,1996.0,650,2574,964,3755,2090.0,8834.0,1246.0,2206.0,16.8,0,-139954.6189737675,30204.326253176856
2537.0,16184.0,726.0,4132.0,967,1814,1267,2295,3657.0,6797.0,282.0,1120.0,16.8,0,-139233.90035066457,30311.97256749965
4044.0,11230.0,1213.0,1952.0,2314,2983,3446,4405,7363.0,9452.0,2994.0,2560.0,16.8,0,-135245.83161063516,27253.940295827382
6899.0,11232.0,731.0,2795.0,4477,6650,6228,8901,14123.0,18803.0,3654.0,5168.0,16.9,0,-130667.06856402266,22890.77779922745
6054.0,11651.0,2258.0,4132.0,3511,4682,4814,6559,11849.0,16486.0,2592.0,2371.0,16.9,0,-131926.99003809068,26061.936808480896
54815.0,110383.0,13100.0,26878.0,412,328,87,115,66227.0,79914.0,70298.0,70812.0,16.9,0,-41754.09471002764,-37531.27052072188
5078.0,17081.0,1187.0,3758.0,5290,7582,6782,9672,16709.0,24282.0,354.0,6174.0,17.0,0,-131051.63179049078,23312.40097582069
13984.0,27494.0,3409.0,7214.0,121,108,0,0,14757.0,18827.0,9899.0,15247.0,17.0,-1,-121720.79210750975,19747.00937963696
40485.0,79075.0,4035.0,7800.0,222,232,140,82,43359.0,53325.0,36071.0,34348.0,17.0,0,-84137.2321789611,-9358.584498996
913.0,3897.0,494.0,2278.0,450,1987,733,3049,1612.0,5999.0,1020.0,1630.0,17.1,0,-140536.57548475708,30639.235679713227
33615.0,70274.0,11962.0,22988.0,348,260,143,121,36249.0,46130.0,27109.0,37247.0,17.1,0,-87978.45663766138,3275.8157045147127
26991.0,47590.0,1599.0,5121.0,373,230,193,108,31220.0,39555.0,23278.0,35735.0,17.1,0,-101509.9417131207,578.0235687708664
73348.0,163248.0,12839.0,24750.0,656,254,430,202,93144.0,119695.0,37740.0,49515.0,17.1,0,-39943.92800485034,-30192.392229533343
16793.0,46223.0,2887.0,6801.0,529,358,373,226,24084.0,30285.0,17559.0,24804.0,17.2,0,-111897.14370171748,9382.64316811425
1973.0,4725.0,375.0,3353.0,2023,3015,2490,3869,6219.0,9370.0,0.0,2277.0,17.3,0,-138406.43470627803,28708.84553422561
6169.0,10555.0,2042.0,4337.0,2172,2992,3219,4504,8378.0,11819.0,2497.0,2126.0,17.4,0,-133730.00192788144,27734.844795020494
19630.0,16072.0,2078.0,4103.0,3732,5077,5372,7021,12516.0,17756.0,960.0,3344.0,17.4,0,-127329.74573879024,26829.262602444105
9194.0,21613.0,1445.0,4213.0,3361,4819,4578,6362,13129.0,16989.0,2231.0,3590.0,17.5,0,-130684.83354260313,24966.401059854485
16538.0,46744.0,6167.0,14683.0,230,215,229,131,30949.0,39017.0,22201.0,29919.0,17.5,0,-103802.37396255576,4973.39344340649
8249.0,11433.0,1417.0,4181.0,3071,3950,4537,5891,10454.0,13913.0,2836.0,2782.0,17.6,0,-132169.4319411111,26076.88032267761
113371.0,248931.0,17196.0,30671.0,595,375,220,149,148757.0,189043.0,60275.0,81770.0,17.7,0,18241.164083715063,-70153.25294225052
9705.0,29135.0,1630.0,4199.0,110,34,261,119,15892.0,19799.0,8413.0,13072.0,17.7,0,-124926.76248568908,18958.768558355943
12183.0,17080.0,1527.0,3120.0,2030,2837,3310,4323,10778.0,14117.0,3267.0,3092.0,17.7,0,-130284.7824151582,25888.97616744704
34187.0,76120.0,2763.0,6253.0,285,173,171,107,36401.0,47132.0,30742.0,43250.0,17.8,0,-91310.5182912316,-5967.150165864488
3918.0,7943.0,2432.0,5700.0,1055,1324,1403,1813,3578.0,4488.0,904.0,1241.0,17.8,0,-137347.06493472465,31245.961842309214
28199.0,68117.0,3113.0,5679.0,364,260,23,43,42766.0,50466.0,25906.0,38188.0,17.9,0,-93171.24048005756,-5819.968596801224
33152.0,65820.0,6658.0,13633.0,9815,12449,19063,25230,31795.0,39688.0,9010.0,8003.0,17.9,0,-106183.25736788854,16100.42051334634
