FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
3526.0,12473.0,956.0,2602.0,1004,1299,1343,1790,3786.0,4877.0,526.0,1054.0,16.5,0,-118371.15577111774,15946.123107539148,-784.2790583835202
14514.0,22223.0,2051.0,4041.0,3001,3916,3851,4824,10458.0,14811.0,4895.0,5582.0,16.7,0,-108071.88373292594,9573.97888357192,-2859.3000928768843
1934.0,6048.0,25.0,1001.0,5115,7650,7483,10823,10209.0,14025.0,1371.0,1904.0,18.1,0,-116357.36177761042,12998.36915834641,4832.009237697507
8483.0,11577.0,1671.0,4082.0,4375,5399,6921,8772,21283.0,25818.0,4083.0,4573.0,18.5,0,-106421.81714521056,7844.734228058549,9174.673213640495
34769.0,57825.0,14302.0,25271.0,1619,1991,2256,2674,8893.0,10121.0,4568.0,4902.0,18.9,0,-92562.5863375749,15318.591404714787,-15963.59512716926
1370.0,7985.0,382.0,3076.0,503,1444,714,2440,2529.0,8891.0,519.0,995.0,19.1,0,-120176.96825983004,16291.115120001296,-495.1116620808464
1856.0,3859.0,0.0,939.0,1534,2534,1804,3343,6703.0,12102.0,793.0,1191.0,19.2,0,-118287.3660187889,14544.738369385292,2408.041184535996
41570.0,69962.0,4243.0,5643.0,82,306,0,0,30817.0,34687.0,32068.0,27500.0,19.3,-1,-73503.84896686676,-19332.091573878613,-8060.753033974521
47745.0,97583.0,2931.0,6803.0,109,198,117,69,64656.0,69715.0,21949.0,28734.0,19.4,0,-61245.787486258734,-24363.324464605124,17357.905281136354
6328.0,15570.0,1591.0,2833.0,951,912,1878,2444,5089.0,5724.0,1567.0,2802.0,19.8,0,-115640.99186493763,14662.788171365344,-1582.832069835453
22946.0,41496.0,5599.0,9639.0,288,192,200,129,30060.0,35263.0,15461.0,32160.0,20.1,0,-86493.97528790086,-4908.062638766154,5996.837274516829
1974.0,8670.0,820.0,1878.0,4137,5819,5423,7384,15438.0,21135.0,1772.0,4124.0,20.1,0,-113114.8098207892,11553.7300449326,8901.778654490741
2297.0,10677.0,442.0,1405.0,906,1252,1006,2031,3430.0,5366.0,605.0,967.0,20.1,0,-119342.8258029402,15863.09806002662,-358.2974489392195
7088.0,17549.0,1270.0,3112.0,3037,3668,4398,5541,12978.0,16238.0,85.0,3910.0,20.2,0,-112589.317165222,12863.069361458343,4468.650724335053
2362.0,7441.0,0.0,823.0,668,2077,1087,3178,2824.0,7932.0,182.0,376.0,20.2,0,-120127.15988261571,16073.947202660798,-767.3353150408037
2829.0,6452.0,887.0,3859.0,1263,1418,2476,3089,7076.0,8046.0,2070.0,3027.0,20.3,0,-116402.84500291884,13834.81393677086,1872.278163256528
3579.0,9763.0,1464.0,5746.0,2263,2745,3327,3959,8425.0,10383.0,235.0,1039.0,20.3,0,-116087.22891860572,15123.935665800129,2813.860809081309
64959.0,125433.0,36116.0,59375.0,3086,3414,8134,9213,25351.0,29704.0,10401.0,10414.0,20.4,0,-55451.12230605075,15979.28532623489,-22366.60660472192
8730.0,15357.0,1826.0,3859.0,2563,2989,3498,4086,13806.0,15107.0,2523.0,4793.0,20.4,0,-110107.92201710797,11063.558717380767,3633.6297100988086
4207.0,10104.0,659.0,1905.0,2818,6475,3479,8011,8052.0,17811.0,97.0,360.0,20.8,0,-116685.66157396988,14740.884623937936,2181.2767789449445
3690.0,8799.0,746.0,2509.0,9099,17395,13038,25044,19768.0,35272.0,1020.0,1705.0,21.0,0,-111131.35437638736,10638.518709230048,11193.823783224452
36663.0,57433.0,5977.0,8520.0,418,311,70,121,37956.0,41446.0,27126.0,33398.0,21.0,0,-72485.33780333788,-16847.20763619928,1599.1878739717397
6597.0,17802.0,2394.0,5526.0,2302,2590,2544,3085,8325.0,9761.0,2091.0,1919.0,21.1,0,-113444.98637394204,13982.04429125572,572.3515626016149
20587.0,35736.0,1515.0,3619.0,6445,7350,9756,11078,27960.0,30506.0,4582.0,5231.0,21.2,0,-98561.26899890492,3409.981089387944,7294.825872161453
3284.0,9388.0,3484.0,7126.0,2074,2763,2642,3154,7348.0,8707.0,833.0,1193.0,21.2,0,-115019.99061119232,16445.151243987682,1948.681998346861
3627.0,8957.0,308.0,1799.0,1469,1607,2452,2846,6889.0,7898.0,387.0,2611.0,21.5,0,-117303.57918047272,14502.227768366727,1666.2630897718716
55388.0,99585.0,13351.0,21744.0,86,126,219,206,37824.0,39094.0,33658.0,32032.0,21.5,0,-57574.82154008764,-18952.65524194616,-11037.28689196356
4873.0,16558.0,496.0,1893.0,2637,3349,4327,5823,9968.0,13160.0,570.0,1851.0,21.5,0,-115340.84329298236,13493.67672934219,3238.934794377434
13293.0,14508.0,1764.0,3692.0,2557,2918,3405,3692,8353.0,9839.0,2602.0,2168.0,21.6,0,-110992.72417170058,12080.837394934228,-3346.073060472711
10959.0,21918.0,4152.0,8548.0,212,123,24,0,20927.0,23807.0,8855.0,15516.0,21.7,-1,-100757.47890029971,4919.017568707382,6809.81443750926
2068.0,13498.0,858.0,3507.0,1709,3350,2481,5345,6308.0,14073.0,588.0,961.0,21.9,0,-117891.45520309024,15356.079421279554,1979.224572162712
6614.0,10640.0,0.0,2314.0,1010,841,2038,2878,6357.0,8406.0,3162.0,3721.0,22.0,0,-115316.7014419458,12034.45135121333,-1052.9525722143758
947.0,5059.0,418.0,1507.0,107,0,187,82,1563.0,5534.0,8892.0,24047.0,22.0,0,-114728.80021636916,8487.751240957668,-2258.783637841515
60221.0,118734.0,6390.0,10874.0,170,187,162,108,88920.0,84571.0,27518.0,40009.0,22.0,0,-39842.648371271775,-35893.37897830685,28141.6979269678
7670.0,15673.0,1841.0,3355.0,2147,2676,3245,3835,13466.0,16051.0,3527.0,5297.0,22.1,0,-110198.84924300988,10641.787432935636,3767.2905077357336
83557.0,140721.0,332825.0,539102.0,15231,16695,25237,27560,28045.0,30363.0,5365.0,5524.0,22.2,0,155152.22076430666,216492.2279956824,-40067.43712499703
8980.0,23251.0,2375.0,5064.0,4107,4927,5358,6018,14805.0,17014.0,1255.0,4030.0,22.4,0,-109784.94850928176,11985.211827660893,4466.151125530637
15022.0,36169.0,4193.0,9839.0,505,397,201,105,22273.0,23971.0,10286.0,14939.0,22.5,0,-98020.25090109976,3049.745775871699,5161.383457090927
1086.0,6701.0,214.0,2029.0,1927,3563,2202,4095,5292.0,9875.0,1421.0,2480.0,22.6,0,-118651.46383845848,14644.436284496933,1612.1848273975654
2479.0,11202.0,224.0,2953.0,632,1668,866,2062,1955.0,5616.0,355.0,708.0,22.6,0,-120197.66698430976,16302.3980640096,-1549.8321763002457
7329.0,15895.0,1496.0,3516.0,5816,7024,7884,9513,21892.0,27289.0,3227.0,5001.0,22.7,0,-107020.24215628808,8213.946693291815,10479.429434963851
120111.0,215780.0,44482.0,66303.0,1197,817,247,195,60888.0,58391.0,39341.0,33808.0,23.0,0,1927.0342254096468,-18933.24270011286,-32352.012994000343
25801.0,47346.0,10810.0,17513.0,227,76,234,182,31686.0,32164.0,11508.0,22575.0,23.0,0,-83763.95851952094,1398.8252511686042,6105.551822019554
36658.0,37870.0,2161.0,5574.0,5499,4927,7941,8216,24180.0,24265.0,7806.0,6441.0,23.0,0,-91995.72153918496,77.95379340904037,-5563.540142890407
298006.0,457543.0,55094.0,86192.0,1840,1999,73,89,306382.0,271945.0,116684.0,111544.0,23.1,0,226499.3517955541,-169827.65418887316,41900.70015955039
90368.0,116886.0,13366.0,21822.0,194,380,162,91,15114.0,15908.0,3067.0,2114.0,23.2,0,-69572.32764505864,5162.522098868962,-42550.092761188615
20908.0,34474.0,4629.0,8155.0,103,164,115,26,29532.0,30326.0,12844.0,25342.0,23.4,0,-90032.42491095758,-2566.478677511288,7195.214438959838
16204.0,19629.0,1364.0,3371.0,6504,6619,8971,9374,24131.0,25118.0,6199.0,5904.0,23.4,0,-101320.15189785013,3983.64010910017,6452.92160655656
41170.0,64670.0,23041.0,40782.0,252,120,62,58,45685.0,44345.0,24771.0,38869.0,23.4,0,-55931.83635841204,-7348.563626486455,5248.063627864726
34435.0,53055.0,11536.0,16770.0,115,234,450,218,33909.0,33413.0,26448.0,25762.0,23.7,0,-72426.96649305351,-10219.395048024016,-546.5098587588792
55934.0,88834.0,13383.0,18801.0,590,335,222,138,39243.0,39157.0,29067.0,27684.0,23.8,0,-59083.21489168756,-15936.20620478507,-9305.393879180292
3299.0,12325.0,1498.0,3350.0,1203,1829,1968,2970,5323.0,7862.0,132.0,1484.0,23.9,0,-117527.762756653,16112.086365862966,626.5342985728655
3672.0,15640.0,1012.0,3050.0,666,955,654,1680,1766.0,4655.0,474.0,402.0,23.9,0,-119253.07079890554,16653.56245277573,-2443.1548664133643
238185.0,354967.0,165056.0,262576.0,4876,5460,11010,11237,36272.0,36814.0,11356.0,8892.0,24.2,0,106591.8123285405,71289.48860369614,-117513.64532787734
1624.0,9760.0,1376.0,5104.0,1592,4353,2793,7314,3083.0,7927.0,197.0,380.0,24.6,0,-119338.80099753138,17015.975688095907,-234.34137683643803
116148.0,183924.0,3153.0,6900.0,816,467,264,108,112380.0,100744.0,57365.0,45872.0,24.7,0,3018.937710258906,-73950.33007047951,7725.595623092189
9159.0,26412.0,1613.0,5183.0,2746,2956,3258,3876,8934.0,11248.0,2722.0,2165.0,24.9,0,-112419.8895721002,12410.80875657173,-553.1196774585292
9723.0,9843.0,0.0,849.0,0,30,278,181,3611.0,8698.0,28520.0,46976.0,25.2,0,-100066.53773068008,-9274.241985504184,-9588.007239993847
70491.0,114794.0,8369.0,15148.0,261,260,84,62,119803.0,118214.0,21449.0,48975.0,25.2,0,-22468.40784148572,-42116.11116282323,48098.233242270864
11920.0,12731.0,2068.0,2621.0,3395,3592,4404,4237,14521.0,13429.0,4358.0,3103.0,25.5,0,-107805.24535249438,9493.725154227868,1840.33059939056
81312.0,100147.0,46048.0,55654.0,4803,4010,8108,7840,21616.0,20890.0,9214.0,8091.0,25.5,0,-44529.23059399129,22093.527884356496,-34820.90801829807
7919.0,23497.0,3002.0,5910.0,2977,3652,4981,6145,13223.0,16602.0,384.0,1569.0,25.7,0,-111101.2865539597,13913.583551252512,3982.349154916923
13777.0,14459.0,5141.0,7349.0,8199,8093,10747,10612,30048.0,29478.0,2911.0,6151.0,25.8,0,-98395.2372584477,7322.518330512061,13068.878128265773
7388.0,19305.0,470.0,1730.0,2269,3080,3150,4268,8191.0,11185.0,1731.0,2011.0,25.9,0,-114655.13300360437,12808.445471150611,161.02532866228762
3403.0,12492.0,348.0,981.0,399,1358,665,2133,1998.0,5416.0,0.0,0.0,25.9,0,-119956.99567245628,16543.047444377553,-1977.9757071947536
7433.0,16838.0,2368.0,4548.0,3004,3317,4482,4752,14456.0,15030.0,1958.0,3760.0,25.9,0,-110303.23690425303,11934.902552139509,4946.468096532944
7925.0,14633.0,3019.0,5497.0,3129,3475,4499,4604,13587.0,13786.0,1632.0,2590.0,26.0,0,-110302.9110816052,12889.433766888076,3999.702224555504
2434.0,8708.0,320.0,1057.0,192,103,131,2,3809.0,4205.0,3285.0,3947.0,26.1,0,-117783.9117584551,13575.655390731165,-646.541918870035
234406.0,317729.0,22438.0,37699.0,474,353,0,0,272581.0,242152.0,139707.0,112296.0,26.1,-1,173731.09830155142,-187117.8807259208,47635.6717849688
30534.0,47160.0,10446.0,16705.0,59,44,0,1,35855.0,36555.0,21461.0,23505.0,26.4,0,-76161.47727185959,-7362.8474478405,4359.699635489687
14145.0,14760.0,3390.0,4107.0,2477,2696,4896,4681,16845.0,15893.0,4314.0,3517.0,26.4,0,-104984.63604864052,9360.548926669951,2392.0520393623874
6815.0,17591.0,2394.0,5854.0,4993,6018,6021,6797,15010.0,16867.0,2310.0,1944.0,26.5,0,-110328.15252251863,11839.031325542168,5517.886718045249
2540.0,12941.0,880.0,3842.0,2184,3399,2995,4695,8644.0,13590.0,1307.0,1899.0,26.5,0,-116269.1650301903,14042.34448420532,3377.894561450111
4754.0,10885.0,1891.0,4167.0,2021,2305,2764,3043,7816.0,7774.0,1061.0,1870.0,26.8,0,-115167.36647493612,14765.637012636946,1493.5523190833107
5907.0,14583.0,868.0,2572.0,1653,2422,2298,3504,6431.0,8871.0,1745.0,2373.0,26.8,0,-115689.68404072104,13782.56096128362,-348.20772759155034
6503.0,9184.0,1182.0,2068.0,3038,2927,3880,3891,11630.0,10863.0,2248.0,3365.0,26.9,0,-112643.7794591291,11946.138681930775,3227.255437592084
8196.0,23066.0,2837.0,5617.0,6453,8307,6727,8310,15400.0,18506.0,1015.0,1842.0,26.9,0,-109838.14240540408,12622.125486890662,5269.005477688233
96536.0,129530.0,24596.0,38167.0,252,260,439,217,71190.0,62763.0,47745.0,56062.0,27.0,0,-10642.427214902857,-39534.72484944583,-11410.058169150778
12315.0,20707.0,1948.0,2880.0,1505,1468,3159,3107,10738.0,9948.0,5393.0,4458.0,27.1,0,-108821.55584248764,9629.007288942805,-1477.1679684234798
7603.0,15170.0,2241.0,4903.0,4052,4219,5098,5568,15843.0,16891.0,2205.0,3351.0,27.1,0,-109655.2708879258,11293.64162181672,5830.360385921563
56602.0,98412.0,5288.0,8190.0,367,316,278,120,48188.0,44189.0,26226.0,33890.0,27.2,0,-60975.555920816296,-22950.99089952817,-1547.876754539176
15888.0,22787.0,2222.0,3597.0,4960,5256,9257,9142,26457.0,25999.0,1727.0,7144.0,27.4,0,-101543.25372292844,6737.672574836082,9568.441266492266
4083.0,12787.0,1290.0,3387.0,1209,1611,2098,2749,4642.0,7002.0,915.0,1638.0,27.5,0,-117321.28078235094,15508.893783884148,-530.3043642051155
577961.0,559253.0,1718550.0,2593670.0,536,352,396,157,135034.0,125589.0,59618.0,69218.0,27.6,3,1380933.2817446052,1000634.5970370366,-294569.050909373
75427.0,104762.0,6613.0,9684.0,617,360,112,102,78062.0,70006.0,47105.0,47505.0,27.6,0,-29573.491539091498,-48761.926418545496,6518.6027133029465
20492.0,32376.0,2404.0,3391.0,4949,4995,7858,7848,22541.0,23385.0,4448.0,6935.0,27.7,0,-100224.19203819853,5483.39049864447,3223.49670676134
39780.0,59441.0,3464.0,4452.0,104,181,184,110,42387.0,38162.0,34932.0,32890.0,27.7,0,-67927.02855704656,-25307.861511574665,1517.7003914907662
16951.0,24618.0,5008.0,8556.0,197,117,4,114,23473.0,24363.0,25256.0,21564.0,27.9,0,-89308.83819568792,-7544.523516510442,1651.5644466103074
4207.0,9991.0,36.0,1101.0,1139,2758,1820,4205,5252.0,11588.0,27.0,136.0,27.9,0,-118404.70244235336,15225.077953929576,85.34466007386482
2350.0,7594.0,1414.0,5193.0,2516,3159,3515,4656,9532.0,11940.0,1506.0,2572.0,28.0,0,-115428.4390686844,13965.009392734211,4123.609332668745
3446.0,9538.0,2188.0,4745.0,1151,1249,1723,1924,4624.0,5019.0,588.0,1591.0,28.0,0,-117100.70400986436,16446.65521411334,-128.23619215885356
1575.0,9542.0,753.0,3686.0,400,1088,718,2007,1797.0,4780.0,1549.0,2461.0,28.2,0,-119573.93131654628,15874.99190246697,-1392.6428686618672
2950.0,14280.0,413.0,1799.0,2449,5479,2730,6502,7017.0,16004.0,1287.0,2732.0,28.3,0,-117051.37058660715,14029.46971598772,1908.431341775792
24236.0,51147.0,4318.0,7829.0,2778,3016,7236,7770,20274.0,21892.0,3680.0,6243.0,28.4,0,-98829.46235784957,7433.2453754492435,-523.5936895033069
1737.0,8437.0,1071.0,6137.0,438,1252,651,1766,1767.0,5446.0,1333.0,1935.0,28.4,0,-119451.25358854934,16274.594865418465,-1485.0883856390567
6284.0,17941.0,1817.0,3268.0,4315,4935,5334,5962,14544.0,16059.0,3046.0,3025.0,28.5,0,-110721.89420206024,11077.81626735421,5362.547028393055
4169.0,10947.0,1232.0,2725.0,1985,2229,2929,3205,7816.0,8627.0,1170.0,1554.0,28.5,0,-115842.74033896346,14382.40248524256,1814.0482397753049
1794.0,11445.0,418.0,2122.0,1000,1715,1324,2323,3719.0,6725.0,307.0,860.0,28.6,0,-119564.05595398028,16049.989797333988,218.08462130701585
430303.0,454578.0,480627.0,640780.0,3751,2572,902,523,109318.0,100000.0,67768.0,56785.0,28.8,0,460007.8905486174,190482.8674142707,-192259.6304121618
975.0,3009.0,829.0,2850.0,1336,2442,1797,3059,5496.0,10203.0,358.0,1287.0,29.0,0,-118756.70365106812,15866.227999108974,2051.800941294272
2634.0,11876.0,614.0,2020.0,925,1189,1401,2008,3399.0,4729.0,570.0,877.0,29.0,0,-119128.74522802667,15964.178791128426,-579.6155539427691
