FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
40963.0,91815.0,5075.0,7885.0,100,30,98.0,241.0,42652.0,59734.0,27889.0,33541.0,16.6,0,-2.1566572,4.1876316
5518.0,17437.0,1402.0,3334.0,1084,1881,1191.0,2124.0,3933.0,7146.0,813.0,1556.0,16.6,3,8.061917,15.251336
170936.0,334197.0,7346.0,14530.0,204,204,70.0,167.0,80559.0,107234.0,54176.0,69935.0,16.6,2,3.59936,-0.8021135
37405.0,80391.0,2296.0,6024.0,357,243,406.0,152.0,38688.0,53311.0,26739.0,37129.0,16.6,0,-1.6327071,5.1069155
26110.0,71813.0,2216.0,4300.0,273,200,245.0,138.0,34404.0,48809.0,28821.0,42357.0,16.7,0,-2.0920224,5.384021
50374.0,127124.0,10970.0,23274.0,237,183,0.0,0.0,31181.0,43405.0,27649.0,34321.0,16.7,2,-0.063215844,3.1772842
32067.0,74054.0,2106.0,3837.0,376,214,112.0,39.0,34515.0,48015.0,36823.0,44311.0,16.7,0,-1.9619457,5.239541
7103.0,13766.0,1057.0,3462.0,1492,2139,1886.0,2598.0,4009.0,5377.0,0.0,790.0,16.7,3,9.882172,14.599031
6009.0,11940.0,643.0,2832.0,2087,2818,2960.0,4206.0,7717.0,10531.0,407.0,3501.0,16.7,3,13.706813,10.472722
1460.0,7727.0,379.0,2324.0,444,1588,598.0,2283.0,1855.0,6389.0,890.0,1925.0,16.8,3,6.1326566,15.690445
1141.0,4345.0,666.0,2512.0,1121,2021,1634.0,2957.0,3965.0,7239.0,395.0,797.0,16.8,3,8.998077,15.195344
5268.0,14860.0,1489.0,4136.0,2606,3944,3943.0,5634.0,8723.0,11631.0,922.0,1560.0,16.8,1,15.086941,6.0638885
1913.0,7382.0,949.0,2275.0,1979,3473,2238.0,3771.0,5898.0,9854.0,1737.0,1973.0,16.9,1,14.8541155,9.202652
7419.0,17003.0,1503.0,4561.0,1614,2284,2051.0,3091.0,5975.0,8668.0,2142.0,3371.0,16.9,3,10.667049,13.976047
26003.0,55862.0,3613.0,9700.0,1404,1733,3335.0,4324.0,8171.0,11189.0,2432.0,3917.0,16.9,3,8.653391,11.129957
3314.0,11854.0,1110.0,3595.0,780,1398,1046.0,1745.0,2777.0,5222.0,1252.0,1340.0,17.0,3,5.5764422,15.186664
16602.0,47006.0,8146.0,19970.0,70,63,215.0,88.0,19097.0,26354.0,8186.0,25106.0,17.1,0,-2.7355583,9.264196
7674.0,22538.0,2004.0,4670.0,2972,3995,3749.0,5291.0,10217.0,14708.0,2716.0,3345.0,17.2,1,14.881203,5.568022
12529.0,31322.0,1599.0,4959.0,346,317,182.0,116.0,14814.0,20357.0,6132.0,15909.0,17.2,0,-1.5411987,10.598339
6863.0,17766.0,1313.0,2528.0,1573,2162,2221.0,3069.0,7501.0,10271.0,1065.0,3095.0,17.3,3,10.474113,14.097002
80463.0,181920.0,8062.0,18071.0,352,273,237.0,184.0,90744.0,114460.0,24611.0,51229.0,17.3,2,1.4839786,1.1157897
1887.0,10597.0,0.0,631.0,1306,2149,1640.0,2721.0,3562.0,5980.0,453.0,998.0,17.3,3,9.730808,14.869513
21961.0,24846.0,3731.0,8122.0,5616,8146,6466.0,9202.0,20664.0,27872.0,3469.0,3844.0,17.4,2,9.289285,-1.3258843
54067.0,104357.0,19501.0,45111.0,423,276,572.0,332.0,54895.0,73320.0,31089.0,60791.0,17.4,2,-0.67254543,2.1325035
9500.0,19446.0,1464.0,3255.0,2458,3375,3583.0,4949.0,12156.0,16383.0,1606.0,4037.0,17.4,1,14.090297,7.872656
2358.0,10476.0,950.0,4161.0,1024,1509,1344.0,1757.0,3328.0,4631.0,0.0,483.0,17.5,3,6.38916,14.569216
2552.0,14697.0,616.0,3150.0,1402,2705,1785.0,3399.0,4377.0,8578.0,348.0,473.0,17.5,3,12.603478,13.953283
19315.0,27787.0,6219.0,12592.0,488,212,117.0,108.0,17881.0,24260.0,21425.0,21195.0,17.5,0,-1.5800406,10.514616
4086.0,13648.0,0.0,1199.0,1689,2259,2184.0,2852.0,5272.0,7348.0,1985.0,1991.0,17.6,3,10.568611,13.793052
39332.0,71798.0,0.0,3713.0,212,115,377.0,185.0,25849.0,34292.0,25166.0,25252.0,17.6,0,-2.6053274,6.3796725
126465.0,268714.0,7856.0,15571.0,46,145,362.0,190.0,128520.0,164172.0,57897.0,66716.0,17.6,2,2.902822,-0.45411247
33834.0,79796.0,7449.0,15426.0,556,240,57.0,14.0,43170.0,54670.0,20681.0,40175.0,17.6,0,-1.4457352,5.09763
16096.0,42086.0,2258.0,6251.0,6299,8847,8127.0,11212.0,21781.0,29461.0,1787.0,5384.0,17.7,2,8.852591,-1.5931064
10143.0,14819.0,1107.0,3142.0,1807,2607,2593.0,3557.0,8526.0,11820.0,1144.0,3514.0,17.7,3,12.321814,12.982455
9252.0,26844.0,3596.0,9174.0,276,177,203.0,107.0,14185.0,19472.0,9197.0,15198.0,17.7,0,-1.8940814,11.042247
3554.0,14084.0,1685.0,4876.0,2573,4134,2913.0,4859.0,7987.0,13889.0,1359.0,3185.0,17.8,1,15.285941,5.9179306
1402.0,6501.0,379.0,1204.0,305,1033,298.0,1397.0,642.0,3967.0,153.0,500.0,17.8,3,4.265352,14.520225
171065.0,356302.0,13289.0,25886.0,494,472,437.0,209.0,130559.0,165174.0,77949.0,97240.0,17.9,2,3.767665,-1.4240801
4568.0,21514.0,2669.0,8408.0,1828,3025,2509.0,4589.0,6802.0,11767.0,1108.0,2540.0,17.9,3,14.383721,10.139539
15826.0,35826.0,6183.0,14784.0,83,136,11.0,15.0,16400.0,21446.0,5380.0,15222.0,18.0,0,-2.403021,10.508271
7264.0,12507.0,1285.0,2745.0,142,126,169.0,137.0,10057.0,8503.0,1816.0,2295.0,18.0,0,-1.024095,15.580014
4053.0,23068.0,34.0,1783.0,142,137,158.0,22.0,1405.0,7104.0,510.0,4463.0,18.0,0,-0.9110445,15.515145
354629.0,616695.0,76273.0,151048.0,1312,1755,342.0,134.0,701126.0,831732.0,274102.0,365189.0,18.0,2,4.9646754,-5.789987
