FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
4570.0,13421.0,729.0,2254.0,1709.0,2316,2323,3204,7759.0,10785.0,1129.0,3411.0,16.2,4,57.978138,47.453846
4331.0,14984.0,324.0,2415.0,2243.0,3134,2948,4211,8657.0,12156.0,1419.0,2757.0,16.2,4,54.226845,53.59844
14475.0,34444.0,9571.0,25373.0,154.0,228,260,131,23238.0,33032.0,11531.0,29364.0,16.2,4,88.00502,45.179096
4899.0,13289.0,209.0,2012.0,161.0,131,310,193,16053.0,15275.0,1900.0,3246.0,16.2,4,71.75929,53.050056
2242.0,8494.0,240.0,1373.0,173.0,99,259,200,1525.0,8830.0,2216.0,7179.0,16.2,4,57.847626,62.848488
3213.0,16692.0,0.0,998.0,154.0,180,188,69,6209.0,27347.0,2852.0,21308.0,16.2,4,56.178627,62.251793
567076.0,1108990.0,48944.0,89740.0,1161.0,1359,658,398,847093.0,1099300.0,304888.0,455470.0,16.2,4,89.50099,38.498425
34883.0,89141.0,2355.0,6048.0,420.0,257,285,214,36311.0,53251.0,27462.0,49924.0,16.3,4,57.717113,48.19373
4485.0,12157.0,211.0,1807.0,1810.0,2477,2591,3561,6278.0,8866.0,1152.0,2166.0,16.3,4,54.654236,46.41208
13923.0,31001.0,829.0,2796.0,4813.0,7310,6015,8744,17906.0,23787.0,3840.0,4285.0,16.5,4,58.030876,62.84687
26615.0,61692.0,10105.0,20647.0,602.0,329,182,73,7455.0,10770.0,3087.0,3948.0,16.5,4,72.732445,55.523083
1139.0,3868.0,17.0,596.0,10679.0,17507,13240,21855,19291.0,32920.0,445.0,5165.0,16.6,4,89.36476,42.544815
5135.0,9336.0,1831.0,2592.0,4502.0,6298,4628,6553,12537.0,17194.0,1246.0,3492.0,16.7,4,89.56493,39.871998
4563.0,15501.0,501.0,1872.0,2201.0,3219,3111,4426,10576.0,16344.0,1792.0,3399.0,16.7,4,85.69037,49.29488
3722.0,16021.0,690.0,4168.0,1160.0,1529,1941,2782,5490.0,8348.0,903.0,2221.0,16.7,4,71.399506,54.063892
7016.0,34623.0,1129.0,4381.0,67.0,27,124,29,12476.0,20344.0,4770.0,17127.0,16.8,4,86.12178,49.65219
2662.0,18252.0,0.0,104.0,131.0,48,163,100,491.0,5829.0,722.0,1777.0,16.8,4,93.19679,43.55466
17219.0,54213.0,12637.0,32401.0,5271.0,7234,6512,9276,21417.0,27082.0,5007.0,10134.0,16.9,4,56.07375,48.69006
9352.0,20233.0,1991.0,4826.0,2992.0,3876,4192,6007,12630.0,17255.0,1912.0,3689.0,16.9,4,88.90116,41.77452
3378.0,15395.0,993.0,3635.0,1664.0,2391,2502,3751,7132.0,10406.0,1952.0,3401.0,17.0,4,47.89773,50.592052
4279.0,10602.0,616.0,2193.0,195.0,172,80,22,3356.0,7438.0,1372.0,1824.0,17.0,4,89.55348,39.934265
745.0,3487.0,0.0,0.0,176.0,110,115,18,828.0,4112.0,1395.0,3041.0,17.0,4,56.64047,51.09601
849.0,3293.0,247.0,988.0,128.0,27,140,51,3516.0,11743.0,1080.0,8128.0,17.0,4,87.93645,45.396538
620044.0,1271850.0,63620.0,119923.0,1260.0,1492,84,190,636004.0,783361.0,257347.0,308743.0,17.0,4,55.600555,49.459618
42844.0,82804.0,11126.0,18336.0,1912.0,2610,5294,6918,14578.0,19737.0,6731.0,7154.0,17.0,4,48.121258,50.54791
7397.0,23444.0,1325.0,4073.0,279.0,246,106,13,15457.0,24339.0,8099.0,14841.0,17.2,4,73.33897,52.881413
2298.0,14736.0,715.0,3127.0,1051.0,2009,1378,2629,4142.0,8153.0,462.0,1101.0,17.3,4,54.939995,49.646374
3262.0,13067.0,449.0,1721.0,767.0,1560,1398,2770,4363.0,8146.0,1088.0,1861.0,17.3,4,56.19795,61.74307
16390.0,31443.0,8083.0,18203.0,684.0,308,190,87,25920.0,31076.0,22341.0,26237.0,17.6,4,54.04551,53.840485
3137.0,9193.0,5546.0,14526.0,251.0,168,109,14,12056.0,15278.0,6459.0,12649.0,18.1,4,87.51341,46.297504
30677.0,43606.0,5113.0,8387.0,0.0,31,184,136,29856.0,36948.0,20280.0,30515.0,18.2,4,89.41541,41.394344
6076.0,15996.0,2456.0,4202.0,1045.0,1168,2373,3186,6446.0,9451.0,1322.0,2938.0,18.3,4,91.39057,56.246193
1726.0,5341.0,1184.0,3062.0,2738.0,3739,3620,4815,10400.0,13843.0,1134.0,1840.0,18.6,4,87.7829,45.800922
1409.0,5789.0,3082.0,9322.0,101.0,0,115,58,3106.0,4152.0,26391.0,40959.0,18.7,4,54.689644,46.46572
4230.0,19571.0,4032.0,12602.0,100.0,40,149,101,4685.0,5834.0,38921.0,54180.0,18.7,4,89.50037,38.492687
3095.0,19283.0,4670.0,17071.0,191.0,166,172,85,162841.0,299721.0,192938.0,406343.0,18.7,4,59.89717,61.585957
11707600.0,3301750.0,10431600.0,3215110.0,59235.0,10233,15280,2425,1747180.0,9924330.0,15393300.0,6767510.0,18.7,4,72.67783,53.469265
28065.0,67363.0,11406.0,25271.0,284.0,191,0,9,27912.0,33474.0,20119.0,26214.0,18.7,0,96.70986,-20.27162
821.0,5138.0,0.0,209.0,1082.0,1889,1409,2628,3802.0,7401.0,0.0,102.0,18.9,4,56.166664,50.862625
2013.0,8738.0,880.0,4294.0,1423.0,2087,1993,3124,6148.0,9833.0,556.0,1625.0,18.9,4,71.75495,53.536118
4740.0,14386.0,626.0,2961.0,1834.0,2412,2670,3534,8391.0,11037.0,1427.0,2440.0,18.9,4,86.89955,47.27401
4075.0,17494.0,669.0,2661.0,423.0,1163,484,1429,1562.0,5092.0,2321.0,3191.0,19.1,4,88.84973,41.76179
1504.0,9686.0,870.0,3902.0,1146.0,2564,1734,3836,4651.0,10997.0,317.0,584.0,19.1,4,86.50058,49.943546
97710.0,178916.0,32729.0,62275.0,580.0,337,298,222,95536.0,108137.0,45835.0,48959.0,19.3,4,49.628826,49.51506
2255.0,11709.0,614.0,1856.0,1269.0,2971,1592,3741,4321.0,10422.0,377.0,482.0,19.5,4,87.917564,46.054653
5372.0,15099.0,635.0,2657.0,785.0,1718,810,1675,2547.0,5228.0,1257.0,1602.0,19.7,4,48.378113,50.337273
16364.0,39567.0,7012.0,15166.0,284.0,147,175,34,23586.0,29388.0,15462.0,21578.0,19.7,4,89.526924,42.738026
1007.0,4257.0,590.0,1755.0,1374.0,2404,1707,3132,5135.0,9063.0,275.0,1499.0,19.9,0,86.95107,-2.1920013
38444.0,61451.0,6543.0,13853.0,514.0,302,317,180,34643.0,39984.0,29660.0,31499.0,20.0,4,55.799374,65.87723
74789.0,129784.0,98308.0,164561.0,2376.0,2677,5252,6739,16943.0,19836.0,6658.0,7873.0,20.0,4,71.90285,53.448727
2249.0,8962.0,2775.0,5204.0,195.0,114,0,0,16077.0,27437.0,59801.0,64670.0,20.1,-1,86.47467,49.82412
1662.0,9821.0,959.0,3905.0,180.0,157,134,15,27923.0,46179.0,35121.0,59800.0,20.1,4,54.600285,46.36644
1539.0,6152.0,5288.0,14834.0,134.0,67,191,123,40091.0,53797.0,33007.0,49857.0,20.1,4,60.091736,61.451668
2199.0,5979.0,6881.0,10498.0,272.0,114,17,0,74471.0,57810.0,118165.0,96600.0,20.1,-1,57.716324,48.471878
4972700.0,1471450.0,7686150.0,3527780.0,21724.0,3725,5777,1047,14028200.0,2329300.0,11361800.0,1904990.0,20.1,4,88.95179,42.279373
100556.0,185445.0,22320.0,38991.0,432.0,263,99,168,129081.0,140467.0,46529.0,66411.0,20.1,4,72.72958,55.53068
3224.0,10590.0,1127.0,2603.0,1308.0,1690,2281,2846,6712.0,8384.0,618.0,1725.0,20.2,4,54.211834,53.610577
4744.0,14790.0,1026.0,3612.0,2767.0,3550,4912,6424,15289.0,20009.0,668.0,3800.0,20.2,4,49.318924,49.729168
6858.0,18206.0,2131.0,4963.0,3671.0,4578,4627,5726,11145.0,14612.0,3572.0,3099.0,20.6,4,55.292435,49.378788
16412.0,41732.0,37448.0,78834.0,2081.0,2505,4379,5234,12188.0,14129.0,4109.0,5710.0,20.8,4,86.40473,49.90517
2393300.0,1703220.0,8529130.0,6960160.0,10947.0,6330,2944,1617,723116.0,491618.0,540494.0,332789.0,20.8,4,56.74127,48.1581
9776.0,14832.0,1881.0,3730.0,589.0,292,563,148,9823.0,5375.0,21342.0,9297.0,20.9,4,56.58601,51.071255
210165.0,287547.0,104314.0,156200.0,735.0,402,155,176,350311.0,316384.0,162204.0,144509.0,20.9,4,59.976734,61.52816
12448.0,37492.0,2634.0,6246.0,219.0,198,234,98,14811.0,17586.0,7563.0,13954.0,21.0,4,73.07976,52.410492
65541.0,125284.0,7800.0,15687.0,453.0,249,188,141,81120.0,86355.0,24067.0,41627.0,21.0,4,73.59823,52.91056
2969.0,11751.0,2858.0,7771.0,2594.0,3524,3354,4476,9591.0,12468.0,80.0,2350.0,21.3,4,93.197266,43.55488
219908.0,356082.0,33311.0,59252.0,596.0,704,3803,4335,130510.0,131978.0,120348.0,111937.0,21.4,4,54.3731,62.582504
61853.0,89874.0,6610.0,10456.0,457.0,346,194,71,66877.0,74269.0,57215.0,61781.0,21.4,4,71.48337,52.706898
14072.0,22068.0,45246.0,74987.0,2204.0,2390,4176,4439,10362.0,10984.0,3315.0,2728.0,21.6,4,48.11305,50.490463
2297.0,11159.0,111.0,1354.0,444.0,1397,730,2391,2160.0,6976.0,97.0,115.0,21.6,4,58.179646,47.185036
31249.0,51932.0,7091.0,11853.0,465.0,160,0,84,34105.0,36742.0,36927.0,32693.0,21.8,4,53.79819,54.27985
16304.0,23261.0,2660.0,6047.0,5326.0,6731,7060,8611,18021.0,19666.0,2554.0,6287.0,21.9,4,56.08242,50.623875
3181.0,12551.0,223.0,812.0,626.0,1474,755,1508,5669.0,13775.0,12636.0,18596.0,22.0,0,102.465,-15.508638
5204.0,19104.0,0.0,552.0,10033.0,13297,11203,15046,32393.0,41440.0,2180.0,8972.0,22.0,0,100.403244,-16.104752
49699.0,86550.0,5199.0,7919.0,346.0,355,321,199,43926.0,45450.0,31861.0,40828.0,22.0,0,86.02124,-2.7118056
5677.0,16324.0,1132.0,2901.0,2154.0,2622,3137,3779,9018.0,10048.0,2055.0,2918.0,22.1,0,83.673744,-53.972073
52893.0,89926.0,4845.0,8229.0,370.0,215,462,242,42235.0,42361.0,31214.0,31061.0,22.3,0,97.842064,-32.37756
2197.0,8195.0,1888.0,6323.0,1396.0,1948,1650,2336,5107.0,7720.0,404.0,1793.0,22.3,0,89.616684,-21.636835
87092.0,142518.0,15179.0,26672.0,98.0,240,0,0,55364.0,56851.0,40285.0,46434.0,22.5,-1,99.245186,-12.361513
