"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
31949,84092,0,541,360,139,193,126,23736,27863,15312,27134,5268.8
31819,56902,99285,176383,10922,13389,16116,20191,41840,50051,13516,13925,5268.8
14149,42282,13380,28850,2159,2385,2795,3364,8530,9495,2563,3057,5268.9
4011,10502,1335,2129,1634,2033,2208,2709,6679,7457,2281,2282,5269
6195,16715,1090,2551,1798,2177,2454,3188,7737,9118,1862,2741,5269.1
5940,9260,1308,1907,2280,3917,3370,5617,8341,15194,1792,2028,5269.1
1130,6179,252,1716,396,1475,295,1466,853,4417,148,181,5269.1
4072,8689,798,3058,2240,2586,2979,3822,7122,8728,380,2379,5269.1
17077,26623,2373,2381,254,211,36,104,25447,26777,23092,25290,5269.2
16242,17318,1778,3311,2624,3145,3885,4809,11819,13806,4720,4952,5269.2
27852,54654,23353,40471,509,304,0,37,36408,40426,30361,32548,5269.3
43308,90597,4152,9628,379,255,122,81,53745,62544,39245,53472,5269.3
2002,5915,983,2321,2732,3317,3596,4692,8412,10983,1692,2125,5269.3
1851,10912,89,852,497,1735,559,2519,1566,6692,38,113,5269.4
4902,8139,1707,6159,3753,4288,4616,5694,11532,14065,1520,2832,5269.4
11651,22733,2253,5729,3002,3555,4147,5330,12680,15329,1958,5308,5269.4
34718,49043,3132,4574,131,141,57,134,30388,32666,29550,27295,5269.5
19827,32970,2301,4080,303,153,412,309,16582,18901,11652,15840,5269.5
8415,15695,1592,3615,4858,6018,6422,7925,14851,18626,1267,2904,5269.5
14300,21690,1855,2776,3517,4438,4535,5543,13383,16722,2818,3555,5269.5
3406,12829,781,4159,1742,2328,2170,2994,6947,9856,430,1776,5269.5
2793,9033,331,2081,1475,1902,1539,2129,4084,5429,418,824,5269.5
5153,11191,2772,5431,3005,3611,3819,4955,9715,12504,962,2165,5269.6
179938,221905,201289,269462,889,738,576,389,48679,46051,47070,42359,5269.6
24502,35271,4140,7138,439,178,84,63,20792,20426,22694,24517,5269.6
5824,23226,913,2860,7484,11422,8745,13121,23621,30511,4997,10297,5269.6
