FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
437711.0,499289.0,284791.0,392311.0,9347.0,8974.0,8091,8404,275923.0,259748.0,134236.0,114000.0,18.4,1,Crypto
229542.0,348862.0,19373.0,30893.0,456.0,350.0,4277,4139,113034.0,100856.0,96477.0,89857.0,20.1,1,Crypto
1020540.0,1020650.0,304167.0,411375.0,7185.0,4518.0,65677,46143,929371.0,606621.0,752909.0,467279.0,21.6,1,Crypto
1505630.0,1539700.0,2078880.0,2538460.0,7408.0,5340.0,5663,5488,498979.0,404514.0,308026.0,238816.0,22.0,1,Crypto
77133.0,118227.0,17747.0,26149.0,22976.0,23583.0,29528,29618,67433.0,62993.0,11357.0,12373.0,22.0,1,Crypto
759278.0,755953.0,247715.0,323486.0,7798.0,5901.0,96463,75887,772152.0,556004.0,456629.0,325941.0,24.2,1,Crypto
289577.0,419174.0,84229.0,131790.0,16701.0,16266.0,25590,25249,74553.0,71720.0,20683.0,18708.0,26.6,1,Crypto
415729.0,600382.0,23465.0,35860.0,444.0,425.0,6866,6685,151455.0,134188.0,154785.0,122057.0,31.9,1,Crypto
342908.0,445640.0,447101.0,575704.0,9401.0,8596.0,23507,22238,64233.0,58498.0,26008.0,22307.0,35.3,1,Crypto
1062960.0,883032.0,2503490.0,2979310.0,20295.0,17961.0,25076,23633,71932.0,63617.0,22876.0,17329.0,39.3,1,Crypto
685702.0,559117.0,96029.0,99010.0,7722.0,5474.0,173166,109902,1169450.0,695838.0,805704.0,474048.0,40.2,1,Crypto
438780.0,441696.0,109948.0,145713.0,9177.0,7637.0,102519,81232,885493.0,644587.0,665139.0,464016.0,41.3,1,Crypto
16906.0,30891.0,3561.0,7078.0,35374.0,38809.0,48951,53529,90969.0,86338.0,13232.0,21391.0,42.4,1,Crypto
911467.0,1040280.0,113265.0,140272.0,9553.0,7616.0,128736,100487,1148610.0,811411.0,753830.0,503161.0,47.9,1,Crypto
507195.0,718924.0,29337.0,40104.0,1272.0,582.0,7098,7032,210860.0,195070.0,257888.0,201227.0,50.3,1,Crypto
291754.0,387481.0,27936.0,37793.0,702.0,563.0,5669,5396,152488.0,129228.0,146439.0,103200.0,56.4,1,Crypto
