FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
899895.0,843466.0,2336660.0,2972960.0,18101,15567,46071,42957,126674.0,112863.0,56128.0,49097.0,20.1,1,Crypto
404409.0,527067.0,43157.0,60858.0,3250,2899,40425,37679,219466.0,188631.0,122180.0,121215.0,34.7,1,Crypto
230637.0,340116.0,17369.0,23938.0,1302,791,3911,4009,109560.0,97305.0,104121.0,91678.0,43.3,1,Crypto
1017550.0,915449.0,209158.0,253910.0,9911,7131,162427,116096,1209930.0,808218.0,909946.0,603338.0,44.9,1,Crypto
1062780.0,1236330.0,390258.0,554546.0,18832,14128,6043,4765,124440.0,97885.0,108923.0,80466.0,47.1,1,Crypto
692351.0,812938.0,37635.0,51139.0,3635,3512,48212,44074,397280.0,326535.0,272089.0,223529.0,56.6,1,Crypto
1240320.0,1176520.0,214733.0,226265.0,11393,7656,173247,120770,1387320.0,896641.0,973368.0,622071.0,61.3,1,Crypto
306436.0,419335.0,20349.0,28239.0,723,945,4750,4560,122072.0,105500.0,100662.0,85302.0,68.2,1,Crypto
346576.0,454775.0,33435.0,44441.0,1398,899,10539,9388,252772.0,218304.0,215702.0,182916.0,69.9,1,Crypto
1086670.0,916752.0,2659520.0,2493090.0,5803,4058,5168,4313,338179.0,256614.0,130487.0,98325.0,75.2,1,Crypto
289546.0,387370.0,40831.0,59164.0,592,379,4388,4215,145185.0,126578.0,121456.0,105483.0,82.4,1,Crypto
8455.0,16484.0,1591.0,2475.0,52159,53494,97124,96388,106480.0,103127.0,25728.0,27731.0,83.4,1,Crypto
558564.0,799690.0,97544.0,151531.0,901,585,7094,6757,203045.0,181183.0,168054.0,144623.0,84.5,1,Crypto
769833.0,544048.0,406701.0,291538.0,23984,9956,325852,134190,3295160.0,1293360.0,2653430.0,1102120.0,91.4,1,Crypto
444802.0,617638.0,29224.0,45004.0,925,631,6305,5650,201425.0,173106.0,198769.0,165050.0,95.0,1,Crypto
712156.0,568755.0,801025.0,1072760.0,14367,9543,205850,139298,1711410.0,1095660.0,1321360.0,843734.0,95.2,1,Crypto
342663.0,435234.0,34193.0,46296.0,696,446,7624,6721,196776.0,167187.0,159281.0,128144.0,109.8,1,Crypto
1221910.0,1192790.0,477819.0,608972.0,35051,20405,50261,28565,170137.0,98330.0,46316.0,28658.0,110.4,1,Crypto
402070.0,516440.0,34435.0,52943.0,3561,3473,44764,42064,241578.0,200329.0,175356.0,139298.0,111.6,1,Crypto
924116.0,1124390.0,842466.0,999071.0,3878,3392,4545,4327,223279.0,186990.0,138011.0,102489.0,112.5,1,Crypto
5075910.0,2657700.0,10674200.0,16777200.0,42330,15185,13054,4722,384250.0,214021.0,231300.0,111306.0,116.6,1,Crypto
958423.0,1069660.0,172858.0,245297.0,3555,2614,57796,43356,556383.0,386050.0,373703.0,243836.0,118.5,1,Crypto
271849.0,364183.0,35990.0,50369.0,648,673,2942,2491,123141.0,111178.0,107625.0,101298.0,125.2,1,Crypto
1038890.0,1103650.0,194545.0,229909.0,8519,6531,160683,122843,1068930.0,758097.0,808011.0,519766.0,126.8,1,Crypto
1118580.0,968589.0,710573.0,644240.0,16783,7483,257591,102401,3391950.0,1360240.0,2482870.0,919972.0,127.7,1,Crypto
447409.0,593881.0,26158.0,33971.0,1093,733,7313,6623,209524.0,178605.0,221677.0,184829.0,131.5,1,Crypto
325272.0,441624.0,90407.0,134251.0,21440,19980,57507,54140,169135.0,153515.0,66999.0,56159.0,136.1,1,Crypto
318673.0,432292.0,24117.0,30697.0,927,731,6797,5654,145953.0,125664.0,150763.0,114819.0,138.1,1,Crypto
453737.0,618583.0,32224.0,49374.0,645,715,5206,4653,171832.0,152652.0,170876.0,141727.0,140.6,1,Crypto
683209.0,720049.0,78269.0,117239.0,4207,4079,80348,66753,592717.0,450451.0,366797.0,277019.0,146.2,1,Crypto
330722.0,447916.0,34914.0,49556.0,623,609,6817,6980,143518.0,129735.0,122393.0,107727.0,153.1,1,Crypto
596987.0,886733.0,48219.0,77526.0,1164,990,10334,10028,224768.0,204051.0,197430.0,169440.0,154.9,1,Crypto
813584.0,950001.0,88582.0,118809.0,4756,3794,57646,48640,513728.0,388685.0,390757.0,253435.0,163.3,1,Crypto
560596.0,826259.0,11916.0,18024.0,1293,653,8955,8714,233685.0,210303.0,234394.0,196085.0,164.2,1,Crypto
