tSNE1,tSNE2
-30.635187,-78.45082
67.44951,81.34689
-7.8659263,90.81697
-33.502342,65.31191
-2.7378366,-7.047219
-68.73526,83.83023
84.551674,-34.542175
58.512787,14.421201
-113.06371,14.289156
-105.17641,15.925399
-89.93994,22.422527
108.521484,-36.820557
28.283491,-46.865314
-71.90529,9.255917
14.628384,92.20467
-7.3960905,-105.87843
54.351532,-2.918569
-61.583267,16.390139
-83.28504,25.117426
-83.06738,43.047955
109.05643,-8.407938
21.485987,-91.31634
-59.839462,51.834007
-6.259007,75.95592
4.5111494,19.898794
-11.997801,-28.267712
86.576126,33.160297
-30.815071,-105.71407
85.15276,-61.845127
24.537558,85.05197
12.383957,-67.93665
-53.15416,-23.661507
14.974329,92.70046
44.05078,-5.601802
-38.637066,92.96874
-4.9154315,28.57127
62.798138,11.83236
-12.191831,-23.204922
-5.904811,26.327316
28.15767,73.62298
-1.4895802,63.476658
63.4705,27.05498
52.12892,-36.83325
-56.071346,62.27093
-0.38469148,37.714565
67.4335,-64.62611
10.01285,8.256571
35.18916,-30.202244
-38.667587,-90.51145
-31.254948,-100.96056
-11.198957,55.138714
87.30306,40.582397
31.779902,-68.727875
39.539043,-72.115814
91.697845,-36.854298
5.8289237,15.985092
29.772484,-59.69552
49.279934,88.260574
-4.2677875,-96.431496
-30.3647,50.793488
-25.314152,73.7782
-1.2772065,25.619534
-33.476753,65.264336
52.054573,91.31802
72.15259,32.8511
90.55753,-39.24401
-30.0353,-43.00656
-41.301857,-71.280205
16.775341,18.033302
-59.935104,31.509398
-65.25489,-23.706497
-62.958496,39.569706
12.526227,-101.356346
30.764067,-31.80477
-39.481323,1.5950062
13.206608,6.093862
47.28445,-57.963303
-58.65519,-41.902645
-38.05147,-36.771107
-11.875701,51.634876
-27.063156,33.409245
-52.21045,-19.158659
-18.368193,-54.162033
-70.37182,10.94572
20.217384,-81.464905
82.163475,7.456088
-75.9949,-27.24014
-34.91872,-106.0128
64.648865,50.939278
6.99372,-34.072945
-45.95584,21.338871
-48.11476,51.22689
7.353811,-87.477974
40.258316,7.392964
94.637886,5.4804616
67.28453,70.063385
-8.154356,-9.794353
35.29262,85.90274
-14.214982,101.48249
19.547968,0.22045252
-47.34475,-3.2393923
-8.816464,-64.945335
40.039345,79.28384
63.864727,-27.067701
-44.330853,-18.211216
82.99028,64.61354
-1.6629958,39.685593
-19.308329,58.579414
-88.02028,34.331657
-19.085722,75.91637
-62.01971,-49.448616
0.48489222,2.7251153
52.352566,33.146633
-34.051582,-27.745445
-13.265095,77.81645
78.785446,-22.69147
-26.90465,32.438053
-74.639915,75.55203
-41.999516,14.1959915
-52.47064,-19.734423
-4.8878546,15.434376
-2.569824,-66.99206
-10.97742,41.389156
-29.799696,-32.195656
27.497358,98.883255
52.108505,10.148094
37.451,94.2098
23.356836,82.23899
-61.149998,-33.646046
-49.00966,-45.793133
0.4221528,-36.954216
-25.31364,95.51103
25.563936,-91.702515
56.88208,-14.057038
0.54327023,-24.988829
-1.7430271,-70.00573
-43.395237,84.81685
-104.68651,-3.7948895
-96.03205,3.4562876
-74.65216,14.404481
111.730415,15.518512
-94.23149,-14.4802885
-56.770287,-87.04813
-38.34916,5.839485
-15.848205,-75.71821
37.788403,-23.678574
-96.529274,-34.671944
46.88145,-65.10131
5.7059145,-46.403088
32.89348,38.32454
-3.7305288,-15.852468
-54.62265,-73.31228
-26.571514,-97.968704
-9.580673,-45.596497
-52.622868,38.955536
62.392548,-4.353051
-79.43607,-34.64027
75.334785,5.136225
-28.633974,-42.380684
-48.568832,-95.86176
7.762851,8.958205
-50.39246,-90.7676
76.539345,20.45436
66.06896,25.696218
-20.27907,-72.395065
52.74549,3.6040356
85.98149,54.81688
-57.01055,52.386204
64.131775,-48.00169
-83.84957,12.802263
104.302284,30.405066
-114.756905,17.857292
5.105667,-22.579437
-66.30394,-55.934
-50.866528,52.9625
-10.074361,-84.567215
-54.41738,76.96604
-39.340954,93.619804
6.1520247,56.900932
-21.657383,32.69121
-15.028999,-30.14285
48.77647,-75.68345
-7.4150987,-54.908073
-4.5461335,22.289019
-93.93001,-46.57614
-95.060165,-60.989952
9.288864,-37.465294
-27.878695,-63.950073
20.698318,35.69709
31.933655,-33.504963
-22.816757,1.0314037
-30.327854,-73.16313
-56.93792,65.08282
13.098089,99.67348
79.98688,-74.70942
0.15338838,-54.948933
-13.87496,-9.570512
15.700998,35.839752
86.50561,0.65988475
-16.703417,-98.54932
-29.371315,-96.27581
-43.960537,-72.21669
4.6575317,-72.15298
45.043488,12.638088
44.033237,-4.6519885
37.89746,29.940937
110.54554,-23.323757
55.440865,-60.649574
72.678116,45.025223
60.59231,-40.63563
-32.08695,21.543978
-6.3237624,61.07727
-23.095942,-21.792261
36.27605,-62.38601
48.121456,-43.763596
-13.351167,17.553991
98.99349,-5.3107038
39.48407,-49.58246
-4.909558,52.050014
43.717293,-13.534386
-46.73055,-51.785786
21.89805,-75.912865
-21.610373,-71.123
0.15289326,-58.653038
46.084408,74.89873
3.362063,-68.00962
-78.52408,-14.463156
-53.32223,-55.708088
-75.94706,-30.151146
