tSNE1,tSNE2
53.940014,22.428066
43.28712,23.189447
49.08837,21.141043
57.829914,21.386608
49.03025,21.042189
75.46564,42.474003
47.754143,12.072439
47.505383,11.822554
108.564224,24.353476
54.40524,20.43687
60.540913,20.14413
43.950607,21.264544
54.511612,22.582985
94.79241,12.998248
46.9492,10.694499
60.133575,20.274063
47.48056,12.056366
77.56206,42.408012
48.68647,12.480951
54.767845,21.79934
85.59392,39.38004
52.920715,21.273932
42.841385,23.814674
52.806137,10.719899
43.81886,21.935303
52.385452,10.975113
41.62905,27.990488
58.14049,22.561296
53.977634,10.908432
57.599648,21.306013
107.46374,19.125015
83.92885,44.200085
47.756817,19.818449
47.22285,10.569268
48.076546,12.228794
41.756744,26.0149
78.13566,42.91764
83.165886,38.39417
49.13563,19.210695
58.50179,20.930094
54.26607,20.508247
59.239975,20.595272
78.37415,43.063915
60.259037,20.23256
52.457233,12.140635
86.12968,38.729794
52.562347,10.4887905
57.885014,21.292517
41.863804,25.667706
46.350986,10.605203
48.58966,20.58086
85.70607,39.318455
52.465122,10.965506
45.366776,21.211943
43.513107,22.911526
94.99534,14.799645
58.152523,22.628315
55.75774,21.05587
49.4714,20.813213
43.474113,22.883291
48.214542,9.968487
54.137733,23.052485
48.930737,9.915499
54.324886,20.816828
48.028984,20.15599
59.516224,20.493263
47.423077,28.869595
49.781265,20.136934
48.98781,9.888959
45.54208,21.200844
47.164154,10.88972
97.93645,15.087405
85.47673,39.42517
44.020893,22.13637
52.613934,12.215941
47.378246,28.650085
108.6396,24.235332
48.04721,19.93407
49.18769,21.01222
84.40867,43.48486
83.14077,38.38292
42.725826,24.026083
86.67428,37.776627
85.188126,41.231304
108.646034,19.331514
54.496284,22.439209
52.554638,10.747001
84.159706,44.226513
45.429222,21.244358
58.129826,23.060343
52.22466,11.89696
41.821327,25.770193
83.194405,38.41252
53.455074,20.938808
53.559044,22.416758
73.64874,27.60782
94.508514,11.1181135
58.15768,4.9775085
73.83557,27.108397
80.63519,21.434986
108.48993,22.34232
90.44672,28.984373
95.49097,7.1449203
96.60802,43.81122
59.754765,3.0972793
99.67711,11.475349
96.59259,44.56927
79.451035,28.538372
89.91657,32.514553
68.40468,18.372553
73.91918,26.648603
79.63576,21.488829
84.572426,29.83017
66.99596,3.5707967
71.0417,-4.508214
83.85852,23.425394
68.22257,18.34295
59.819775,3.0331514
67.575455,4.722146
95.05719,6.788922
68.35762,4.774524
101.83479,10.220869
95.45807,6.998432
99.88355,11.6319065
65.96302,4.067887
83.61683,28.105394
68.937485,9.610946
85.23114,23.450642
57.8057,5.5870857
74.333694,17.099945
67.52536,8.303467
80.24343,28.534756
79.62574,4.1358056
96.76474,43.73564
89.29976,31.456522
73.87837,25.23329
91.45926,29.771536
71.39137,16.354498
96.56638,20.374884
65.32514,11.657185
69.69703,14.074419
82.78667,26.572794
70.50891,2.2836308
83.60266,29.481508
92.720245,34.355343
83.9393,6.3356113
94.05542,12.598076
69.1694,18.87083
94.84323,18.610477
69.647675,5.290662
67.28858,16.347147
98.530075,18.520344
79.09931,27.813166
