"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
1597,6372,547,1804,131,0,219,126,955,4007,7531,16650,2587.4
43322,101240,4926,10847,358,211,228,190,46871,65560,36951,58534,2587.4
29230,60883,2816,4848,2138,2720,4902,6939,12156,18750,5182,6403,2587.4
20971,53764,1005,2827,219,263,298,209,33398,45016,33977,39631,2587.4
22566,61974,8174,19161,0,0,98,54,38407,52821,31934,42071,2587.4
30640,54572,13804,31295,0,0,162,119,33828,44470,31974,45085,2587.4
8756,15621,1402,2779,210,121,253,156,2543,5892,2657,2275,2587.5
13919,17828,243,1924,415,139,111,199,36882,32547,15958,14388,2587.5
1590,5787,73,979,183,168,199,107,6792,20508,4471,12571,2587.5
2531,8159,492,2473,186,431,171,56,15503,43608,17419,32406,2587.5
657803,1.20818e+06,122460,230267,5296,4550,916,404,2.08167e+06,2.45777e+06,1.00824e+06,1.06654e+06,2587.5
4062,19494,664,3507,1018,1587,1298,1969,3420,5397,261,655,2587.5
9809,26751,799,2592,1795,2483,2639,3802,8572,11157,1796,4361,2587.5
7028,9491,518,2216,1987,3056,2500,3173,5219,6941,874,840,2587.5
27731,66148,27811,57841,1772,1905,3506,4858,9242,13453,3440,3537,2587.6
32375,76210,9001,17861,297,215,166,71,18144,24765,14989,18588,2587.6
9017,24358,3451,8718,221,213,79,82,15617,21403,7832,18522,2587.7
373432,623741,376937,712851,1040,1144,469,180,280715,340076,156044,172880,2587.7
3573,8830,803,2959,1408,2104,1621,2649,4231,6481,938,1570,2587.7
709,3794,506,2286,2062,3680,2334,4228,5687,10133,433,684,2587.7
6615,28310,693,2753,2588,4105,3174,5174,8575,13854,785,2752,2587.7
1628,7388,128,1795,146,133,99,0,300,5343,1319,3598,2587.7
195220,457695,95697,184338,737,674,0,89,148555,195646,66494,92262,2587.7
97823,232061,10735,23747,629,537,1164,1923,36760,49632,24977,39267,2587.8
174006,372429,135236,289212,230,358,270,154,190966,243502,101167,118777,2587.8
11587,22585,2131,4483,3273,4973,5535,7700,14614,19444,2862,2820,2587.8
12787,28146,10151,25800,170,149,197,160,18406,25766,10482,22416,2587.8
10341,28465,616,1394,1205,1218,2566,3351,6326,7951,1974,2650,2587.8
20384,60218,4456,10074,284,185,0,0,23704,32583,14661,27936,2587.9
1673,5061,295,1574,267,176,289,174,3003,6498,1590,2847,2587.9
253843,533157,28982,61301,1072,808,651,199,387302,483384,182255,195569,2587.9
214147,479969,60736,124424,744,888,156,181,112115,155164,75820,99163,2587.9
1139,6714,283,1726,130,30,199,109,1710,4802,0,1109,2587.9
1317,6352,0,0,70,0,149,29,3346,5887,626,982,2588
3238,15139,551,1288,149,60,131,12,1340,5434,2435,5876,2588
2538,11947,396,2986,124,42,136,38,0,7032,7139,20769,2588
732148,1.44048e+06,40084,73980,1414,1565,213,166,287943,345518,93218,120122,2588
6536,23051,1615,4998,2268,3276,3548,5092,10594,16191,0,2691,2588.1
12678,27524,975,2691,1315,1947,2319,3155,6623,8934,2722,3977,2588.1
2621,10740,1433,5229,2193,3119,2939,4293,7875,11978,1140,2447,2588.1
29065,72261,2497,6276,314,235,222,150,34469,49560,21411,38002,2588.1
9775,14872,1603,3206,785,1772,1037,2596,2596,8372,1476,1618,2588.2
2419,15554,739,5722,681,1070,1118,2006,3389,6416,229,594,2588.2
6299,27103,1148,2764,3307,4694,4356,6213,11439,16650,15,2937,2588.3
5209,14251,298,701,2678,3597,3288,4442,6801,8833,693,1532,2588.3
36824,76631,3462,9400,109,79,4,23,30092,41643,32366,43226,2588.4
3456,15713,1193,3281,2349,3590,3182,4852,8171,12835,697,2748,2588.4
1036,4180,46,1160,320,288,191,72,1267,6454,14077,33532,2588.4
70241,147238,5384,10972,705,485,403,186,68248,92889,61268,91092,2588.4
6605,12015,1077,2922,2739,4314,3686,5465,9270,13582,1023,2423,2588.4
12324,32028,3556,11844,148,111,280,134,15519,21779,16265,19038,2588.5
4028,15681,638,1995,282,167,122,51,7317,7610,1462,1623,2588.5
2215,10420,42,528,151,40,55,0,1340,4357,1377,3285,2588.5
329126,665118,37269,67294,1553,1929,670,446,392507,479833,177772,191988,2588.5
17598,45637,15625,33198,1447,1869,3037,4177,7326,10941,2201,3237,2588.5
6165,20272,1950,5750,2157,2795,2490,3300,6202,8376,1509,2085,2588.6
4474,27558,180,1539,791,1282,1887,3555,4981,9402,0,2120,2588.6
39022,57504,5326,11257,215,146,351,129,32451,41117,35122,35517,2588.6
36468,96520,13057,27872,35,49,251,96,47195,63256,35844,58125,2588.6
14826,30550,2888,5417,3648,4873,5699,7701,15783,20410,6362,4801,2588.6
11479,18107,609,2201,1685,2067,2274,2978,6027,8267,1024,1125,2588.6
4934,14134,195,763,2147,4229,2540,4723,6657,12152,2297,2935,2588.6
12071,29164,4727,8608,284,166,149,99,20295,27435,14018,17304,2588.6
8153,22244,545,2107,1906,2445,2718,3737,7307,9542,2322,2686,2588.7
4414,15761,487,3721,2237,4605,2391,4818,5586,12051,513,952,2588.7
4395,14961,0,14,112,0,187,60,1800,4945,738,2647,2588.7
121644,290616,7491,17517,275,270,73,104,225575,286271,67154,92890,2588.7
654,4119,624,2541,149,9,166,82,180,4000,860,2040,2588.7
7683,22935,1603,3015,1912,2571,2724,3616,7363,10404,586,2364,2588.8
2901,14076,1386,3931,1423,2469,1715,2994,5210,9632,2028,3120,2588.8
25584,55729,5400,9687,152,99,238,132,13871,18970,9881,16707,2588.9
20387,58433,7889,20291,1450,2036,3839,5392,10452,15015,2535,5592,2588.9
17902,38760,16163,37185,185,203,112,49,21144,27632,11561,25246,2589
7072,9920,1270,4240,788,1231,1312,1344,3204,4040,872,882,2589
8860,14188,2246,4469,1501,2459,1802,2978,4653,7145,855,1005,2589.1
65508,145340,11627,25250,213,148,26,68,73023,91114,66663,73902,2589.1
7153,31983,988,3002,2592,3684,3712,5625,9248,13590,1760,4053,2589.1
19652,36484,1817,3937,4849,6413,5546,7664,14796,19343,3682,3425,2589.2
18212,20387,2171,3948,1586,1901,2149,3064,6517,9074,2175,1982,2589.2
13028,31764,1096,2280,1149,1528,3450,4463,9035,12108,4466,4769,2589.2
5408,22801,1071,4111,2905,4148,3813,5345,9806,14165,567,1784,2589.2
1772,10118,384,2670,2193,4690,2698,5749,5537,11194,789,1208,2589.3
4359,11873,547,1679,814,2802,973,3630,1896,7152,135,531,2589.3
13222,35553,1953,4510,2480,3262,3115,4104,8211,10843,2608,3623,2589.3
16080,29106,2229,5463,2071,2573,2244,3133,7240,8931,1734,2879,2589.4
23764,49665,3639,10408,177,110,70,73,25139,32014,19511,25636,2589.4
1938,8307,506,1465,1181,2987,1419,4072,3694,10832,2253,3407,2589.4
2420,9885,573,2662,1966,2896,2405,3905,6170,10063,1313,1938,2589.5
4493,18158,832,3685,1559,2231,2332,3553,6818,10477,1141,2169,2589.5
8383,17398,932,2916,2063,2941,3488,4632,10362,13948,656,3291,2589.5
37884,92550,5733,12247,16347,20670,16430,20977,10607,12678,4113,6061,2589.5
3370,20184,1295,5665,1508,3134,1890,4259,5404,11654,893,2019,2589.6
7915,16580,1359,3237,1085,1462,2705,3401,6705,8810,2820,3127,2589.6
12894,24452,2264,4351,3789,4663,4605,6087,12046,15981,2532,3211,2589.7
11141,17183,2166,4244,4055,5527,4776,6262,11508,15720,1760,2601,2589.7
893,6092,183,1577,154,28,106,0,1963,4526,9603,33784,2589.7
62401,125958,4984,9883,213,213,0,0,54612,70242,44023,61792,2589.7
53015,101055,2135,3041,414,185,400,156,43017,52384,41062,48185,2589.8
10007,18997,971,3175,4505,5624,4801,6219,10900,13729,1190,1770,2589.9
2045,7750,822,2419,1405,2285,1713,2756,4866,7766,332,987,2589.9
10520,19914,1282,2657,2416,2940,3781,4978,10008,12290,2841,2989,2590
15647,30316,461,1842,4240,5593,4884,6958,13322,17511,854,3371,2590
5372,13400,1205,4214,2135,3154,3159,4214,7671,9889,1118,2412,2590
21605,40740,1100,3485,230,172,134,73,21750,28000,19214,23009,2590.2
8806,15474,1012,2145,1472,1615,1590,1940,4047,4785,1292,1617,2590.2
19475,45673,1550,3793,83,0,46,0,20138,26297,7704,23945,2590.2
58385,131080,6852,14649,115,269,115,35,74403,92711,55515,76024,2590.2
15090,25614,2298,3249,2222,3153,4311,5572,9977,12607,2044,4197,2590.3
13401,29665,2605,5738,2980,3883,4442,5639,11578,15396,1652,3036,2590.3
19489,30897,1737,5096,299,221,399,167,15796,19237,12426,14685,2590.4
25220,45864,39180,91173,447,168,213,130,28111,35688,25744,30231,2590.4
47765,75372,7271,14046,266,155,453,180,35750,40871,31717,37836,2590.5
10768,26139,254,2897,2685,3644,3673,4863,11815,15443,3469,5436,2590.5
5099,18399,858,2991,3105,3850,4175,5629,11184,14781,1801,3927,2590.5
242959,452417,27121,39643,849,986,118,112,253077,284903,132262,133758,2590.5
9643,21456,2473,5371,4291,5591,5591,7146,14902,19598,1450,4463,2590.6
25142,50974,8696,14923,367,174,319,131,24396,28284,14264,16078,2590.6
2896,15507,1060,4645,2204,3613,3296,5527,8177,13764,693,3194,2590.7
10156,15962,4667,9042,1724,1888,2006,2523,6793,8756,1599,2263,2590.7
11996,19614,2284,6405,1474,1735,2388,2925,6116,7177,749,1951,2590.8
153595,296622,43964,85498,375,352,301,224,147736,166120,66339,82527,2590.8
165711,317639,75711,126015,589,623,386,272,90034,103757,50392,52032,2590.8
2951,13510,480,2285,216,110,73,0,1967,4289,14550,31475,2590.9
44615,99104,7915,17125,508,416,0,0,47343,59449,30380,47251,2590.9
7144,16514,2161,6397,3587,4462,4166,5418,9409,12028,1023,971,2590.9
3500,8527,873,2552,1321,2720,1852,4114,5301,9513,0,471,2590.9
2788,10641,863,3617,1561,2190,2077,2879,7240,10548,1394,2348,2590.9
23050,45691,9516,19757,183,186,29,56,30801,38425,29220,28231,2591
35120,67468,8735,17390,35,81,0,0,38413,47257,23889,41750,2591.2
24587,51353,5983,10491,420,195,67,63,27062,31156,23606,27803,2591.3
11749,20677,2035,6126,2033,2844,2489,3192,6669,8954,54,1030,2591.4
9597,21287,2281,4687,2957,3739,3844,4605,11013,13647,1728,2924,2591.4
45277,84347,6232,10340,115,126,320,246,41649,48127,25084,40949,2591.4
71455,124690,2574,5227,433,187,106,78,59978,68666,61272,62710,2591.4
22180,63915,7839,16888,183,82,156,130,26506,33989,24286,26512,2591.4
